TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.016146609996212646,None,0.49762280998402275,None,0.9640962099947501,None,['return'],[0.7410289999970701],29.982950699981302,None,,,,,,,,,1,001,2021_Nov_15_0811,eeg_contingent_digits,2021.2.3,59.940323416656575,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.2663081999926362],30.77218639999046,None,,,,,,,,,1,001,2021_Nov_15_0811,eeg_contingent_digits,2021.2.3,59.940323416656575,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.24982739999541081],31.08832729997812,None,,,,,,,,,1,001,2021_Nov_15_0811,eeg_contingent_digits,2021.2.3,59.940323416656575,
0.0,6.0,2.0,4.0,33.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_15_0811,eeg_contingent_digits,2021.2.3,59.940323416656575,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.379240899987053,None,,,,,,,1,001,2021_Nov_15_0811,eeg_contingent_digits,2021.2.3,59.940323416656575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.078772599983495,None,return,0.5778886000043713,32.078772599983495,None,1,001,2021_Nov_15_0811,eeg_contingent_digits,2021.2.3,59.940323416656575,
