TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,0.0017204799996761722,None,['return'],[0.15876610000032088],36.66891409999971,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,36.867101799999546,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,38.22894539999925,None,40.350010799999836,None,0.01128549999975803,None,41.768657799999346,None,"['1', 'return']","[0.4303967999994711, 0.5535576000002038]",42.778295699999944,None,42.778295699999944,None,42.778295699999944,None,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,43.43432399999983,None,0.005979720000141242,None,45.53805109999939,None,"['0', 'return']","[0.8051794000002701, 0.9613566999996692]",46.544574499999726,None,46.544574499999726,None,46.544574499999726,None,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,47.60067999999956,None,0.005811219999486639,None,49.69440199999917,None,"['4', 'return']","[1.0462086999996245, 1.1695909000000029]",50.69439209999928,None,50.69439209999928,None,50.69439209999928,51.69431229999918,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,51.96729830000004,None,0.0048243199998978525,None,54.04732239999976,None,"['6', 'return']","[2.1680476999999883, 2.3440215000000535]",55.06079479999971,None,55.06079479999971,None,55.06079479999971,56.060459499999524,,,,,,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,1,001,2021_Nov_17_1214,eeg_contingent_digits,2021.2.3,59.95876036481654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.50038349999977,None,,,,,,,,,,,,,,,,,,,,,,,,
