audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.15p_16ch.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.15p,16ch,100,101,111,122,132,110,120,130,24,NV7
audio/NV_DE_Neural2-D_Ad-ge-Ei_0.1p_16ch.wav,5.6324,NV,Neural2-D,Ad-ge-Ei,Ad,ge,Ei,0.1p,16ch,100,101,111,121,131,110,120,130,26,NV7
audio/NV_DE_Neural2-F_Ti-gr-Dr_0.15p_16ch.wav,4.8481,NV,Neural2-F,Ti-gr-Dr,Ti,gr,Dr,0.15p,16ch,100,101,114,122,133,110,120,130,25,NV7
audio/NV_DE_Neural2-F_Kr-gr-Ei_0p_16ch.wav,5.1928,NV,Neural2-F,Kr-gr-Ei,Kr,gr,Ei,0p,16ch,100,101,113,122,131,110,120,130,27,NV7
audio/NV_DE_Neural2-F_Kr-we-Zw_0p_16ch.wav,5.0204,NV,Neural2-F,Kr-we-Zw,Kr,we,Zw,0p,16ch,100,101,113,124,132,110,120,130,25,NV7
audio/NV_DE_Neural2-F_Kr-ro-Ei_0.1p_16ch.wav,5.1152,NV,Neural2-F,Kr-ro-Ei,Kr,ro,Ei,0.1p,16ch,100,101,113,123,131,110,120,130,24,NV7
audio/NV_DE_Neural2-F_Ti-ro-Zw_0.05p_16ch.wav,4.9,NV,Neural2-F,Ti-ro-Zw,Ti,ro,Zw,0.05p,16ch,100,101,114,123,132,110,120,130,26,NV7
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.15p_16ch.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.15p,16ch,100,101,111,122,134,110,120,130,26,NV7
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.1p_16ch.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.1p,16ch,100,101,111,123,133,110,120,130,24,NV7
audio/NV_DE_Neural2-D_Ti-ge-Vi_0.05p_16ch.wav,5.4912,NV,Neural2-D,Ti-ge-Vi,Ti,ge,Vi,0.05p,16ch,100,101,114,121,134,110,120,130,27,NV7
audio/NV_DE_Neural2-D_Kr-ge-Dr_0p_16ch.wav,5.3277,NV,Neural2-D,Kr-ge-Dr,Kr,ge,Dr,0p,16ch,100,101,113,121,133,110,120,130,26,NV7
audio/NV_DE_Neural2-D_Kr-we-Ei_0.15p_16ch.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.15p,16ch,100,101,113,124,131,110,120,130,27,NV7
audio/NV_DE_Neural2-D_Ti-we-Zw_0.05p_16ch.wav,5.4285,NV,Neural2-D,Ti-we-Zw,Ti,we,Zw,0.05p,16ch,100,101,114,124,132,110,120,130,25,NV7
audio/NV_DE_Neural2-F_Dr-ge-Dr_0.15p_16ch.wav,4.9041,NV,Neural2-F,Dr-ge-Dr,Dr,ge,Dr,0.15p,16ch,100,101,112,121,133,110,120,130,26,NV7
audio/NV_DE_Neural2-F_Dr-gr-Zw_0.1p_16ch.wav,4.9693,NV,Neural2-F,Dr-gr-Zw,Dr,gr,Zw,0.1p,16ch,100,101,112,122,132,110,120,130,27,NV7
audio/NV_DE_Neural2-D_Ti-ro-Dr_0.1p_16ch.wav,5.408,NV,Neural2-D,Ti-ro-Dr,Ti,ro,Dr,0.1p,16ch,100,101,114,123,133,110,120,130,27,NV7
audio/NV_DE_Neural2-F_Ad-gr-Zw_0.15p_16ch.wav,5.0032,NV,Neural2-F,Ad-gr-Zw,Ad,gr,Zw,0.15p,16ch,100,101,111,122,132,110,120,130,27,NV7
audio/NV_DE_Neural2-D_Ti-gr-Ei_0.05p_16ch.wav,5.6496,NV,Neural2-D,Ti-gr-Ei,Ti,gr,Ei,0.05p,16ch,100,101,114,122,131,110,120,130,24,NV7
audio/NV_DE_Neural2-F_Dr-ge-Ei_0.1p_16ch.wav,5.1509,NV,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,0.1p,16ch,100,101,112,121,131,110,120,130,25,NV7
audio/NV_DE_Neural2-F_Dr-gr-Vi_0.15p_16ch.wav,4.9925,NV,Neural2-F,Dr-gr-Vi,Dr,gr,Vi,0.15p,16ch,100,101,112,122,134,110,120,130,24,NV7
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.05p_16ch.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.05p,16ch,100,101,113,121,134,110,120,130,25,NV7
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.1p_16ch.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.1p,16ch,100,101,111,123,134,110,120,130,25,NV7
audio/NV_DE_Neural2-D_Ti-gr-Ei_0p_16ch.wav,5.6496,NV,Neural2-D,Ti-gr-Ei,Ti,gr,Ei,0p,16ch,100,101,114,122,131,110,120,130,24,NV7
