audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block
audio/NV_DE_Neural2-D_Ad-ge-Ei_0.15p_16ch.wav,5.6324,NV,Neural2-D,Ad-ge-Ei,Ad,ge,Ei,0.15p,16ch,100,101,111,121,131,110,120,130,12,NV4
audio/NV_DE_Neural2-F_Kr-gr-Ei_0.1p_16ch.wav,5.1928,NV,Neural2-F,Kr-gr-Ei,Kr,gr,Ei,0.1p,16ch,100,101,113,122,131,110,120,130,14,NV4
audio/NV_DE_Neural2-D_Ad-ro-Dr_0p_16ch.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0p,16ch,100,101,111,123,133,110,120,130,14,NV4
audio/NV_DE_Neural2-F_Dr-ge-Vi_0.15p_16ch.wav,4.9594,NV,Neural2-F,Dr-ge-Vi,Dr,ge,Vi,0.15p,16ch,100,101,112,121,134,110,120,130,12,NV4
audio/NV_DE_Neural2-D_Dr-ge-Zw_0.05p_16ch.wav,5.3371,NV,Neural2-D,Dr-ge-Zw,Dr,ge,Zw,0.05p,16ch,100,101,112,121,132,110,120,130,14,NV4
audio/NV_DE_Neural2-F_Ad-gr-Zw_0p_16ch.wav,5.0032,NV,Neural2-F,Ad-gr-Zw,Ad,gr,Zw,0p,16ch,100,101,111,122,132,110,120,130,14,NV4
audio/NV_DE_Neural2-D_Kr-ge-Zw_0.15p_16ch.wav,5.3629,NV,Neural2-D,Kr-ge-Zw,Kr,ge,Zw,0.15p,16ch,100,101,113,121,132,110,120,130,14,NV4
audio/NV_DE_Neural2-F_Dr-ro-Zw_0p_16ch.wav,4.9019,NV,Neural2-F,Dr-ro-Zw,Dr,ro,Zw,0p,16ch,100,101,112,123,132,110,120,130,12,NV4
audio/NV_DE_Neural2-F_Ad-gr-Vi_0.15p_16ch.wav,4.9836,NV,Neural2-F,Ad-gr-Vi,Ad,gr,Vi,0.15p,16ch,100,101,111,122,134,110,120,130,13,NV4
audio/NV_DE_Neural2-F_Dr-ge-Dr_0.05p_16ch.wav,4.9041,NV,Neural2-F,Dr-ge-Dr,Dr,ge,Dr,0.05p,16ch,100,101,112,121,133,110,120,130,15,NV4
audio/NV_DE_Neural2-D_Dr-we-Vi_0p_16ch.wav,5.3208,NV,Neural2-D,Dr-we-Vi,Dr,we,Vi,0p,16ch,100,101,112,124,134,110,120,130,15,NV4
audio/NV_DE_Neural2-F_Ti-gr-Zw_0p_16ch.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0p,16ch,100,101,114,122,132,110,120,130,13,NV4
audio/NV_DE_Neural2-F_Kr-ro-Dr_0.1p_16ch.wav,4.8714,NV,Neural2-F,Kr-ro-Dr,Kr,ro,Dr,0.1p,16ch,100,101,113,123,133,110,120,130,13,NV4
audio/NV_DE_Neural2-F_Ti-we-Zw_0.1p_16ch.wav,4.9644,NV,Neural2-F,Ti-we-Zw,Ti,we,Zw,0.1p,16ch,100,101,114,124,132,110,120,130,15,NV4
audio/NV_DE_Neural2-F_Dr-gr-Dr_0.05p_16ch.wav,4.9037,NV,Neural2-F,Dr-gr-Dr,Dr,gr,Dr,0.05p,16ch,100,101,112,122,133,110,120,130,12,NV4
audio/NV_DE_Neural2-D_Kr-we-Ei_0.1p_16ch.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.1p,16ch,100,101,113,124,131,110,120,130,12,NV4
audio/NV_DE_Neural2-D_Dr-gr-Vi_0p_16ch.wav,5.4555,NV,Neural2-D,Dr-gr-Vi,Dr,gr,Vi,0p,16ch,100,101,112,122,134,110,120,130,12,NV4
audio/NV_DE_Neural2-F_Ad-ge-Zw_0.05p_16ch.wav,4.9664,NV,Neural2-F,Ad-ge-Zw,Ad,ge,Zw,0.05p,16ch,100,101,111,121,132,110,120,130,14,NV4
audio/NV_DE_Neural2-F_Dr-gr-Zw_0.05p_16ch.wav,4.9693,NV,Neural2-F,Dr-gr-Zw,Dr,gr,Zw,0.05p,16ch,100,101,112,122,132,110,120,130,13,NV4
audio/NV_DE_Neural2-D_Dr-ge-Vi_0.15p_16ch.wav,5.3771,NV,Neural2-D,Dr-ge-Vi,Dr,ge,Vi,0.15p,16ch,100,101,112,121,134,110,120,130,13,NV4
audio/NV_DE_Neural2-D_Ti-gr-Ei_0.1p_16ch.wav,5.6496,NV,Neural2-D,Ti-gr-Ei,Ti,gr,Ei,0.1p,16ch,100,101,114,122,131,110,120,130,15,NV4
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.05p_16ch.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.05p,16ch,100,101,111,123,131,110,120,130,13,NV4
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.15p_16ch.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.15p,16ch,100,101,113,121,134,110,120,130,15,NV4
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.05p_16ch.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.05p,16ch,100,101,111,121,133,110,120,130,12,NV4
audio/NV_DE_Neural2-D_Ti-gr-Zw_0.1p_16ch.wav,5.4849,NV,Neural2-D,Ti-gr-Zw,Ti,gr,Zw,0.1p,16ch,100,101,114,122,132,110,120,130,13,NV4
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.1p_16ch.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.1p,16ch,100,101,111,121,133,110,120,130,14,NV4
audio/NV_DE_Neural2-D_Dr-ro-Ei_0.15p_16ch.wav,5.5134,NV,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0.15p,16ch,100,101,112,123,131,110,120,130,15,NV4
audio/NV_DE_Neural2-F_Dr-ge-Vi_0.1p_16ch.wav,4.9594,NV,Neural2-F,Dr-ge-Vi,Dr,ge,Vi,0.1p,16ch,100,101,112,121,134,110,120,130,12,NV4
audio/NV_DE_Neural2-F_Kr-we-Vi_0.15p_16ch.wav,5.0222,NV,Neural2-F,Kr-we-Vi,Kr,we,Vi,0.15p,16ch,100,101,113,124,134,110,120,130,14,NV4
audio/NV_DE_Neural2-F_Dr-we-Zw_0p_16ch.wav,4.9699,NV,Neural2-F,Dr-we-Zw,Dr,we,Zw,0p,16ch,100,101,112,124,132,110,120,130,15,NV4
audio/NV_DE_Neural2-D_Kr-ro-Ei_0.05p_16ch.wav,5.4911,NV,Neural2-D,Kr-ro-Ei,Kr,ro,Ei,0.05p,16ch,100,101,113,123,131,110,120,130,15,NV4
audio/NV_DE_Neural2-D_Kr-we-Vi_0p_16ch.wav,5.3989,NV,Neural2-D,Kr-we-Vi,Kr,we,Vi,0p,16ch,100,101,113,124,134,110,120,130,13,NV4
