videoFile,condition,video,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrExpText.started,key_resp_3.started,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp01,Ad,We,4,0,0,0,0,10.506436100000428,10.506436100000428,11.100072100001853,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,12.100820899999235,1.1311368000024231,2.665939900001831,3.6328219000024546,15.50466779999988,[-0.4173611111111111],[-0.0798611111111111],[1],[0],[0],[2.5517878999999084],['call3'],[-0.024305555555555556],[-0.3423611111111111],[1],[0],[0],[3.518714900001214],['colour4'],[0.3472222222222222],[-0.36180555555555555],[1],[0],[0],[4.369794300000649],['number4'],False,True,True,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp07,Ad,Ge,3,0,1,1,1,,,15.52128150000135,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,16.521381200000178,1.055708300002152,2.606359400000656,3.2729565000008733,19.324303000001237,"[-0.5104166666666666, -0.4305555555555556]","[-0.04583333333333333, -0.0763888888888889]","[1, 1]","[0, 0]","[0, 0]","[2.035199300000386, 2.569293900000048]",['call3'],[-0.034027777777777775],[0.2875],[1],[0],[0],[3.235766900001181],['colour1'],[0.4263888888888889],[0.02847222222222222],[1],[0],[0],[3.769923600000766],['number2'],False,True,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp01,Dr,Ro,3,0,2,2,2,,,19.34154320000016,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,20.34116890000223,1.0563285999996879,2.6063599999979488,3.507151199999498,25.896748600000137,[-0.3902777777777778],[-0.34375],[1],[0],[0],[2.5694442999993043],['call4'],[-0.08055555555555556],[-0.16111111111111112],[1],[0],[0],[3.470078400001512],['colour3'],"[-0.034027777777777775, 0.3958333333333333]","[-0.05138888888888889, 0.24097222222222223]","[1, 1]","[0, 0]","[0, 0]","[4.939154499999859, 6.523920299998281]",['number1'],False,True,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp07,Dr,Gr,4,0,3,3,3,,,25.91353650000019,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,26.91356950000045,1.053829600001336,1.8542005000017525,2.488047800001368,29.499957700001687,[-0.4395833333333333],[-0.13125],[1],[0],[0],[1.8157205999996222],['call3'],[-0.04583333333333333],[-0.06597222222222222],[1],[0],[0],[2.449763599997823],['colour3'],[0.3763888888888889],[-0.05486111111111111],[1],[0],[0],[3.5508966999987024],['number3'],False,False,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,noVideo,sp01,Ti,Gr,2,0,4,4,4,,,29.51685070000167,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,30.516721300002246,1.0554667000033078,1.7559758000024885,3.7239245000018855,34.2366843000018,[-0.37916666666666665],[-0.08194444444444444],[1],[0],[0],[1.7196352999999363],['call3'],"[0.12777777777777777, 0.09375, 0.4284722222222222, -0.06736111111111111]","[-0.12222222222222222, -0.12638888888888888, -0.12569444444444444, -0.13333333333333333]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.086233899997751, 2.5362748999978066, 3.104059099998267, 3.6876025999990816]",['colour3'],"[0.43194444444444446, 0.35347222222222224]","[-0.1951388888888889, -0.1625]","[1, 1]","[0, 0]","[0, 0]","[4.1378312000015285, 4.688846500001091]",['number3'],True,False,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,noVideo,sp07,Ti,Ro,1,0,5,5,5,,,34.25416310000219,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,35.25410869999905,1.055695699997159,2.523284299997613,3.5570625999971526,41.87776080000185,[-0.38680555555555557],[-0.15625],[1],[0],[0],[2.4836801000019477],['call3'],[0.05277777777777778],[0.0763888888888889],[1],[0],[0],[3.517511199999717],['colour2'],"[0.33819444444444446, 0.3402777777777778, -0.3506944444444444, 0.43819444444444444]","[-0.0125, -0.013194444444444444, -0.27291666666666664, -0.22777777777777777]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[4.401468100000784, 5.018862699998863, 6.704192799999873, 7.587725000001228]",['number4'],True,False,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,plusVideo,sp01,Un,Ge,1,0,6,6,6,,,41.89308340000207,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,42.893917900000815,1.054069800000434,2.121385899998131,7.426505100000213,49.71645460000218,[-0.35694444444444445],[-0.09027777777777778],[1],[0],[0],[2.082829999999376],['call3'],"[0.44166666666666665, 0.35833333333333334, 0.35833333333333334, 0.39861111111111114, 0.006944444444444444]","[-0.10902777777777778, -0.16666666666666666, -0.16666666666666666, -0.07222222222222222, -0.18611111111111112]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[4.46889210000154, 5.5859116000028735, 6.153559800000949, 6.67099220000091, 7.387960200001544]",['colour3'],[0.4777777777777778],[0.16041666666666668],[1],[0],[0],[7.78839969999899],['number2'],False,False,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,noTheta,plusVideo,sp07,Un,We,2,0,7,7,7,,,49.7336264000005,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,50.73408610000115,1.055440100000851,2.3555154999994556,2.6892145999991044,52.853134100001625,[-0.3951388888888889],[0.06388888888888888],[1],[0],[0],[2.3155298000019684],['call2'],[0.08263888888888889],[0.05347222222222222],[1],[0],[0],[2.6492015999974683],['colour2'],[0.3277777777777778],[0.24166666666666667],[1],[0],[0],[3.0834235999973316],['number1'],False,False,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,globalTheta,noVideo,sp01,Ad,Ge,1,0,8,8,8,,,52.87010790000204,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,53.870238399998925,1.0533261999989918,2.0375275000005786,2.4046601000009105,56.07261220000146,"[-0.5006944444444444, -0.38472222222222224]","[0.16458333333333333, 0.11527777777777778]","[1, 1]","[0, 0]","[0, 0]","[1.6836949000025925, 2.000331200000801]",['call2'],[0.0798611111111111],[0.32013888888888886],[1],[0],[0],[2.367760900000576],['colour1'],[0.3819444444444444],[0.2972222222222222],[1],[0],[0],[3.1691358999996737],['number1'],False,True,True,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
audio/zh_sp01_Ad_Ge_1.wav,globalTheta,noVideo,sp07,Ad,Ro,3,0,9,9,9,,,56.08974600000147,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,57.08961260000069,1.0548010999991675,1.621185299998615,2.3382988999983354,59.09396570000172,[-0.4041666666666667],[0.04791666666666667],[1],[0],[0],[1.5834317000008014],['call2'],"[0.10555555555555556, 0.0875]","[0.007638888888888889, 0.04791666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.950566899999103, 2.3008686999964993]",['colour2'],"[0.5180555555555556, 0.4263888888888889]","[0.018055555555555554, 0.043055555555555555]","[1, 1]","[0, 0]","[0, 0]","[2.6346419000001333, 2.985050900002534]",['number2'],False,False,False,,,,,2023-01-17_15h24.20.950,MA_Theta_Exp,2022.2.1,59.57036660123175,
