videoFile,condition,video,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp01,Ad,We,4,0,0,0,0,9.831235300000117,9.831235300000117,10.910534399998141,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,11.910430200001429,1.1306714999991527,1.8638778000022285,3.332399599999917,15.130015300001105,[-0.41944444444444445],[0.1361111111111111],[1],[0],[0],[1.7480930000019725],['call2'],[-0.004861111111111111],[-0.27152777777777776],[1],[0],[0],[3.216765500001202],['colour4'],[0.36736111111111114],[0.26666666666666666],[1],[0],[0],[4.183911200001603],['number1'],False,True,False,,,2023-01-17_15h16.57.776,MA_Theta_Exp,2022.2.1,60.09575657876772,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp07,Ad,Ge,3,0,1,1,1,,,15.147457600000052,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,16.147376600001735,1.0550149000009696,4.557519999998476,5.625061700000515,21.55342770000061,[-0.38680555555555557],[0.30625],[1],[0],[0],[4.518300699997781],['call1'],[-0.011111111111111112],[0.12083333333333333],[1],[0],[0],[5.586032399998658],['colour2'],[0.40347222222222223],[-0.16319444444444445],[1],[0],[0],[6.369567800000368],['number3'],True,False,True,,,2023-01-17_15h16.57.776,MA_Theta_Exp,2022.2.1,60.09575657876772,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,plusVideo,sp01,Dr,Ro,3,0,2,2,2,,,21.5693382999998,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,22.569559299998218,1.0559642000007443,3.5572271999990335,4.157800900000439,26.68992259999868,"[0.3388888888888889, 0.024305555555555556, -0.4125]","[-0.06736111111111111, -0.13055555555555556, -0.39305555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.9671907000010833, 2.8675915999992867, 3.5187155999992683]",['call4'],[0.003472222222222222],[-0.3472222222222222],[1],[0],[0],[4.119285899996612],['colour4'],[0.3958333333333333],[-0.17569444444444443],[1],[0],[0],[5.086668800002371],['number3'],False,False,True,,,2023-01-17_15h16.57.776,MA_Theta_Exp,2022.2.1,60.09575657876772,
,,,,,,,,,,,,,26.70706799999971,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,27.707323099999485,1.0550651000012294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
