videoFile,condition,video,speaker,callSign,colour,number,seq,id,block,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,blocksA.thisRepN,blocksA.thisTrialN,blocksA.thisN,blocksA.thisIndex,secondHalf.thisRepN,secondHalf.thisTrialN,secondHalf.thisN,secondHalf.thisIndex,blocksB.thisRepN,blocksB.thisTrialN,blocksB.thisN,blocksB.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,callSignCorrect,colourCorrect,numberCorrect,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,participant,order,date,expName,psychopyVersion,frameRate,
video/Experiment/zh_sp07_Ad_Ro_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Ro,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,-0.412962962962963,0.29305555555555557,1,0,0,4.659079499950167,call1,0.020370370370370372,-0.13148148148148148,1,0,0,5.590438099985477,colour3,True,True,True,0.35648148148148145,0.2861111111111111,1,0,0,6.452835200005211,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Dr_Ro_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,Ro,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,1,1,24,,,,,,,,,-0.42685185185185187,0.10694444444444444,1,0,0,5.586632399994414,call2,-0.001851851851851852,-0.12175925925925926,1,0,0,6.63912629999686,colour3,True,True,True,0.38425925925925924,0.30416666666666664,1,0,0,7.876614699955098,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Dr_Gr_4_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,Gr,4,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,2,2,23,,,,,,,,,-0.39351851851851855,0.12824074074074074,1,0,0,5.502592900011223,call2,0.009259259259259259,0.12685185185185185,1,0,0,6.7732188000227325,colour2,True,True,True,0.43425925925925923,-0.32314814814814813,1,0,0,7.917377099976875,number4,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Ad_We_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,We,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,3,3,14,,,,,,,,,-0.4532407407407407,0.2708333333333333,1,0,0,5.816575399949215,call1,-0.008796296296296297,-0.3537037037037037,1,0,0,7.033909999998286,colour4,True,True,True,0.3912037037037037,-0.13842592592592592,1,0,0,8.101667999988422,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Ad_Ro_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Ro,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,4,4,10,,,,,,,,,-0.43796296296296294,0.29583333333333334,1,0,0,5.538916099991184,call1,-0.010185185185185186,-0.10092592592592593,1,0,0,6.503705099981744,colour3,True,True,True,0.41064814814814815,-0.11481481481481481,1,0,0,7.305857100000139,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Ad_Gr_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Gr,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,5,5,6,,,,,,,,,-0.3851851851851852,0.28055555555555556,1,0,0,5.3311044000438415,call1,-0.01712962962962963,0.08796296296296297,1,0,0,6.464128300023731,colour2,True,True,True,0.399537037037037,-0.12175925925925926,1,0,0,7.363027299987152,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_Ro_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ro,2,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,6,6,25,,,,,,,,,-0.4685185185185185,0.08611111111111111,1,0,0,5.002386199950706,call2,0.020370370370370372,-0.11064814814814815,1,0,0,6.0116086000343785,colour3,True,True,True,0.3439814814814815,0.07916666666666666,1,0,0,6.889670800010208,number2,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Ad_Ge_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Ad,Ge,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,-0.45046296296296295,0.3125,1,0,0,5.301947799976915,call1,-0.03518518518518519,0.27824074074074073,1,0,0,6.191825699992478,colour1,True,True,True,0.43148148148148147,-0.11064814814814815,1,0,0,7.250363599974662,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_Gr_2_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Gr,2,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,8,8,21,,,,,,,,,-0.3699074074074074,0.07083333333333333,1,0,0,4.816109100007452,call2,0.006481481481481481,0.06712962962962964,1,0,0,5.63504570000805,colour2,True,True,True,0.40925925925925927,0.06574074074074074,1,0,0,6.5122131000389345,number2,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Ad_Gr_1_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Ad,Gr,1,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,9,9,4,,,,,,,,,-0.42685185185185187,0.28055555555555556,1,0,0,4.940126099972986,call1,-0.011574074074074073,0.0875,1,0,0,5.896567500021774,colour2,True,True,True,0.43842592592592594,0.3125,1,0,0,6.841118299984373,number1,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp01_Dr_Ro_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp01,Dr,Ro,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,10,10,26,,,,,,,,,-0.4060185185185185,0.12824074074074074,1,0,0,5.923144200001843,call2,-0.007407407407407408,0.12407407407407407,1,0,0,7.0600033000227995,colour2,True,False,True,0.42592592592592593,-0.07731481481481481,1,0,0,7.857474399963394,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
video/Experiment/zh_sp07_Dr_Ge_3_NVocInAudio_NoVideo.avi,vocoded,noVideo,sp07,Dr,Ge,3,0,2,flow/blocks/NVocInAudio_NoVideo_A.csv,,,,,,,,,0,0,0,0,0,11,11,18,,,,,,,,,-0.40324074074074073,0.03888888888888889,1,0,0,4.716617300000507,call2,0.053703703703703705,0.07916666666666666,1,0,0,5.5661602999898605,colour2,True,False,True,0.43703703703703706,-0.10925925925925926,1,0,0,6.583469000004698,number3,21,1,2019_Nov_14_1707,MA_Theta_Exp,3.0.7,61.10273326507573,
