audiofile,noise,voice,words,callSign,colour,number,level,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
NV_DE_Neural2-D_Ad-ge-Dr_0.2p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.2p,0,0,0,0,8.689595500007272,8.689595500007272,9.537255609966815,9.619376400019974,15.019592499826103,15.019592499826103,15.019592499826103,15.019592499826103,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,16.020349899772555,1.0480883996933699,3.9004499996080995,4.784613899886608,20.6094965999946,[-0.39652777777777776],[0.13333333333333333],[1],[0],[0],[3.8507360997609794],['call2'],[-0.052083333333333336],[-0.04583333333333333],[1],[0],[0],[4.73469760036096],['colour3'],[0.35625],[0.30416666666666664],[1],[0],[0],[5.501960499677807],['number1'],False,False,False,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
NV_DE_Neural2-D_Ad-ge-Dr_0.4p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.4p,0,1,1,1,,,20.607174819987268,20.6094965999946,26.111942399758846,26.111942399758846,26.111942399758846,26.111942399758846,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,27.112827899865806,1.0475729000754654,2.799115200061351,3.716505100019276,30.482171299867332,[-0.3680555555555556],[0.25972222222222224],[1],[0],[0],[2.7499831998720765],['call1'],[0.018055555555555554],[0.24097222222222223],[1],[0],[0],[3.6673928000964224],['colour1'],[0.4097222222222222],[0.25277777777777777],[1],[0],[0],[4.284562800079584],['number1'],True,False,False,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
NV_DE_Neural2-D_Ad-ge-Dr_0.6p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.6p,0,2,2,2,,,30.481884619873018,30.482171299867332,35.97007059957832,35.97007059957832,35.97007059957832,35.97007059957832,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,36.970789899583906,1.050136299803853,2.1338964998722076,4.3691594996489584,41.208823499735445,[-0.4125],[0.30277777777777776],[1],[0],[0],[2.083152999635786],['call1'],[0.022222222222222223],[0.225],[1],[0],[0],[4.318630500230938],['colour1'],[0.4],[-0.05],[1],[0],[0],[5.118929500225931],['number3'],True,False,False,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
NV_DE_Neural2-D_Ad-ge-Dr_0.75p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.75p,0,3,3,3,,,41.207229459751396,41.208823499735445,46.69562459969893,46.69562459969893,46.69562459969893,46.69562459969893,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,47.69649689970538,1.0497908000834286,1.9669253998436034,5.953631599899381,53.18501539994031,[-0.33055555555555555],[0.26944444444444443],[1],[0],[0],[1.9121511997655034],['call1'],"[0.4236111111111111, 0.4354166666666667, 0.06319444444444444]","[-0.1375, -0.11736111111111111, 0.08472222222222223]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.131206499878317, 5.365343299694359, 5.898988899774849]",['colour2'],[0.4152777777777778],[-0.1486111111111111],[1],[0],[0],[6.399303799960762],['number3'],True,False,False,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
NV_DE_Neural2-D_Ad-ge-Dr_0.8p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.8p,0,4,4,4,,,53.16726054996252,53.18501539994031,58.67203959962353,58.67203959962353,58.67203959962353,58.67203959962353,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,59.67284669959918,1.0497551001608372,2.417603200301528,6.237316200044006,65.49493639962748,[-0.3951388888888889],[0.2701388888888889],[1],[0],[0],[2.368167699780315],['call1'],[0.05277777777777778],[0.16805555555555557],[1],[0],[0],[6.187827600166202],['colour2'],[0.3625],[-0.09166666666666666],[1],[0],[0],[6.73854950023815],['number3'],True,False,False,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
NV_DE_Neural2-D_Ad-ge-Dr_0.85p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.85p,0,5,5,5,,,65.4775869497098,65.49493639962748,70.982267299667,70.982267299667,70.982267299667,70.982267299667,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,71.98312189988792,1.0501971999183297,2.084357399959117,2.484834000002593,73.95129319978878,[-0.43125],[0.28888888888888886],[1],[0],[0],[2.0308141000568867],['call1'],[0.06527777777777778],[0.2513888888888889],[1],[0],[0],[2.4312239000573754],['colour1'],[0.3888888888888889],[0.03333333333333333],[1],[0],[0],[2.9150157002732158],['number2'],True,False,False,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
NV_DE_Neural2-D_Ad-ge-Dr_0.9p.wav,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.9p,0,6,6,6,,,73.95122197996825,73.95129319978878,79.45604139985517,79.45604139985517,79.45604139985517,79.45604139985517,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,80.45667689992115,1.0495566995814443,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,2023-02-22_14h05.26.414,MA_Theta_Exp,2022.2.1,60.030603569168164,
,,,,,,,,,,,,,,89.54769261991605,89.54753959970549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
