audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,fixation.started,pp_t1_start.started,pp_t1_end.started,pp_t1_start.stopped,pp_t1_end.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.2p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.2p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0,0,0,0,24.20678060001228,24.20678060001228,25.058461759984493,25.05786319996696,0.17521940008737147,0.17521940008737147,0.18226590007543564,0.18226590007543564,30.562636999995448,30.562636999995448,30.562636999995448,30.562636999995448,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,31.562964399927296,1.0474956999532878,2.3318125000223517,2.7158816000446677,33.765105099999346,"[-0.3055555555555556, -0.3715277777777778]","[-0.0798611111111111, -0.0798611111111111]","[1, 1]","[0, 0]","[0, 0]","[1.9047957999864593, 2.2886677000205964]",['call3'],[0.044444444444444446],[0.08472222222222223],[1],[0],[0],[2.6729488000273705],['colour2'],[0.35625],[-0.12430555555555556],[1],[0],[0],[3.1561270999955013],['number3'],False,False,False,,,2023-03-08_13h28.40.880,SentenceInNoise,2022.2.1,60.011438169403526,
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.4p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.4p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0,1,1,1,,,33.764799139997926,33.765105099999346,0.029151499969884753,0.029151499969884753,0.04504529992118478,0.04504529992118478,39.266748199937865,39.266748199937865,39.266748199937865,39.266748199937865,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,40.28699829999823,1.050381200038828,2.117820099927485,2.668234199983999,42.6718868999742,[-0.3798611111111111],[0.10069444444444445],[1],[0],[0],[2.0722275000298396],['call2'],[-0.030555555555555555],[0.3034722222222222],[1],[0],[0],[2.6226170998997986],['colour1'],[0.42569444444444443],[0.30416666666666664],[1],[0],[0],[3.373502800008282],['number1'],False,False,False,,,2023-03-08_13h28.40.880,SentenceInNoise,2022.2.1,60.011438169403526,
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.6p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.6p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0,2,2,2,,,42.672209079982714,42.6718868999742,0.028578200028277934,0.028578200028277934,0.03555409994442016,0.03555409994442016,48.164684999966994,48.164684999966994,48.164684999966994,48.164684999966994,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,49.17828529991675,1.0391565000172704,1.6505501000210643,2.0176663999445736,50.57882960001007,[-0.3527777777777778],[-0.3104166666666667],[1],[0],[0],[1.6057246000273153],['call4'],[0.010416666666666666],[-0.3347222222222222],[1],[0],[0],[1.9735445999540389],['colour4'],[0.475],[-0.33819444444444446],[1],[0],[0],[2.373275800026022],['number4'],False,False,False,,,2023-03-08_13h28.40.880,SentenceInNoise,2022.2.1,60.011438169403526,
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.75p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.75p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0,3,3,3,,,50.578681279928425,50.57882960001007,0.03063550009392202,0.03063550009392202,0.03610890009440482,0.03610890009440482,56.06899619998876,56.06899619998876,56.06899619998876,56.06899619998876,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,57.08452329994179,1.0386568000540137,1.7668972000246868,2.50061220000498,59.10218259994872,[-0.34375],[-0.25833333333333336],[1],[0],[0],[1.7249041000613943],['call4'],"[-0.09305555555555556, -0.022916666666666665]","[-0.30972222222222223, -0.3215277777777778]","[1, 1]","[0, 0]","[0, 0]","[2.1574118999997154, 2.4579604000318795]",['colour4'],[0.3472222222222222],[-0.1076388888888889],[1],[0],[0],[2.975416100001894],['number3'],False,False,False,,,2023-03-08_13h28.40.880,SentenceInNoise,2022.2.1,60.011438169403526,
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.8p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.8p,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.69712,0.76712,1.34712,2.49712,2.76712,3.92712,4.36712,0,4,4,4,,,59.10234454001766,59.10218259994872,0.04495429992675781,0.04495429992675781,0.05291629990097135,0.05291629990097135,64.5958620000165,64.5958620000165,64.5958620000165,64.5958620000165,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,65.60748829995282,1.0389890000224113,1.8336273999884725,2.3341414999449626,67.79276919993572,[-0.3770833333333333],[0.2833333333333333],[1],[0],[0],[1.7887070999713615],['call1'],[0.05347222222222222],[-0.08888888888888889],[1],[0],[0],[2.289774800068699],['colour3'],[0.3458333333333333],[0.29097222222222224],[1],[0],[0],[2.9066517000319436],['number1'],True,False,False,,,2023-03-08_13h28.40.880,SentenceInNoise,2022.2.1,60.011438169403526,
,,,,,,,,,,,,,,,,,,,,,,,,67.79323888001964,67.79276919993572,0.2763982000760734,0.2763982000760734,0.2865583000238985,0.2865583000238985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
