audioFile,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,mouseClickOnNumber.started,blankScreenAfterResponse.started,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,sp01,Ad,Ge,1,0,0,0,0,10.899800499901175,10.899800499901175,33.51774742975831,33.51797609962523,37.28790989983827,37.28790989983827,37.28790989983827,37.28790989983827,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,38.288535999599844,1.41721500037238,9.756977200042456,[-0.3597222222222222],[-0.06111111111111111],[1],[0],[0],[9.342595799826086],['call3'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],False,NO_ANSW,NO_ANSW,,,,,2023-02-20_10h00.35.480,MA_Theta_Exp,2022.2.1,59.99084539712327,
audio/zh_sp01_Dr_Gr_2.wav,sp01,Dr,Gr,2,0,1,1,1,,,47.46287366971374,47.46286279987544,51.0496525997296,51.0496525997296,51.0496525997296,51.0496525997296,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,52.04993649991229,1.1667609997093678,1.7504569999873638,[-0.36041666666666666],[-0.13125],[1],[0],[0],[1.585899000056088],['call3'],[-0.013888888888888888],[0.08194444444444444],[1],[0],[0],[2.203258499968797],['colour2'],[0.38472222222222224],[-0.32916666666666666],[1],[0],[0],[3.1876416001468897],['number4'],False,True,False,2.3677966999821365,54.40278199966997,,,2023-02-20_10h00.35.480,MA_Theta_Exp,2022.2.1,59.99084539712327,
audio/zh_sp07_Ti_Ro_3.wav,sp07,Ti,Ro,3,0,2,2,2,,,54.38523430004716,54.40278199966997,57.04044449981302,57.04044449981302,57.04044449981302,57.04044449981302,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,58.05498139979318,1.0385579001158476,2.3679264998063445,[-0.3993055555555556],[-0.2590277777777778],[1],[0],[0],[2.325348799582571],['call4'],[-0.010416666666666666],[0.3645833333333333],[1],[0],[0],[3.0425470997579396],['colour1'],[0.4152777777777778],[0.26458333333333334],[1],[0],[0],[3.559443600010127],['number1'],False,False,False,3.085191899910569,60.74242409970611,,,2023-02-20_10h00.35.480,MA_Theta_Exp,2022.2.1,59.99084539712327,
,,,,,,,,,,,60.7402801300399,60.74242409970611,63.4261590000242,63.4261590000242,63.4261590000242,63.4261590000242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
