audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,condsFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,duration,noise,voice,words,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,blockStart.started,key_resp.started,fixation.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,pp_t3_start.started,pp_t3_start.stopped,pp_end.started,pp_end.stopped,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.994981799973175,11.994981799973175,12.846349599974928,12.846349599974928,15.097870499972487,15.097870499972487,15.115022199985106,17.100190599972848,17.100190599972848,17.100190599972848,17.099950619993614,18.10039739997592,18.10039739997592,18.10039739997592,18.985122079984283,18.98445819999324,24.506462899997132,24.506462899997132,24.506462899997132,24.506462899997132,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,25.50681110000005,1.05076569999801,2.651350400003139,3.518875699985074,[-0.3763888888888889],[0.2590277777777778],[1],[0],[0],[2.60658200000762],['call1_2'],[-0.008333333333333333],[-0.2659722222222222],[1],[0],[0],[3.474065899994457],['colour4_2'],[0.4263888888888889],[0.3020833333333333],[1],[0],[0],[4.1251093999890145],['number1_2'],False,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h13.56.821,SentenceInNoise,2022.2.1,60.142019360698725,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6598445599986,28.677496899996186,34.04727279997314,34.04727279997314,34.04727279997314,34.04727279997314,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,35.04825989998062,1.0332880999776535,2.0508098999853246,2.5011081999982707,[-0.38958333333333334],[-0.3284722222222222],[1],[0],[0],[2.0111879000032786],['call4_2'],[-0.006944444444444444],[-0.12916666666666668],[1],[0],[0],[2.4616065000009257],['colour3_2'],[0.3402777777777778],[-0.15138888888888888],[1],[0],[0],[2.945323600026313],['number3_2'],False,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h13.56.821,SentenceInNoise,2022.2.1,60.142019360698725,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05042857999215,37.05024599999888,42.438770999986446,42.438770999986446,42.438770999986446,42.438770999986446,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,43.45545849998598,1.0389007999910973,2.9852532999939285,3.335224299982656,[-0.44930555555555557],[-0.33194444444444443],[1],[0],[0],[2.944026400014991],['call4_2'],[-0.05347222222222222],[-0.2881944444444444],[1],[0],[0],[3.29397360002622],['colour4_2'],[0.4076388888888889],[-0.3194444444444444],[1],[0],[0],[3.7129939000005834],['number4_2'],False,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h13.56.821,SentenceInNoise,2022.2.1,60.142019360698725,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.20842177999439,46.207946499984246,51.73144299999694,51.73144299999694,51.73144299999694,51.73144299999694,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,52.74758309999015,1.0388606000051368,2.9521457999944687,3.28541710000718,[-0.3902777777777778],[-0.30416666666666664],[1],[0],[0],[2.909560900006909],['call4_2'],[-0.002777777777777778],[-0.3138888888888889],[1],[0],[0],[3.2430335999815725],['colour4_2'],[0.3909722222222222],[-0.32569444444444445],[1],[0],[0],[3.592948100005742],['number4_2'],False,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h13.56.821,SentenceInNoise,2022.2.1,60.142019360698725,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.38249549997272,55.38249549997272,57.98544199997559,57.98544199997559,58.45198009998421,58.45198009998421,58.46852939997916,58.535238399985246,58.55207969999174,59.16925139998784,59.18587239997578,60.98773199997959,61.004026099981274,62.655519599997206,62.67236639998737,63.122625599993626,63.13941619999241,,,,,,,
