audiofile,callSign,colour,number,condsFile,duration,noise,voice,words,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,beep_rest_pre_end.started,screenAfterAudio_3.stopped,instr_start_1.started,key_resp_inst_4.started,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,blockStart.started,key_resp.started,sound_1.started,fixation.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,pp_t3_start.started,pp_t3_start.stopped,pp_end.started,pp_end.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,pp_respGrid.started,pp_respGrid.stopped,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,12.107495700009167,12.107495700009167,13.759036600007676,13.759036600007676,14.159211299964227,14.159211299964227,14.176822799956426,15.160159699968062,15.160159699968062,15.160845069936476,16.128173799952492,16.178483300027438,16.178483300027438,19.4985351000214,19.4985351000214,20.247669880022297,20.24777609994635,25.837746000033803,25.837746000033803,25.837746000033803,25.837746000033803,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,26.839152900036424,1.1221811999566853,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,35.880205710022715,35.89444970001932,41.56655160000082,41.56655160000082,41.56655160000082,41.56655160000082,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,42.58259659993928,1.2219169000163674,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,51.622996509959926,51.62347619992215,57.09475059993565,57.09475059993565,57.09475059993565,57.09475059993565,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,58.09545399993658,1.1169614000245929,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,67.1527113100281,67.15297409996856,72.62617389997467,72.62617389997467,72.62617389997467,72.62617389997467,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,73.64224920002744,1.1221236999845132,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
audio/NV_DE_Neural2-F_Ti-ro-Vi_0.6p.wav,Ti,ro,Vi,flow\tts-golang-selected_PsyPySEQ_NV1.csv,4.9809,NV,Neural2-F,Ti-ro-Vi,0.6p,100,101,114,123,134,DE_Neural2-F_Ti-ro-Vi.TextGrid,0.15712,4.240111504666667,0.7420144663333333,1.2027963416666667,2.24427585,2.61712,3.798685733333333,4.240111504666667,mean,15,NV1,,,,,0,0,0,0,0,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,82.69942149997223,82.69942149997223,110.18827189994045,110.18827189994045,147.40179526009595,147.4028844999848,147.4028844999848,147.41981180000585,147.4360722999554,147.4528566999361,148.02026249992196,148.03648010001052,149.5218134999741,149.53788339998573,151.07241609995253,151.0898175999755,151.5228611000348,151.53967039997224,152.53985890001059,152.53985890001059,152.53985890001059,152.53985890001059,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,153.54092780000065,1.1501784999854863,153.54092780000065,153.5573045000201,3.5693645999999717,5.13679909997154,158.64540639996994,[-0.36180555555555555],[-0.10972222222222222],[1],[0],[0],[3.415129099972546],['call3'],[0.06527777777777778],[-0.11944444444444445],[1],[0],[0],[4.982599599985406],['colour3'],[0.34097222222222223],[-0.13055555555555556],[1],[0],[0],[6.016799499979243],['number3'],s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
audio/NV_DE_Neural2-D_Kr-we-Zw_0.4p.wav,Kr,we,Zw,flow\tts-golang-selected_PsyPySEQ_NV1.csv,5.3987,NV,Neural2-D,Kr-we-Zw,0.4p,100,101,113,124,132,DE_Neural2-D_Kr-we-Zw.TextGrid,0.16712,4.635508652666666,0.8204720143333333,1.291711424,2.6453925586666664,3.02712,4.282894624,4.635508652666666,mean,1,NV1,,,,,0,0,0,0,0,1,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,,,,,158.6442852199776,158.64540639996994,158.64540639996994,158.66232190001756,158.72942500002682,158.7453053999925,159.3793087999802,159.3959078999469,161.21419299999252,161.23071000003256,162.84824870002922,162.8650692999363,163.19863190001342,163.21532179997303,164.13767650001682,164.13767650001682,164.13767650001682,164.13767650001682,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,165.1502068999689,1.0835568000329658,165.1502068999689,165.1668279999867,2.9683881000382826,3.585786300012842,168.1694266999839,[-0.37569444444444444],[-0.11041666666666666],[1],[0],[0],[2.898508399957791],['call3'],[0.009027777777777777],[-0.27708333333333335],[1],[0],[0],[3.5159377999370918],['colour4'],[0.3798611111111111],[-0.18333333333333332],[1],[0],[0],[3.9327044000383466],['number3'],s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
audio/NV_DE_Neural2-D_Ad-ro-Zw_0.2p.wav,Ad,ro,Zw,flow\tts-golang-selected_PsyPySEQ_NV1.csv,5.4646,NV,Neural2-D,Ad-ro-Zw,0.2p,100,101,111,123,132,DE_Neural2-D_Ad-ro-Zw.TextGrid,0.16712,4.704972542,0.8080026606666667,1.338465382,2.711656489,3.096490961,4.353667582666667,4.704972542,mean,13,NV1,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,,,,168.16869779005646,168.1694266999839,168.1694266999839,168.1866117999889,168.23687110003084,168.2536906999303,168.88718720001634,168.9039127000142,170.788674899959,170.80551640002523,172.42363969993312,172.44008460000623,172.77398019994143,172.7904184999643,173.69436510000378,173.69436510000378,173.69436510000378,173.69436510000378,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,174.70861869992223,1.0391082999994978,174.70861869992223,174.72552750003524,2.2011913000606,2.9683775999583304,177.9942197999917,[-0.3680555555555556],[-0.37430555555555556],[1],[0],[0],[2.1573448999552056],['call4'],[-0.06319444444444444],[-0.33819444444444446],[1],[0],[0],[2.9241582999238744],['colour4'],"[0.3013888888888889, 0.3263888888888889]","[-0.29930555555555555, -0.30277777777777776]","[1, 1]","[0, 0]","[0, 0]","[3.591296299942769, 4.192026599892415]",['number4'],s00,1,2023-06-07_14h08.05.511,SentenceInNoise,2022.2.1,60.17727019328023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.99346508998423,177.9942197999917,177.9942197999917,178.0112538000103,178.06149220000952,178.07804769999348,178.6951072999509,178.71192000003066,180.63029100000858,180.647366899997,182.2815213999711,182.29831530002411,182.56508329999633,182.58180739998352,183.47007989999838,183.47007989999838,183.47007989999838,183.47007989999838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
