audiofile,callSign,colour,number,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall_2.clicked_name_raw,mouseClickOnCall_2.leftButton_raw,mouseClickOnCall_2.midButton_raw,mouseClickOnCall_2.rightButton_raw,mouseClickOnCall_2.time_raw,mouseClickOnCall_2.x_raw,mouseClickOnCall_2.y_raw,mouseClickOnColour_2.clicked_name_raw,mouseClickOnColour_2.leftButton_raw,mouseClickOnColour_2.midButton_raw,mouseClickOnColour_2.rightButton_raw,mouseClickOnColour_2.time_raw,mouseClickOnColour_2.x_raw,mouseClickOnColour_2.y_raw,mouseClickOnNumber_2.clicked_name_raw,mouseClickOnNumber_2.leftButton_raw,mouseClickOnNumber_2.midButton_raw,mouseClickOnNumber_2.rightButton_raw,mouseClickOnNumber_2.time_raw,mouseClickOnNumber_2.x_raw,mouseClickOnNumber_2.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,1.0,0.0,False,0.0,False,call3_2,1,1,0,0,0,0,2.355428499984555,2.956014600000344,-0.08958333333333333,-0.3194444444444444,0.08819444444444445,-0.09236111111111112,colour2_2,1,0,0,3.2894524000003003,-0.013194444444444444,0.09930555555555555,number4_2,1,0,0,4.123597300000256,0.42291666666666666,-0.32430555555555557,0.0,False,0.0
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,1.0,0.0,False,0.0,False,call3_2,1,0,0,1.658946499985177,-0.3548611111111111,-0.13402777777777777,colour3_2,1,0,0,2.0259081999829505,-0.05486111111111111,-0.13194444444444445,number4_2,1,1,0,0,0,0,2.4099829999904614,2.6764363999827765,0.28055555555555556,0.4409722222222222,-0.24513888888888888,-0.3298611111111111,0.0,False,1.0
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,1.0,1.0,True,0.0,False,call3_2,1,0,0,1.676593700016383,-0.4027777777777778,-0.1798611111111111,colour3_2,1,0,0,1.9758601000066847,0.075,-0.14375,number4_2,1,0,0,2.293224100023508,0.3715277777777778,-0.32569444444444445,0.0,False,2.0
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,1.0,0.0,False,0.0,False,call4_2,1,0,0,1.7963795000105165,-0.4444444444444444,-0.33541666666666664,colour4_2,1,0,0,2.1299436000117566,0.0020833333333333333,-0.24791666666666667,number4_2,1,0,0,2.6302336999797262,0.3715277777777778,-0.28055555555555556,0.0,False,3.0

extraInfo
participant,s00
order,1
date,2023-05-26_17h22.35.152
expName,SentenceInNoise
psychopyVersion,2022.2.1
frameRate,59.5711827954562
