condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTrainText.started,key_resp_2.started,blockStart.started,key_resp.started,sound_1.started,fixation.started,pp_start.started,pp_t0_start.started,pp_start.stopped,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,pp_t3_start.started,pp_t3_start.stopped,pp_end.started,pp_end.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Kr-we-Dr_0.7p.wav,4.9052,NV,Neural2-F,Kr-we-Dr,Kr,we,Dr,0.7p,100,101,113,124,133,DE_Neural2-F_Kr-we-Dr.TextGrid,0.16712,4.183105743666666,0.7175600796666667,1.260786177666667,2.279847144333333,2.6633750333333333,3.840654297666666,4.183105743666666,mean,2,NV1,0,0,0,0,0,0,0,70,15.883994600037113,15.883994600037113,16.5993684999994,16.5993684999994,18.16979736010544,18.16802500002086,18.16802500002086,18.16802500002086,18.187016599986237,18.187016599986237,18.520486499997787,18.537110700039193,20.088619499991182,20.10495509998873,21.656566700024996,21.673249100043904,21.989880300010554,22.006515700020827,23.13948030001484,23.13948030001484,23.13948030001484,23.13948030001484,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,24.14182570000412,1.0528159000095911,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,s00,1,2023-04-19_14h01.14.759,SentenceInNoise,2022.2.1,59.476865295360916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.48539458009763,33.497221900033765,33.497221900033765,33.497221900033765,33.51368530001491,33.51368530001491,33.84731380001176,33.863851900037844,35.3655627000262,35.38190249999752,36.95034540002234,36.96693290001713,37.28343539999332,37.30010500003118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
