audiofile,callSign,colour,number,n,callSignCorrect_raw,colourCorrect_raw,mouseClickOnCall_2.clicked_name_raw,mouseClickOnCall_2.leftButton_raw,mouseClickOnCall_2.midButton_raw,mouseClickOnCall_2.rightButton_raw,mouseClickOnCall_2.time_raw,mouseClickOnCall_2.x_raw,mouseClickOnCall_2.y_raw,mouseClickOnColour_2.clicked_name_raw,mouseClickOnColour_2.leftButton_raw,mouseClickOnColour_2.midButton_raw,mouseClickOnColour_2.rightButton_raw,mouseClickOnColour_2.time_raw,mouseClickOnColour_2.x_raw,mouseClickOnColour_2.y_raw,mouseClickOnNumber_2.clicked_name_raw,mouseClickOnNumber_2.leftButton_raw,mouseClickOnNumber_2.midButton_raw,mouseClickOnNumber_2.rightButton_raw,mouseClickOnNumber_2.time_raw,mouseClickOnNumber_2.x_raw,mouseClickOnNumber_2.y_raw,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,1.0,False,False,call3_2,1,0,0,1.5447464999742806,-0.32708333333333334,-0.18472222222222223,colour3_2,1,0,0,1.928107799962163,0.04236111111111111,-0.13055555555555556,number3_2,1,0,0,2.395289700012654,0.3763888888888889,-0.1527777777777778,False,0.0
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,1.0,'NO_ANSW','NO_ANSW','NO_ANSW',1.0

extraInfo
participant,s00
order,1
date,2023-05-16_16h25.04.386
expName,SentenceInNoise
psychopyVersion,2022.2.1
frameRate,59.90452418158258
