audiofile,callSign,colour,number,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall_2.clicked_name_raw,mouseClickOnCall_2.leftButton_raw,mouseClickOnCall_2.midButton_raw,mouseClickOnCall_2.rightButton_raw,mouseClickOnCall_2.time_raw,mouseClickOnCall_2.x_raw,mouseClickOnCall_2.y_raw,mouseClickOnColour_2.clicked_name_raw,mouseClickOnColour_2.leftButton_raw,mouseClickOnColour_2.midButton_raw,mouseClickOnColour_2.rightButton_raw,mouseClickOnColour_2.time_raw,mouseClickOnColour_2.x_raw,mouseClickOnColour_2.y_raw,mouseClickOnNumber_2.clicked_name_raw,mouseClickOnNumber_2.leftButton_raw,mouseClickOnNumber_2.midButton_raw,mouseClickOnNumber_2.rightButton_raw,mouseClickOnNumber_2.time_raw,mouseClickOnNumber_2.x_raw,mouseClickOnNumber_2.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,1.0,0.0,False,0.0,False,call3_2,1,0,0,4.164673599996604,-0.4444444444444444,-0.17222222222222222,colour3_2,1,1,0,0,0,0,4.531989399984013,4.831825800007209,-0.09583333333333334,0.07222222222222222,-0.11805555555555555,-0.1125,number4_2,1,1,0,0,0,0,5.315904399991268,5.632298799988348,0.5326388888888889,0.4361111111111111,-0.3625,-0.3458333333333333,0.0,False,0.0
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,1.0,0.0,False,0.0,False,call4_2,1,0,0,2.538818100001663,-0.3388888888888889,-0.30694444444444446,colour4_2,1,1,0,0,0,0,2.8550798000069335,3.4221167999785393,-0.09027777777777778,0.06666666666666667,-0.3055555555555556,-0.33958333333333335,number4_2,1,1,0,0,0,0,3.8557345000153873,4.205897500010906,0.5104166666666666,0.4236111111111111,-0.35833333333333334,-0.34097222222222223,0.0,False,1.0
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,1.0,1.0,True,0.0,False,call3_2,1,0,0,6.178367399988929,-0.3645833333333333,-0.07708333333333334,colour3_2,1,0,0,6.929367000004277,-0.050694444444444445,-0.09652777777777778,number3_2,1,0,0,7.362835300009465,0.4083333333333333,-0.1111111111111111,0.0,False,2.0
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,1.0,1.0,True,0.0,False,call3_2,1,0,0,5.82601849999628,-0.3888888888888889,-0.09583333333333334,colour3_2,1,0,0,6.693708600010723,0.027777777777777776,-0.16666666666666666,number3_2,1,0,0,7.327307100000326,0.35833333333333334,-0.1486111111111111,0.0,False,3.0

extraInfo
participant,s00
order,1
date,2023-05-26_17h33.49.288
expName,SentenceInNoise
psychopyVersion,2022.2.1
frameRate,60.12567468323363
