audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,beep_rest_pre_start.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,11.337012900039554,11.337012900039554,12.572319800034165,12.572319800034165,13.205897440016269,13.205247799982317,13.205247799982317,13.222504299948923,17.20899960002862,17.20899960002862,17.20899960002862,17.20901587002445,18.209401300060563,18.209401300060563,18.209401300060563,18.977059610025027,18.97680780000519,24.483037999947555,24.483037999947555,24.483037999947555,24.483037999947555,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,25.48621150001418,1.0390597999794409,2.2712828000076115,2.7181754000484943,[-0.3854166666666667],[-0.15625],[1],[0],[0],[2.2337319999933243],['call3_2'],[-0.07222222222222222],[-0.021527777777777778],[1],[0],[0],[2.6771878000581637],['colour3_2'],[0.35694444444444445],[-0.12083333333333333],[1],[0],[0],[3.3112141999881715],['number3_2'],False,False,False,s00,1,2023-05-16_14h45.48.605,SentenceInNoise,2022.2.1,59.87937900849662,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,27.83382131003309,27.833969100029208,33.340547700063325,33.340547700063325,33.340547700063325,33.340547700063325,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,34.35601350001525,1.0388736999593675,1.9177397000603378,2.3180281999520957,[-0.3625],[-0.13958333333333334],[1],[0],[0],[1.8748914999887347],['call3_2'],[0.01875],[0.04097222222222222],[1],[0],[0],[2.274984100018628],['colour2_2'],[0.36041666666666666],[0.19236111111111112],[1],[0],[0],[2.72549079998862],['number2_2'],False,False,False,s00,1,2023-05-16_14h45.48.605,SentenceInNoise,2022.2.1,59.87937900849662,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,36.10742621002719,36.107654500054196,41.47928480000701,41.47928480000701,41.47928480000701,41.47928480000701,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,42.49666479998268,1.03926979994867,3.9859705000417307,6.7381943999789655,[-0.42986111111111114],[-0.07083333333333333],[1],[0],[0],[3.944658700027503],['call3_2'],[-0.020833333333333332],[-0.32708333333333334],[1],[0],[0],[6.6969479999970645],['colour4_2'],[0.40902777777777777],[-0.10625],[1],[0],[0],[8.181331799947657],['number3_2'],True,False,False,s00,1,2023-05-16_14h45.48.605,SentenceInNoise,2022.2.1,59.87937900849662,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,0,3,3,3,,,,,,,,,,,,,,,,49.70201931004413,49.70221010001842,55.123307100031525,55.123307100031525,55.123307100031525,55.123307100031525,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,56.124038900015876,1.0670917999232188,2.9514382999623194,3.702051699976437,[-0.4375],[0.075],[1],[0],[0],[2.886330600013025],['call2_2'],[0.075],[0.1],[1],[0],[0],[3.6371173999505118],['colour2_2'],[0.36736111111111114],[0.06319444444444444],[1],[0],[0],[4.204055099980906],['number2_2'],False,False,False,s00,1,2023-05-16_14h45.48.605,SentenceInNoise,2022.2.1,59.87937900849662,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-7db.wav,Kr,we,Dr,0,4,4,4,,,,,,,,,,,,,,,,59.426443590014244,59.42760579998139,64.799380499986,64.799380499986,64.799380499986,64.799380499986,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,65.8153152000159,1.0385104999877512,2.0171871000202373,3.901998299988918,"[-0.49375, -0.3263888888888889]","[0.021527777777777778, 0.06111111111111111]","[1, 1]","[0, 0]","[0, 0]","[1.9755811999784783, 2.59237219998613]",['call2_2'],"[0.05694444444444444, 0.034722222222222224]","[-0.20833333333333334, -0.375]","[1, 1]","[0, 0]","[0, 0]","[3.0430484000826254, 3.860102800070308]",['colour4_2'],[0.3638888888888889],[-0.12916666666666668],[1],[0],[0],[4.343797900015488],['number3_2'],False,False,False,s00,1,2023-05-16_14h45.48.605,SentenceInNoise,2022.2.1,59.87937900849662,
