audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,beep_rest_pre_start.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,12.646874899975955,12.646874899975955,13.797790299984626,13.797790299984626,13.947767719998957,13.94804429996293,13.94804429996293,13.964428500039503,17.951211699983105,17.951211699983105,17.951211699983105,17.951190060016234,18.95208640000783,18.95208640000783,18.95208640000783,19.919479780050462,19.91954320005607,25.42878329998348,25.42878329998348,25.42878329998348,25.42878329998348,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,26.428446699981578,1.0382904999423772,1.7533262999495491,2.2340746999252588,[-0.4166666666666667],[0.08402777777777778],[1],[0],[0],[1.710385199985467],['call2_2'],[0.06319444444444444],[0.04583333333333333],[1],[0],[0],[2.1912237000651658],['colour2_2'],[0.375],[0.022222222222222223],[1],[0],[0],[2.5912492000497878],['number2_2'],True,False,False,,,s00,1,2023-05-16_14h42.57.062,SentenceInNoise,2022.2.1,60.03723511115066,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,28.059528879972643,28.059413100010715,33.569262200035155,33.569262200035155,33.569262200035155,33.569262200035155,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,34.58226239995565,1.0391618999419734,1.9179236999480054,2.2519106999970973,[-0.3590277777777778],[-0.13541666666666666],[1],[0],[0],[1.8722110000671819],['call3_2'],[-0.04861111111111111],[-0.12291666666666666],[1],[0],[0],[2.2058449999894947],['colour3_2'],[0.36319444444444443],[-0.027777777777777776],[1],[0],[0],[2.7055740000214428],['number3_2'],False,False,False,,,s00,1,2023-05-16_14h42.57.062,SentenceInNoise,2022.2.1,60.03723511115066,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,36.31634448006516,36.31637540005613,41.68781280005351,41.68781280005351,41.68781280005351,41.68781280005351,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,42.6882929999847,1.0337982999626547,1.7008088999427855,2.0510532999178395,[-0.3576388888888889],[-0.2638888888888889],[1],[0],[0],[1.6599163999781013],['call4_2'],[-0.018055555555555554],[-0.27569444444444446],[1],[0],[0],[2.0099320999579504],['colour4_2'],[0.40208333333333335],[-0.275],[1],[0],[0],[2.4270764000248164],['number4_2'],False,False,False,,,s00,1,2023-05-16_14h42.57.062,SentenceInNoise,2022.2.1,60.03723511115066,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,0,3,3,3,,,,,,,,,,,,,,,,44.15614548003068,44.15615140006412,49.52881869999692,49.52881869999692,49.52881869999692,49.52881869999692,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,50.54470109997783,1.0383985000662506,2.5009403000585735,2.8178430000552908,[-0.44375],[-0.3277777777777778],[1],[0],[0],[2.458844400011003],['call4_2'],[-0.04722222222222222],[-0.11041666666666666],[1],[0],[0],[2.7762115000514314],['colour3_2'],[0.36944444444444446],[0.05486111111111111],[1],[0],[0],[3.510019800043665],['number2_2'],False,False,False,,,s00,1,2023-05-16_14h42.57.062,SentenceInNoise,2022.2.1,60.03723511115066,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.113509400049224,53.113509400049224,,,,,,,
