audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,n,blankScreen.started_mean,blankScreen.started_raw,blankScreen.started_std,blankScreen.stopped_mean,blankScreen.stopped_raw,blankScreen.stopped_std,blankScreenAfterResponse.started_raw,blankScreenAfterResponse.stopped_raw,call1.started_mean,call1.started_raw,call1.started_std,call1.stopped_raw,call2.started_mean,call2.started_raw,call2.started_std,call2.stopped_raw,call3.started_mean,call3.started_raw,call3.started_std,call3.stopped_raw,call4.started_mean,call4.started_raw,call4.started_std,call4.stopped_raw,callSignCorrect_mean,callSignCorrect_raw,colour1.started_mean,colour1.started_raw,colour1.started_std,colour1.stopped_raw,colour2.started_mean,colour2.started_raw,colour2.started_std,colour2.stopped_raw,colour3.started_mean,colour3.started_raw,colour3.started_std,colour3.stopped_raw,colour4.started_mean,colour4.started_raw,colour4.started_std,colour4.stopped_raw,colourCorrect_raw,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.started_mean,mouseClickOnCall.started_raw,mouseClickOnCall.stopped_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.started_mean,mouseClickOnColour.started_raw,mouseClickOnColour.stopped_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.started_raw,mouseClickOnNumber.stopped_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,number1.started_mean,number1.started_raw,number1.started_std,number1.stopped_raw,number2.started_mean,number2.started_raw,number2.started_std,number2.stopped_raw,number3.started_mean,number3.started_raw,number3.started_std,number3.stopped_raw,number4.started_mean,number4.started_raw,number4.started_std,number4.stopped_raw,numberCorrect_raw,pp_end.started_mean,pp_end.started_raw,pp_end.started_std,pp_end.stopped_mean,pp_end.stopped_raw,pp_end.stopped_std,pp_respGrid.started_mean,pp_respGrid.started_raw,pp_respGrid.started_std,pp_respGrid.stopped_mean,pp_respGrid.stopped_raw,pp_respGrid.stopped_std,pp_start.started_mean,pp_start.started_raw,pp_start.started_std,pp_start.stopped_mean,pp_start.stopped_raw,pp_start.stopped_std,pp_t0_start.started_mean,pp_t0_start.started_raw,pp_t0_start.started_std,pp_t0_start.stopped_mean,pp_t0_start.stopped_raw,pp_t0_start.stopped_std,pp_t1_start.started_mean,pp_t1_start.started_raw,pp_t1_start.started_std,pp_t1_start.stopped_mean,pp_t1_start.stopped_raw,pp_t1_start.stopped_std,pp_t2_start.started_mean,pp_t2_start.started_raw,pp_t2_start.started_std,pp_t2_start.stopped_mean,pp_t2_start.stopped_raw,pp_t2_start.stopped_std,pp_t3_start.started_mean,pp_t3_start.started_raw,pp_t3_start.started_std,pp_t3_start.stopped_mean,pp_t3_start.stopped_raw,pp_t3_start.stopped_std,screenAfterAudio.started_mean,screenAfterAudio.started_raw,screenAfterAudio.stopped_raw,sound_1.started_mean,sound_1.started_raw,sound_1.stopped_raw,order
audio/NV_DE_Neural2-D_Ti-we-Dr_0.6p.wav,5.3747,NV,Neural2-D,Ti-we-Dr,Ti,we,Dr,0.6p,100,101,114,124,133,DE_Neural2-D_Ti-we-Dr.TextGrid,0.16712,4.618342979,0.8891131996666667,1.339755598,2.672446115333333,3.063738402,4.335908740333333,4.618342979,mean,13,NV1,1.0,415.5281677246094,415.5281677246094,0.0,416.5288391113281,416.5288391113281,0.0,418.6244497700006,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,1.0,True,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,True,410.1104736328125,410.1104736328125,0.0,,call4,1,0,0,0.9943810100003247,0.9943810100003247,,1.6230524000002333,-0.390625,-0.28808594,colour4,1,0,0,1.6260578100009297,1.6260578100009297,,2.1875292000004265,-0.045898438,-0.3017578,number3,1,0,0,2.1902867100006915,,3.087094900000011,0.47558594,-0.0859375,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,416.5288391113281,416.5288391113281,0.0,,True,414.7088317871094,414.7088317871094,0.0,414.725830078125,414.725830078125,0.0,416.5288391113281,416.5288391113281,0.0,416.544677734375,416.544677734375,0.0,410.1104736328125,410.1104736328125,0.0,410.12713623046875,410.12713623046875,0.0,410.2608642578125,410.2608642578125,0.0,410.2770080566406,410.2770080566406,0.0,410.97711181640625,410.97711181640625,0.0,410.9938049316406,410.9938049316406,0.0,412.75982666015625,412.75982666015625,0.0,412.7762756347656,412.7762756347656,0.0,414.425537109375,414.425537109375,0.0,414.4425964355469,414.4425964355469,0.0,415.49210767000085,415.49210767000085,,410.1098470300024,410.1098470300024,,30.0
audio/NV_DE_Neural2-D_Dr-ro-Zw_0.2p.wav,5.3439,NV,Neural2-D,Dr-ro-Zw,Dr,ro,Zw,0.2p,100,101,112,123,132,DE_Neural2-D_Dr-ro-Zw.TextGrid,0.17712,4.603690747333333,0.8331847323333333,1.2750070946666667,2.6132788323333336,3.000376242333333,4.265087565666666,4.603690747333333,mean,11,NV1,1.0,976.6923217773438,976.6923217773438,0.0,977.69189453125,977.69189453125,0.0,979.1599676700005,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,1.0,True,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,True,971.2939453125,971.2939453125,0.0,,call2,1,0,0,1.0019794100007857,1.0019794100007857,,1.6764892999999574,-0.38085938,0.09472656,colour3,1,0,0,1.6852792100016813,1.6852792100016813,,2.0793486000002304,-0.028320312,-0.13378906,number2,1,0,0,2.0867828100017505,,2.4640250000011292,0.40625,0.078125,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,977.69189453125,977.69189453125,0.0,,True,975.8760986328125,975.8760986328125,0.0,975.892822265625,975.892822265625,0.0,977.69189453125,977.69189453125,0.0,977.70849609375,977.70849609375,0.0,971.2939453125,971.2939453125,0.0,971.3104858398438,971.3104858398438,0.0,971.4605712890625,971.4605712890625,0.0,971.4776611328125,971.4776611328125,0.0,972.1102905273438,972.1102905273438,0.0,972.1270141601562,972.1270141601562,0.0,973.89306640625,973.89306640625,0.0,973.909912109375,973.909912109375,0.0,975.5426025390625,975.5426025390625,0.0,975.5592041015625,975.5592041015625,0.0,976.6589891700003,976.6589891700003,,971.296920480001,971.296920480001,,91.0
audio/NV_DE_Neural2-F_Dr-ro-Vi_0.6p.wav,4.94,NV,Neural2-F,Dr-ro-Vi,Dr,ro,Vi,0.6p,100,101,112,123,134,DE_Neural2-F_Dr-ro-Vi.TextGrid,0.16712,4.20712,0.6765455733333333,1.199376117,2.2266479896666667,2.5767497673333337,3.76712,4.20712,mean,2,NV1,1.0,614.9270629882812,614.9270629882812,0.0,615.9267578125,615.9267578125,0.0,618.7955571700002,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,1.0,True,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,True,609.9453125,609.9453125,0.0,,call2,1,0,0,0.9986874099995475,0.9986874099995475,,1.6081522999993467,-0.38378906,0.055664062,colour3,1,0,0,1.6147872100000313,1.6147872100000313,,2.8244439999998576,-0.057617188,-0.10546875,number4,1,0,0,2.83142270999997,,3.8606669999999212,0.31933594,-0.31347656,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,615.9267578125,615.9267578125,0.0,,True,614.143798828125,614.143798828125,0.0,614.1603393554688,614.1603393554688,0.0,615.9267578125,615.9267578125,0.0,615.9434814453125,615.9434814453125,0.0,609.9453125,609.9453125,0.0,609.9617919921875,609.9617919921875,0.0,610.095458984375,610.095458984375,0.0,610.1116943359375,610.1116943359375,0.0,610.6119384765625,610.6119384765625,0.0,610.6286010742188,610.6286010742188,0.0,612.1613159179688,612.1613159179688,0.0,612.1780395507812,612.1780395507812,0.0,613.694091796875,613.694091796875,0.0,613.7106323242188,613.7106323242188,0.0,614.8936525700008,614.8936525700008,,609.9312524600024,609.9312524600024,,51.0
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.4p.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.4p,100,101,113,121,134,DE_Neural2-F_Kr-ge-Vi.TextGrid,0.16712,4.25712,0.7206385943333333,1.241880919333333,2.289385273666667,2.6224197693333333,3.822270130333333,4.25712,mean,8,NV1,1.0,423.73919677734375,423.73919677734375,0.0,424.7388916015625,424.7388916015625,0.0,428.0070677700002,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,0.0,False,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,True,418.65850830078125,418.65850830078125,0.0,,call2,1,0,0,1.0028869100005977,1.0028869100005977,,2.0752612000005684,-0.4482422,0.07910156,colour1,1,0,0,2.085532110000713,2.085532110000713,,3.7749126999997316,-0.009765625,0.35351562,number2,1,0,0,3.785207110000556,,4.260460799999237,0.4326172,0.14257812,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,424.7388916015625,424.7388916015625,0.0,,False,422.9089660644531,422.9089660644531,0.0,422.9248046875,422.9248046875,0.0,424.7388916015625,424.7388916015625,0.0,424.75592041015625,424.75592041015625,0.0,418.65850830078125,418.65850830078125,0.0,418.67620849609375,418.67620849609375,0.0,418.82708740234375,418.82708740234375,0.0,418.8435974121094,418.8435974121094,0.0,419.3764343261719,419.3764343261719,0.0,419.393310546875,419.393310546875,0.0,420.9429626464844,420.9429626464844,0.0,420.9587097167969,420.9587097167969,0.0,422.475830078125,422.475830078125,0.0,422.49151611328125,422.49151611328125,0.0,423.70845937000075,423.70845937000075,,418.65774791000064,418.65774791000064,,31.0
audio/NV_DE_Neural2-F_Kr-ro-Dr_0.4p.wav,4.8714,NV,Neural2-F,Kr-ro-Dr,Kr,ro,Dr,0.4p,100,101,113,123,133,DE_Neural2-F_Kr-ro-Dr.TextGrid,0.16712,4.138714948333334,0.7045109223333333,1.2306902993333333,2.2253968463333336,2.585270111333333,3.8004228006666665,4.138714948333334,mean,0,NV1,1.0,171.3217010498047,171.3217010498047,0.0,172.3213348388672,172.3213348388672,0.0,175.32216257000044,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,0.0,False,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,True,166.3567352294922,166.3567352294922,0.0,,call2,1,0,0,1.005205819999901,1.005205819999901,,2.0463111999997636,-0.40820312,0.099609375,colour3,1,0,0,2.0552306199997474,2.0552306199997474,,2.994250799999463,0.00390625,-0.10253906,number3,1,0,0,3.0047511199991277,,3.995642500000031,0.36035156,-0.15136719,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,172.3213348388672,172.3213348388672,0.0,,True,170.47216796875,170.47216796875,0.0,170.48870849609375,170.48870849609375,0.0,172.3213348388672,172.3213348388672,0.0,172.33815002441406,172.33815002441406,0.0,166.3567352294922,166.3567352294922,0.0,166.3734893798828,166.3734893798828,0.0,166.5067138671875,166.5067138671875,0.0,166.52320861816406,166.52320861816406,0.0,167.04013061523438,167.04013061523438,0.0,167.0564727783203,167.0564727783203,0.0,168.57264709472656,168.57264709472656,0.0,168.5892791748047,168.5892791748047,0.0,170.1392364501953,170.1392364501953,0.0,170.15565490722656,170.15565490722656,0.0,171.2386223700002,171.2386223700002,,166.35682688000068,166.35682688000068,,5.0
audio/NV_DE_Neural2-D_Kr-ro-Ei_0.2p.wav,5.4911,NV,Neural2-D,Kr-ro-Ei,Kr,ro,Ei,0.2p,100,101,113,123,131,DE_Neural2-D_Kr-ro-Ei.TextGrid,0.16712,4.742691482666667,0.8219324303333333,1.2778869183333337,2.659248978666667,3.03591411,4.274742439333333,4.742691482666667,mean,4,NV1,1.0,769.2930908203125,769.2930908203125,0.0,770.2931518554688,770.2931518554688,0.0,772.3612298700007,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,0.0,False,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,False,763.7450561523438,763.7450561523438,0.0,,call4,1,0,0,1.0000567100005355,1.0000567100005355,,1.6419636999999057,-0.3798828,-0.3486328,colour2,1,0,0,1.6497208099999625,1.6497208099999625,,2.6748539999998684,-0.024414062,0.05859375,number1,1,0,0,2.6825682100006816,,3.0602546999998594,0.35839844,0.29492188,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,770.2931518554688,770.2931518554688,0.0,,True,768.4768676757812,768.4768676757812,0.0,768.49365234375,768.49365234375,0.0,770.2931518554688,770.2931518554688,0.0,770.3095703125,770.3095703125,0.0,763.7450561523438,763.7450561523438,0.0,763.7615356445312,763.7615356445312,0.0,763.8950805664062,763.8950805664062,0.0,763.9114990234375,763.9114990234375,0.0,764.561767578125,764.561767578125,0.0,764.5783081054688,764.5783081054688,0.0,766.3944091796875,766.3944091796875,0.0,766.410888671875,766.410888671875,0.0,768.0101318359375,768.0101318359375,0.0,768.027099609375,768.027099609375,0.0,769.2600808700006,769.2600808700006,,763.7449892800004,763.7449892800004,,68.0
audio/NV_DE_Neural2-D_Ad-ro-Zw_0.2p.wav,5.4646,NV,Neural2-D,Ad-ro-Zw,Ad,ro,Zw,0.2p,100,101,111,123,132,DE_Neural2-D_Ad-ro-Zw.TextGrid,0.16712,4.704972542,0.8080026606666667,1.338465382,2.711656489,3.096490961,4.353667582666667,4.704972542,mean,13,NV1,1.0,568.3756103515625,568.3756103515625,0.0,569.3750610351562,569.3750610351562,0.0,572.3593194700004,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,1.0,True,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,True,562.84375,562.84375,0.0,,call1,1,0,0,1.0143021100002443,1.0143021100002443,,2.440378000000237,-0.34375,0.33203125,colour3,1,0,0,2.446844410000267,2.446844410000267,,2.958728399999927,-0.013671875,-0.13476562,number2,1,0,0,2.965288110000074,,3.9918375999995988,0.4501953,0.12402344,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,569.3750610351562,569.3750610351562,0.0,,True,567.5258178710938,567.5258178710938,0.0,567.54248046875,567.54248046875,0.0,569.3750610351562,569.3750610351562,0.0,569.3920288085938,569.3920288085938,0.0,562.84375,562.84375,0.0,562.8607177734375,562.8607177734375,0.0,562.993896484375,562.993896484375,0.0,563.0105590820312,563.0105590820312,0.0,563.6268920898438,563.6268920898438,0.0,563.6439208984375,563.6439208984375,0.0,565.5264282226562,565.5264282226562,0.0,565.5432739257812,565.5432739257812,0.0,567.1759643554688,567.1759643554688,0.0,567.1924438476562,567.1924438476562,0.0,568.3256456700008,568.3256456700008,,562.8460582300016,562.8460582300016,,46.0
audio/NV_DE_Neural2-D_Kr-we-Ei_0.2p.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.2p,100,101,113,124,131,DE_Neural2-D_Kr-we-Ei.TextGrid,0.17712,4.756052989,0.8137350286666667,1.2751825953333331,2.630365497,3.0301944583333333,4.289901507,4.756052989,mean,10,NV1,1.0,379.7707214355469,379.7707214355469,0.0,380.7735290527344,380.7735290527344,0.0,385.5548656700009,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,0.0,False,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,False,374.2052917480469,374.2052917480469,0.0,,call4,1,0,0,0.9984221100003197,0.9984221100003197,,3.0755034000003434,-0.4248047,-0.31347656,colour3,1,0,0,3.0803568100009215,3.0803568100009215,,5.071731500000169,0.0234375,-0.07519531,number1,1,0,0,5.076687510000738,,5.774429699999928,0.38964844,0.29003906,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,380.7735290527344,380.7735290527344,0.0,,True,378.9540100097656,378.9540100097656,0.0,378.9707336425781,378.9707336425781,0.0,380.7735290527344,380.7735290527344,0.0,380.7897644042969,380.7897644042969,0.0,374.2052917480469,374.2052917480469,0.0,374.2222595214844,374.2222595214844,0.0,374.3722839355469,374.3722839355469,0.0,374.38897705078125,374.38897705078125,0.0,375.00543212890625,375.00543212890625,0.0,375.0220642089844,375.0220642089844,0.0,376.82135009765625,376.82135009765625,0.0,376.83807373046875,376.83807373046875,0.0,378.4875183105469,378.4875183105469,0.0,378.5043640136719,378.5043640136719,0.0,379.7369653700004,379.7369653700004,,374.2071802500009,374.2071802500009,,27.0
audio/NV_DE_Neural2-D_Ti-ro-Ei_0.6p.wav,5.557,NV,Neural2-D,Ti-ro-Ei,Ti,ro,Ei,0.6p,100,101,114,123,131,DE_Neural2-D_Ti-ro-Ei.TextGrid,0.16712,4.823604167,0.8730969083333333,1.3390780733333336,2.7234899013333336,3.125398463333333,4.372948466,4.823604167,mean,6,NV1,1.0,299.39678955078125,299.39678955078125,0.0,300.3962097167969,300.3962097167969,0.0,302.7121497700006,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,1.0,True,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,True,293.78192138671875,293.78192138671875,0.0,,call4,1,0,0,0.9978424099999756,0.9978424099999756,,2.2908615999995163,-0.3701172,-0.38671875,colour3,1,0,0,2.297547510000186,2.297547510000186,,2.7408642000000327,0.020507812,-0.10058594,number1,1,0,0,2.7475032100001044,,3.307306400000016,0.41796875,0.3125,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,300.3962097167969,300.3962097167969,0.0,,True,298.5968933105469,298.5968933105469,0.0,298.6136779785156,298.6136779785156,0.0,300.3962097167969,300.3962097167969,0.0,300.4129333496094,300.4129333496094,0.0,293.78192138671875,293.78192138671875,0.0,293.7984313964844,293.7984313964844,0.0,293.9318542480469,293.9318542480469,0.0,293.9483947753906,293.9483947753906,0.0,294.648193359375,294.648193359375,0.0,294.6648254394531,294.6648254394531,0.0,296.4977722167969,296.4977722167969,0.0,296.5142517089844,296.5142517089844,0.0,298.1470947265625,298.1470947265625,0.0,298.16357421875,298.16357421875,0.0,299.3633943700003,299.3633943700003,,293.7840251000016,293.7840251000016,,18.0
audio/NV_DE_Neural2-F_Ti-ge-Vi_0.6p.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.6p,100,101,114,121,134,DE_Neural2-F_Ti-ge-Vi.TextGrid,0.15712,4.254373791666667,0.7586913976666666,1.2029363956666663,2.309178027,2.63712,3.834413192333333,4.254373791666667,mean,4,NV1,1.0,455.1790466308594,455.1790466308594,0.0,456.1788330078125,456.1788330078125,0.0,459.54415667000075,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,1.0,True,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,True,450.0973205566406,450.0973205566406,0.0,,call4,1,0,0,1.0011954100009461,1.0011954100009461,,1.975903599999583,-0.44433594,-0.30371094,colour1,1,0,0,1.9841559100004815,1.9841559100004815,,2.777195699999538,-0.055664062,0.31640625,number4,1,0,0,2.784054210001159,,4.359277099999417,0.42089844,-0.296875,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,456.1788330078125,456.1788330078125,0.0,,True,454.3293762207031,454.3293762207031,0.0,454.3459777832031,454.3459777832031,0.0,456.1788330078125,456.1788330078125,0.0,456.1954040527344,456.1954040527344,0.0,450.0973205566406,450.0973205566406,0.0,450.1141662597656,450.1141662597656,0.0,450.24761962890625,450.24761962890625,0.0,450.2641906738281,450.2641906738281,0.0,450.84710693359375,450.84710693359375,0.0,450.86407470703125,450.86407470703125,0.0,452.3965148925781,452.3965148925781,0.0,452.4134826660156,452.4134826660156,0.0,453.91290283203125,453.91290283203125,0.0,453.92950439453125,453.92950439453125,0.0,455.1456996700005,455.1456996700005,,450.09962294000286,450.09962294000286,,34.0
