audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,condsFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,duration,noise,voice,words,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,blockStart.started,key_resp.started,fixation.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45987890000106,18.45987890000106,21.22879059999832,21.22879059999832,21.447887799993623,21.447887799993623,21.462353600014467,23.447230399993714,23.447230399993714,23.447230399993714,23.447485189992584,24.44817580000381,24.44817580000381,24.44817580000381,41.09739544997865,41.09589480000432,46.684063399996376,46.684063399996376,46.684063399996376,46.684063399996376,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,47.68479749999824,1.1164863999874797,1.316728100006003,3.3016022999945562,"[-0.32430555555555557, -0.4354166666666667, -0.02847222222222222, -0.3194444444444444]","[-0.48541666666666666, -0.19930555555555557, -0.27361111111111114, -0.30625]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.2014030999853276, 1.5688151999784168, 1.968682999984594, 2.6028685999917798]",['call4_2'],[0.008333333333333333],[-0.1375],[1],[0],[0],[3.186107399989851],['colour3_2'],[0.36944444444444446],[-0.275],[1],[0],[0],[3.5366384999942966],['number4_2'],False,False,False,,,,,,,,,,,,,,s00,1,2023-05-26_17h25.45.486,SentenceInNoise,2022.2.1,59.52809696402085,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.25462557000282,50.25386890000664,55.75835759998881,55.75835759998881,55.75835759998881,55.75835759998881,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,56.75943870001356,1.0330676000157837,1.7002550000033807,2.0839329000154976,[-0.325],[-0.1486111111111111],[1],[0],[0],[1.660206799977459],['call3_2'],[-0.03194444444444444],[-0.16597222222222222],[1],[0],[0],[2.0436762999743223],['colour3_2'],[0.47430555555555554],[-0.3284722222222222],[1],[0],[0],[2.6613902999961283],['number4_2'],False,False,False,,,,,,,,,,,,,,s00,1,2023-05-26_17h25.45.486,SentenceInNoise,2022.2.1,59.52809696402085,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.46178496998909,58.47837359999539,63.85105900000781,63.85105900000781,63.85105900000781,63.85105900000781,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,64.86640880000778,1.0390010999981314,5.187040699995123,6.17078610000317,"[-0.5041666666666667, -0.375]","[-0.12708333333333333, -0.12986111111111112]","[1, 1]","[0, 0]","[0, 0]","[5.145164300018223, 5.494950000022072]",['call3_2'],[-0.06388888888888888],[-0.12638888888888888],[1],[0],[0],[6.129740500007756],['colour3_2'],[0.36944444444444446],[-0.14097222222222222],[1],[0],[0],[6.67943010001909],['number3_2'],True,False,False,,,,,,,,,,,,,,s00,1,2023-05-26_17h25.45.486,SentenceInNoise,2022.2.1,59.52809696402085,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.57234566999541,70.5886662999983,75.96103619999485,75.96103619999485,75.96103619999485,75.96103619999485,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,76.97687390001374,1.0386183000227902,2.0506808000209276,2.6681385000119917,"[-0.24513888888888888, -0.3284722222222222]","[-0.3104166666666667, -0.30486111111111114]","[1, 1]","[0, 0]","[0, 0]","[2.008261600014521, 2.2586523999925703]",['call4_2'],[0.08472222222222223],[-0.28125],[1],[0],[0],[2.6259187000105157],['colour4_2'],[0.375],[-0.2972222222222222],[1],[0],[0],[2.9759779000014532],['number4_2'],False,False,False,,,,,,,,,,,,,,s00,1,2023-05-26_17h25.45.486,SentenceInNoise,2022.2.1,59.52809696402085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.99513649998698,78.99513649998698,80.58011290000286,80.58011290000286,81.65090850001434,81.65090850001434,81.66433800000232,81.7145162000088,81.73112650000257,82.39847240000381,82.41503450000891,84.24989529998857,84.26644820001093,,,,,,,
