audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,condsFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,duration,noise,voice,words,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,beep_rest_pre_start.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,key_resp.started,fixation.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.976079799933359,10.976079799933359,12.343784200027585,12.343784200027585,12.544076140015385,12.543511199997738,12.543511199997738,12.560673799947836,16.54686749994289,16.54686749994289,16.54686749994289,16.54689042001264,17.547790099983104,17.547790099983104,17.547790099983104,20.16663745996775,20.166386400000192,25.754861399997026,25.754861399997026,25.754861399997026,25.754861399997026,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,26.75534329994116,1.1171779000433162,2.7686698000179604,3.302202600054443,[-0.43333333333333335],[0.2916666666666667],[1],[0],[0],[2.649468900053762],['call1_2'],[-0.010416666666666666],[0.2604166666666667],[1],[0],[0],[3.180225900025107],['colour1_2'],[0.4173611111111111],[0.37430555555555556],[1],[0],[0],[3.6972323999507353],['number1_2'],False,False,False,,,,,,,,,,,,,s00,1,2023-05-16_16h28.17.359,SentenceInNoise,2022.2.1,59.94125756688776,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.490844359935725,29.49089010001626,35.000353800016455,35.000353800016455,35.000353800016455,35.000353800016455,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,36.013736499939114,1.0366949000163004,2.048821200034581,3.6156132000032812,"[-0.4111111111111111, -0.18611111111111112, -0.40069444444444446]","[-0.22013888888888888, -0.13819444444444445, -0.07152777777777777]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.00784289999865, 2.423497000010684, 3.1570499000372365]",['call3_2'],[0.08680555555555555],[0.14305555555555555],[1],[0],[0],[3.574879899970256],['colour2_2'],[0.3875],[0.018055555555555554],[1],[0],[0],[4.891793299932033],['number2_2'],False,False,False,,,,,,,,,,,,,s00,1,2023-05-16_16h28.17.359,SentenceInNoise,2022.2.1,59.94125756688776,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94945299997926,39.94945299997926,42.46808769996278,46.75516930001322,46.75516930001322,46.77174959995318,46.80507979996037,46.82169300003443,47.455627999966964,47.472215199959464,49.27391180000268,49.29043069994077,,,,,,,
