audiofile,callSign,colour,number,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall_2.clicked_name_raw,mouseClickOnCall_2.leftButton_raw,mouseClickOnCall_2.midButton_raw,mouseClickOnCall_2.rightButton_raw,mouseClickOnCall_2.time_raw,mouseClickOnCall_2.x_raw,mouseClickOnCall_2.y_raw,mouseClickOnColour_2.clicked_name_raw,mouseClickOnColour_2.leftButton_raw,mouseClickOnColour_2.midButton_raw,mouseClickOnColour_2.rightButton_raw,mouseClickOnColour_2.time_raw,mouseClickOnColour_2.x_raw,mouseClickOnColour_2.y_raw,mouseClickOnNumber_2.clicked_name_raw,mouseClickOnNumber_2.leftButton_raw,mouseClickOnNumber_2.midButton_raw,mouseClickOnNumber_2.rightButton_raw,mouseClickOnNumber_2.time_raw,mouseClickOnNumber_2.x_raw,mouseClickOnNumber_2.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,1.0,1.0,True,0.0,False,call2_2,1,0,0,6.732481200015172,-0.3611111111111111,0.06180555555555556,colour2_2,1,0,0,7.099237999995239,0.049305555555555554,0.02638888888888889,number2_2,1,1,0,0,0,0,7.416268599918112,7.66662949998863,0.26805555555555555,0.3611111111111111,0.03194444444444444,0.025,0.0,False,0.0
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,1.0,1.0,True,0.0,False,call2_2,1,0,0,1.4842561000259593,-0.39861111111111114,0.15486111111111112,colour2_2,1,1,0,0,0,0,1.818018599995412,2.1181258000433445,0.06388888888888888,0.05694444444444444,-0.006944444444444444,0.06736111111111111,number2_2,1,0,0,2.4521443999838084,0.3194444444444444,0.12777777777777777,0.0,False,1.0
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,1.0,0.0,False,0.0,False,call1_2,1,0,0,2.5266609999816865,-0.4111111111111111,0.27361111111111114,colour3_2,1,0,0,2.943787799915299,-0.04861111111111111,-0.02013888888888889,number3_2,1,0,0,3.428196099936031,0.38680555555555557,-0.17291666666666666,0.0,False,2.0
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,1.0,0.0,False,0.0,False,call4_2,1,0,0,1.8265356000047177,-0.39305555555555555,-0.2590277777777778,colour2_2,1,0,0,2.226531199994497,-0.03125,0.06597222222222222,number3_2,1,0,0,2.693776300060563,0.3104166666666667,-0.13958333333333334,0.0,False,3.0

extraInfo
participant,s00
order,1
date,2023-05-16_15h56.14.784
expName,SentenceInNoise
psychopyVersion,2022.2.1
frameRate,60.13192943571733
