audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,condsFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,duration,noise,voice,words,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,blockStart.started,key_resp.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,pp_t3_start.started,pp_t3_start.stopped,pp_end.started,pp_end.stopped,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.818404999998165,18.818404999998165,26.807098899997072,26.807098899997072,29.545084500015946,29.545084500015946,29.56269130000146,31.547858800011454,31.547858800011454,31.547858800011454,31.547649839997757,32.548847099998966,32.548847099998966,32.548847099998966,41.140424460009676,41.13595450000139,46.723840100021334,46.723840100021334,46.723840100021334,46.723840100021334,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,47.72471890001907,1.1164117000007536,4.286074499977985,4.953270199999679,[-0.4444444444444444],[-0.17222222222222222],[1],[0],[0],[4.164673599996604],['call3_2'],"[-0.09583333333333334, 0.07222222222222222]","[-0.11805555555555555, -0.1125]","[1, 1]","[0, 0]","[0, 0]","[4.531989399984013, 4.831825800007209]",['colour3_2'],"[0.5326388888888889, 0.4361111111111111]","[-0.3625, -0.3458333333333333]","[1, 1]","[0, 0]","[0, 0]","[5.315904399991268, 5.632298799988348]",['number4_2'],False,False,False,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h33.49.288,SentenceInNoise,2022.2.1,60.12567468323363,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.41238946000231,52.41215370001737,57.96756320001441,57.96756320001441,57.96756320001441,57.96756320001441,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,58.96790330001386,1.0666346999933012,2.601746700005606,3.485204700002214,[-0.3388888888888889],[-0.30694444444444446],[1],[0],[0],[2.538818100001663],['call4_2'],"[-0.09027777777777778, 0.06666666666666667]","[-0.3055555555555556, -0.33958333333333335]","[1, 1]","[0, 0]","[0, 0]","[2.8550798000069335, 3.4221167999785393]",['colour4_2'],"[0.5104166666666666, 0.4236111111111111]","[-0.35833333333333334, -0.34097222222222223]","[1, 1]","[0, 0]","[0, 0]","[3.8557345000153873, 4.205897500010906]",['number4_2'],False,False,False,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h33.49.288,SentenceInNoise,2022.2.1,60.12567468323363,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.20409721999895,62.20402110001305,67.57696609999402,67.57696609999402,67.57696609999402,67.57696609999402,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,68.59283810001216,1.038551900011953,6.2210634000075515,6.971802400017623,[-0.3645833333333333],[-0.07708333333333334],[1],[0],[0],[6.178367399988929],['call3_2'],[-0.050694444444444445],[-0.09652777777777778],[1],[0],[0],[6.929367000004277],['colour3_2'],[0.4083333333333333],[-0.1111111111111111],[1],[0],[0],[7.362835300009465],['number3_2'],True,False,False,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h33.49.288,SentenceInNoise,2022.2.1,60.12567468323363,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98185622001766,74.98162649999722,80.37368550000247,80.37368550000247,80.37368550000247,80.37368550000247,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,81.38712580001447,1.055513700004667,5.887064900016412,6.754548299999442,[-0.3888888888888889],[-0.09583333333333334],[1],[0],[0],[5.82601849999628],['call3_2'],[0.027777777777777776],[-0.16666666666666666],[1],[0],[0],[6.693708600010723],['colour3_2'],[0.35833333333333334],[-0.1486111111111111],[1],[0],[0],[7.327307100000326],['number3_2'],True,False,False,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h33.49.288,SentenceInNoise,2022.2.1,60.12567468323363,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8269341000123,87.8269341000123,89.52839880000101,89.52839880000101,93.11400140001206,93.13106000001426,93.18127930001356,93.19832429999951,93.71530310000526,93.7319523000042,95.33346990001155,95.3497095000057,96.85141900001327,96.86808780001593,97.16833320001024,97.1849875000189,,,,,,,
