audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,condsFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,duration,noise,voice,words,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,screenAfterAudio_3.stopped,beep_rest_pre_end.started,beep_rest_pre_end.stopped,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,instrTaskText.started,key_resp_inst.started,blockStart.started,key_resp.started,sound_1.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,pp_t3_start.started,pp_t3_start.stopped,pp_end.started,pp_end.stopped,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.021591900003841,13.021591900003841,14.039237300021341,14.039237300021341,14.239147200016305,14.239147200016305,14.256730099994456,16.241398500016658,16.241398500016658,16.241398500016658,16.24127112001588,17.241794100002153,17.241794100002153,17.241794100002153,20.56121568000526,20.561379200022202,26.1498636000033,26.1498636000033,26.1498636000033,26.1498636000033,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,27.153957000002265,1.122775299998466,2.5391224000195507,3.269170400017174,[-0.4444444444444444],[-0.11388888888888889],[1],[0],[0],[2.4157285999972373],['call3_2'],[-0.0798611111111111],[-0.07569444444444444],[1],[0],[0],[3.1457394000026397],['colour3_2'],[0.39166666666666666],[-0.08055555555555556],[1],[0],[0],[4.046703799976967],['number3_2'],False,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h36.41.231,SentenceInNoise,2022.2.1,59.95577661397002,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23631786000624,30.23617690001265,35.74284270001226,35.74284270001226,35.74284270001226,35.74284270001226,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,36.75844100001268,1.0394964999868535,4.536374799994519,5.203363599983277,[-0.4097222222222222],[0.18055555555555555],[1],[0],[0],[4.494513499987079],['call2_2'],[0.025694444444444443],[0.30486111111111114],[1],[0],[0],[5.161310700001195],['colour1_2'],[0.41388888888888886],[0.2701388888888889],[1],[0],[0],[5.795006300002569],['number1_2'],True,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h36.41.231,SentenceInNoise,2022.2.1,59.95577661397002,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5961420800013,41.5961840999953,46.96792660001665,46.96792660001665,46.96792660001665,46.96792660001665,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,47.985049000009894,1.038882900000317,2.671491799992509,4.336066999996547,"[-0.5055555555555555, -0.39861111111111114]","[0.15555555555555556, 0.15069444444444444]","[1, 1]","[0, 0]","[0, 0]","[2.6303270000207704, 2.9967316000256687]",['call2_2'],"[-0.21597222222222223, -0.029861111111111113]","[0.16597222222222222, 0.14375]","[1, 1]","[0, 0]","[0, 0]","[3.4438831999723334, 4.2951574999897275]",['colour2_2'],[0.44583333333333336],[0.1451388888888889],[1],[0],[0],[5.112666300003184],['number2_2'],False,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h36.41.231,SentenceInNoise,2022.2.1,59.95577661397002,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-13db.wav,Kr,we,Dr,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1220196600043,52.12179900001502,57.51248060000944,57.51248060000944,57.51248060000944,57.51248060000944,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,58.52751030001673,1.0380766000016592,2.050186499982374,3.01758649997646,[-0.4388888888888889],[-0.06458333333333334],[1],[0],[0],[2.007551999995485],['call3_2'],[0.07083333333333333],[-0.09097222222222222],[1],[0],[0],[2.975053600006504],['colour3_2'],[0.47638888888888886],[-0.09583333333333334],[1],[0],[0],[3.4092387000273447],['number3_2'],True,False,False,,,,,,,,,,,,,,,,,,s00,1,2023-05-26_17h36.41.231,SentenceInNoise,2022.2.1,59.95577661397002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.97961520001991,60.97961520001991,62.3811612999998,62.3811612999998,62.684688299996196,62.680987300002016,62.698411899997154,62.78229000000283,62.79830620001303,63.315660199994454,63.33245360001456,64.83338739999454,64.8504191999964,66.40125769999577,66.41789660000359,66.9684729000146,66.98564470000565,,,,,,,
