TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,NV_trial,Triggered_trial,Jitter_trial,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.0,8.0,1.0,5.0,7.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,0.0038309599995045573,None,0.47949986000003264,None,0.9586037600001873,None,"['num_4', 'return']","[0.15609910000057425, 0.291434499999923]",33.66636160000053,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
4.0,8.0,1.0,5.0,7.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.037244300000566, 0.1492554000005839]",34.000673700000334,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
4.0,8.0,1.0,5.0,7.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.029782600000544335, 0.16442189999997936]",34.20124570000007,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
4.0,8.0,1.0,5.0,7.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,0.0053505599998970865,None,0.477791260000231,None,0.9615618600000744,None,"['num_4', 'return']","[0.06134770000062417, 0.2129107999999178]",35.872677500000464,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.03802990000076534, 0.1492975999999544]",36.136441800000284,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.04703739999968093, 0.19100450000041747]",36.33495410000069,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,0.005825560000630503,None,0.47878726000089955,None,0.9621685600004639,None,"['num_4', 'return']","[0.1620202000003701, 0.3063484000003882]",38.027843900000335,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.034062200000335, 0.14665469999999914]",38.37133360000007,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.043786399999589776, 0.13901520000035816]",38.5551516000005,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,0.005751159999817901,None,0.46155415999965044,None,0.9452831600001446,None,"['num_4', 'return']","[0.25000809999983176, 0.36240169999928185]",40.17182810000031,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.04816149999987829, 0.15170920000036858]",40.57392680000066,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.022033700000065437, 0.1341485000002649]",40.78400280000005,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,0.013671019999492273,None,0.4943364199989446,None,0.9782516199993552,None,"['num_4', 'return']","[0.1851464000001215, 0.3287149000007048]",42.42876800000067,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.021305799999936426, 0.1336403999994218]",42.80830660000083,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.020144600000094215, 0.12540609999996377]",42.99371060000067,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,0.006307460000243736,None,0.4793928600001891,None,0.9462511600004291,None,"['num_4', 'return']","[0.16581779999978608, 0.29370099999960075]",44.60004790000039,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.029865999999856285, 0.13383470000007947]",44.94401830000061,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,"['num_4', 'return']","[0.015888900000391004, 0.15945730000021285]",45.126588100000845,None,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,45.32526250000046,None,,,,,,,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.56100870000046,47.57423110000036,return,2.901288900000509,46.56100870000046,None,1,001,2021_Nov_12_1418,eeg_contingent_digits,2021.2.3,59.87654653614204,
