TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,0.016622480005025864,None,0.49927227999432944,None,0.9828351799951633,None,['return'],[0.5341770999948494],36.745034100007615,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,['return'],[0.22326139999495354],37.306019800002105,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,['return'],[0.21519760000228416],37.55596240000159,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,0.0088501399877714,None,0.4840476399840554,None,0.9672293399926275,None,['return'],[0.5156592000130331],39.22547720000148,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,['return'],[0.1913864999951329],39.77528890001122,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,['return'],[0.20215399999869987],39.98911350000708,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,0.0095761399861658,None,0.4854996399808442,None,0.9688424399791984,None,['return'],[0.5249131000018679],41.673218300013104,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,['return'],[0.1931481000065105],42.22230330000457,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,['return'],[0.19740699999965727],42.43897149999975,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
7.0,2.0,3.0,0.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,0.0008238399896072224,None,0.46957554000255186,None,0.9720577400003094,None,['return'],[1.7131922999978997],44.12215640000068,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,['return'],[0.44282559999555815],45.855381000001216,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,['return'],[0.39026069999090396],46.32197070000984,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
8.0,1.0,9.0,2.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,0.0007302399899344891,None,0.4679506399843376,None,0.9510951399861369,None,['return'],[0.5305908000009367],48.18851760000689,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,['return'],[0.3656405000074301],48.73848880000878,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,['return'],[0.34640500000386965],49.12176960000943,None,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,49.488567799999146,None,1,001,2021_Oct_19_1634,eeg_contingent_digits,2021.2.3,60.06568783467896,
