TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,0.010688750007830095,None,0.470741650009586,None,0.9540342500040424,None,['return'],[0.4707750999950804],34.526047400002426,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.789893299996038],35.02599580000242,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.7921335999999428],35.84276280000631,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,0.010776050003187265,None,0.4878542500009644,None,0.9544598499996937,None,['return'],[0.368589300000167],38.09743370000069,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6943490000048769],38.492520700005116,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.7609831999943708],39.209000700000615,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,0.009941749995050486,None,0.4864243499978329,None,0.9696063499941374,None,['return'],[0.4276490000047488],41.44218300000648,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.6778399999966496],41.89227760000358,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
