TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text.started,text.stopped,text_calibration_repeat.started,text_calibration_repeat.stopped,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,Fixation_Play.started,Fixation_Play.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_6', 'return']","[0.5040673000003153, 0.9440867999983311]",161.5890791999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.4170893000009528, 0.817129200000636]",162.57204550000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0.012640839999221498,None,0.4918329399988579,None,0.9749873399996432,None,"['num_8', 'return']","[0.32530659999974887, 1.117279600002803]",164.88784130000204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.3517403000005288, 1.0477423000011186]",166.03739309999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_5', 'return']","[0.4687962999996671, 0.8608144999998331]",167.12031580000257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,0.001882969998405315,None,0.4704049699976167,None,0.953560269997979,None,"['num_4', 'return']","[0.11102659999960451, 0.7030033999981242]",169.48610270000063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.38523129999884986, 0.8572701000011875]",170.23584250000204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_0', 'return']","[0.5255701000023691, 0.9095894000020053]",171.13550600000235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,0.013181039998016786,None,0.4762873399959062,None,0.9593926399975317,None,"['num_9', 'return']","[0.3265189999983704, 0.8145397999978741]",173.53454580000107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,"['num_2', 'return']","[0.7407817999992403, 1.1407940999997663]",174.38426900000195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,"['num_6', 'return']","[0.4939334999980929, 0.8779293000006874]",175.56712160000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2021_Nov_09_1453,eeg_contingent_digits,2021.2.3,59.990737429449524,
