TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,response_nextblock_ME.rt,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,Fixation_Play.started,Fixation_Play.stopped,sound_digit1.started,sound_digit1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
6.0,9.0,2.0,6.0,13.0,,,,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,0.01648170000044047,None,['return'],[0.17588230000001204],24.856624799998826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
6.0,9.0,2.0,6.0,13.0,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,0.00023010000040812884,None,['return'],[0.18011189999924682],25.573605899999166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,0.001021400001263828,None,['return'],[0.16452580000077432],26.305886599999212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,,,,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,,0.0020124000002397224,None,['return'],[0.13028029999986757],27.02823519999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.205509399998846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,30.415363399999478,None,42.98185849999936,None,0.003516200000376557,None,44.39148759999989,None,"['1', 'return']","[0.9383546000008209, 1.1841385999996419]",45.3974150999984,None,45.3974150999984,None,45.3974150999984,46.39734269999826,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,46.67167840000002,None,0.006465899998147506,None,48.74171469999965,None,"['0', 'return']","[0.610345299999608, 0.7904655000002094]",49.74715059999835,None,49.74715059999835,None,49.74715059999835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,50.63668489999873,None,0.00533739999991667,None,52.71128089999911,None,"['1', 'return']","[0.5973240000002988, 0.7606023999996978]",53.71324639999875,None,53.71324639999875,None,53.71324639999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63045069999862,None,return,54.63045069999862,None,3.034206100001029,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1423,eeg_contingent_digits,2021.2.3,59.92240049081776,
