condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTrainText.started,key_resp_2.started,blockStart.started,key_resp.started,sound_1.started,fixation.started,pp_start.started,pp_t1_start.started,pp_t1_end.started,pp_t1_end.stopped,pp_start.stopped,pp_t1_start.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Ti-ro-Zw_0.75p.wav,4.9,NV,Neural2-F,Ti-ro-Zw,Ti,ro,Zw,0.75p,100,101,114,123,132,DE_Neural2-F_Ti-ro-Zw.TextGrid,0.17712,4.174076065040759,0.7140486013214059,1.203864907870069,2.225970755024855,2.57712,3.774535683490646,4.174076065040759,mean,16,NV1,0,0,0,0,0,0,0,179,22.902740099991206,22.902740099991206,24.286749399994733,24.286749399994733,24.7885743199673,24.78691140000592,24.78691140000592,24.78691140000592,24.78691140000592,24.803980900003808,24.820564699999522,24.820564699999522,29.342092499980936,29.342092499980936,29.342092499980936,29.342092499980936,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,30.344186200003605,1.0384640999836847,1.87068019999424,3.3185691999970004,33.31027059999178,"[0.38263888888888886, -0.41597222222222224]","[-0.1375, -0.15555555555555556]","[1, 1]","[0, 0]","[0, 0]","[1.8305830000026617, 2.680653400020674]",['call3'],[-0.043055555555555555],[-0.12013888888888889],[1],[0],[0],[3.2784410000022035],['colour3'],[0.32222222222222224],[0.13541666666666666],[1],[0],[0],[3.812145400006557],['number2'],True,False,False,s00,1,2023-03-23_11h44.41.762,SentenceInNoise,2022.2.1,59.82711161969449,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-D_Ad-we-Ei_0.8p.wav,5.6307,NV,Neural2-D,Ad-we-Ei,Ad,we,Ei,0.8p,100,101,111,124,131,DE_Neural2-D_Ad-we-Ei.TextGrid,0.16712,4.861934027863542,0.8009548708559393,1.339470758485065,2.756038743996664,3.1535939618409925,4.416756344645877,4.861934027863542,mean,0,NV1,0,0,0,0,0,1,1,149,,,,,33.31124869995983,33.31027059999178,33.31027059999178,33.31027059999178,33.31027059999178,33.32787149999058,33.34485389999463,33.34485389999463,38.548131199990166,38.548131199990166,38.548131199990166,38.548131199990166,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,39.548649100004695,1.038835499988636,4.608195799984969,4.991904099995736,44.22087739998824,[-0.4173611111111111],[-0.04861111111111111],[1],[0],[0],[4.566867599991383],['call3'],[0.013194444444444444],[-0.16805555555555557],[1],[0],[0],[4.949743099976331],['colour3'],[0.36736111111111114],[0.10625],[1],[0],[0],[5.533057699998608],['number2'],False,False,False,s00,1,2023-03-23_11h44.41.762,SentenceInNoise,2022.2.1,59.82711161969449,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.21998176996713,44.22087739998824,44.22087739998824,44.22087739998824,44.22087739998824,44.238879799988354,44.25571949998266,44.25571949998266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
