9.8617 	EXP 	Created colour2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, image='images/gruen.png', interpolate=True, mask=None, maskParams=None, name='colour2', opacity=1.0, ori=0.0, pos=array([0.        , 0.10416667]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.8807 	EXP 	Created colour3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, image='images/rot.png', interpolate=True, mask=None, maskParams=None, name='colour3', opacity=1.0, ori=0.0, pos=array([ 0.        , -0.10416667]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.9033 	EXP 	Created colour4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-12.0, flipHoriz=False, flipVert=False, image='images/weiss.png', interpolate=True, mask=None, maskParams=None, name='colour4', opacity=1.0, ori=0.0, pos=array([ 0.    , -0.3125]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.9253 	EXP 	Created number1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-13.0, flipHoriz=False, flipVert=False, image='images/1.png', interpolate=True, mask=None, maskParams=None, name='number1', opacity=1.0, ori=0.0, pos=array([0.4   , 0.3125]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.9442 	EXP 	Created number2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-14.0, flipHoriz=False, flipVert=False, image='images/2.png', interpolate=True, mask=None, maskParams=None, name='number2', opacity=1.0, ori=0.0, pos=array([0.4       , 0.10416667]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.9622 	EXP 	Created number3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-15.0, flipHoriz=False, flipVert=False, image='images/3.png', interpolate=True, mask=None, maskParams=None, name='number3', opacity=1.0, ori=0.0, pos=array([ 0.4       , -0.10416667]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.9831 	EXP 	Created number4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-16.0, flipHoriz=False, flipVert=False, image='images/4.png', interpolate=True, mask=None, maskParams=None, name='number4', opacity=1.0, ori=0.0, pos=array([ 0.4   , -0.3125]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
9.9834 	EXP 	window1: mouseVisible = True
9.9835 	EXP 	window1: mouseVisible = True
9.9835 	EXP 	window1: mouseVisible = True
10.0017 	EXP 	Created blankScreenAfterResponse = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-25.0, flipHoriz=False, flipVert=False, image='images/blankScreen.png', interpolate=True, mask=None, maskParams=None, name='blankScreenAfterResponse', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128, units='height', win=Window(...))
10.0086 	EXP 	Created thanksText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='thanksText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.0087 	EXP 	window1: mouseVisible = False
10.0155 	EXP 	instrTrainText: autoDraw = True
10.9948 	EXP 	Imported order1.csv as conditions, 4 conditions, 1 params
10.9950 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
10.9952 	EXP 	New trial (rep=0, index=0): OrderedDict([('condsFile', 'flow\\tts-golang-selected_PsyPySEQ_NV1.csv')])
10.9971 	DATA 	Keypress: space
11.0009 	EXP 	instrTrainText: autoDraw = False
11.0009 	EXP 	blockStart: autoDraw = True
11.5554 	DATA 	Keypress: space
11.6098 	EXP 	Imported flow\tts-golang-selected_PsyPySEQ_NV1.csv as conditions, 192 conditions, 26 params
11.6105 	EXP 	Created sequence: random, trialTypes=192, nReps=1, seed=None
11.6109 	EXP 	New trial (rep=0, index=0): OrderedDict([('audiofile', 'audio/NV_DE_Neural2-D_Ad-ge-Dr_0.6p.wav'), ('duration', 5.4325), ('noise', 'NV'), ('voice', 'Neural2-D'), ('words', 'Ad-ge-Dr'), ('callSign', 'Ad'), ('colour', 'ge'), ('number', 'Dr'), ('levels', '0.6p'), ('trigger_start', 100), ('trigger_end', 101), ('trigger_call', 111), ('trigger_col', 121), ('trigger_num', 133), ('file', 'DE_Neural2-D_Ad-ge-Dr.TextGrid'), ('firstSound_tmin', 0.16712), ('lastSound_tmax', 4.691872241114783), ('token_1_tmin', 0.7990562780688477), ('token_1_tmax', 1.35643887936906), ('token_2_tmin', 2.7791519544396777), ('token_2_tmax', 3.1459332842170253), ('token_3_tmin', 4.402681136873673), ('token_3_tmax', 4.691872241114783), ('rater', 'mean'), ('newidx', 30), ('block', 'NV1')])
11.7431 	EXP 	window1: mouseVisible = False
11.7533 	EXP 	Sound sound_1 started
11.7504 	EXP 	blockStart: autoDraw = False
11.7504 	EXP 	fixation: autoDraw = True
16.5397 	DATA 	Keypress: space
16.7506 	EXP 	Sound sound_1 reached end of file
16.7914 	EXP 	window1: mouseVisible = False
16.8047 	EXP 	fixation: autoDraw = False
16.8047 	EXP 	screenAfterAudio: autoDraw = True
16.8047 	EXP 	screenAfterAudio: autoDraw = False
16.8047 	EXP 	fixation: autoDraw = False
16.8047 	EXP 	screenAfterAudio: autoDraw = False
16.8047 	EXP 	call1: texRes = 128
16.8047 	EXP 	call2: texRes = 128
16.8047 	EXP 	call3: texRes = 128
16.8047 	EXP 	call4: texRes = 128
16.8047 	EXP 	colour1: texRes = 128
16.8047 	EXP 	colour2: texRes = 128
16.8047 	EXP 	colour3: texRes = 128
16.8047 	EXP 	colour4: texRes = 128
16.8047 	EXP 	number1: texRes = 128
16.8047 	EXP 	number2: texRes = 128
16.8047 	EXP 	number3: texRes = 128
16.8047 	EXP 	number4: texRes = 128
16.8047 	EXP 	blankScreen: autoDraw = True
16.8048 	EXP 	window1: mouseVisible = False
16.8225 	EXP 	window1: mouseVisible = False
16.8394 	EXP 	window1: mouseVisible = False
16.8550 	EXP 	window1: mouseVisible = False
16.8722 	EXP 	window1: mouseVisible = False
16.8884 	EXP 	window1: mouseVisible = False
16.9058 	EXP 	window1: mouseVisible = False
16.9217 	EXP 	window1: mouseVisible = False
16.9388 	EXP 	window1: mouseVisible = False
16.9557 	EXP 	window1: mouseVisible = False
16.9728 	EXP 	window1: mouseVisible = False
16.9884 	EXP 	window1: mouseVisible = False
17.0056 	EXP 	window1: mouseVisible = False
17.0229 	EXP 	window1: mouseVisible = False
17.0385 	EXP 	window1: mouseVisible = False
17.0560 	EXP 	window1: mouseVisible = False
17.0719 	EXP 	window1: mouseVisible = False
17.0891 	EXP 	window1: mouseVisible = False
17.1060 	EXP 	window1: mouseVisible = False
17.1229 	EXP 	window1: mouseVisible = False
17.1382 	EXP 	window1: mouseVisible = False
17.1562 	EXP 	window1: mouseVisible = False
17.1719 	EXP 	window1: mouseVisible = False
17.1890 	EXP 	window1: mouseVisible = False
17.2061 	EXP 	window1: mouseVisible = False
17.2216 	EXP 	window1: mouseVisible = False
17.2393 	EXP 	window1: mouseVisible = False
17.2563 	EXP 	window1: mouseVisible = False
17.2720 	EXP 	window1: mouseVisible = False
17.2894 	EXP 	window1: mouseVisible = False
17.3060 	EXP 	window1: mouseVisible = False
17.3225 	EXP 	window1: mouseVisible = False
17.3396 	EXP 	window1: mouseVisible = False
17.3564 	EXP 	window1: mouseVisible = False
17.3728 	EXP 	window1: mouseVisible = False
17.3891 	EXP 	window1: mouseVisible = False
17.4061 	EXP 	window1: mouseVisible = False
17.4230 	EXP 	window1: mouseVisible = False
17.4396 	EXP 	window1: mouseVisible = False
17.4556 	EXP 	window1: mouseVisible = False
17.4730 	EXP 	window1: mouseVisible = False
17.4893 	EXP 	window1: mouseVisible = False
17.5055 	EXP 	window1: mouseVisible = False
17.5222 	EXP 	window1: mouseVisible = False
17.5389 	EXP 	window1: mouseVisible = False
17.5554 	EXP 	window1: mouseVisible = False
17.5723 	EXP 	window1: mouseVisible = False
17.5888 	EXP 	window1: mouseVisible = False
17.6059 	EXP 	window1: mouseVisible = False
17.6230 	EXP 	window1: mouseVisible = False
17.6394 	EXP 	window1: mouseVisible = False
17.6560 	EXP 	window1: mouseVisible = False
17.6723 	EXP 	window1: mouseVisible = False
17.6893 	EXP 	window1: mouseVisible = False
17.7057 	EXP 	window1: mouseVisible = False
17.7223 	EXP 	window1: mouseVisible = False
17.7393 	EXP 	window1: mouseVisible = False
17.7554 	EXP 	window1: mouseVisible = False
17.7725 	EXP 	window1: mouseVisible = False
17.7890 	EXP 	window1: mouseVisible = False
17.8055 	EXP 	blankScreen: autoDraw = False
17.8055 	EXP 	call1: autoDraw = True
17.8055 	EXP 	call2: autoDraw = True
17.8055 	EXP 	call3: autoDraw = True
17.8055 	EXP 	call4: autoDraw = True
17.8055 	EXP 	colour1: autoDraw = True
17.8055 	EXP 	colour2: autoDraw = True
17.8055 	EXP 	colour3: autoDraw = True
17.8055 	EXP 	colour4: autoDraw = True
17.8055 	EXP 	number1: autoDraw = True
17.8055 	EXP 	number2: autoDraw = True
17.8055 	EXP 	number3: autoDraw = True
17.8055 	EXP 	number4: autoDraw = True
17.8057 	EXP 	window1: mouseVisible = False
17.8059 	EXP 	window1: mouseVisible = True
17.8233 	EXP 	window1: mouseVisible = False
17.8235 	EXP 	window1: mouseVisible = True
17.8393 	EXP 	window1: mouseVisible = False
17.8396 	EXP 	window1: mouseVisible = True
17.8559 	EXP 	window1: mouseVisible = False
17.8562 	EXP 	window1: mouseVisible = True
17.8723 	EXP 	window1: mouseVisible = False
17.8725 	EXP 	window1: mouseVisible = True
17.8893 	EXP 	window1: mouseVisible = False
17.8896 	EXP 	window1: mouseVisible = True
17.9060 	EXP 	window1: mouseVisible = False
17.9062 	EXP 	window1: mouseVisible = True
17.9229 	EXP 	window1: mouseVisible = False
17.9232 	EXP 	window1: mouseVisible = True
17.9393 	EXP 	window1: mouseVisible = False
17.9396 	EXP 	window1: mouseVisible = True
17.9560 	EXP 	window1: mouseVisible = False
17.9562 	EXP 	window1: mouseVisible = True
17.9731 	EXP 	window1: mouseVisible = False
17.9734 	EXP 	window1: mouseVisible = True
17.9894 	EXP 	window1: mouseVisible = False
17.9896 	EXP 	window1: mouseVisible = True
18.0061 	EXP 	window1: mouseVisible = False
18.0063 	EXP 	window1: mouseVisible = True
18.0228 	EXP 	window1: mouseVisible = False
18.0230 	EXP 	window1: mouseVisible = True
18.0391 	EXP 	window1: mouseVisible = False
18.0392 	EXP 	window1: mouseVisible = True
18.0561 	EXP 	window1: mouseVisible = False
18.0563 	EXP 	window1: mouseVisible = True
18.0728 	EXP 	window1: mouseVisible = False
18.0732 	EXP 	window1: mouseVisible = True
18.0897 	EXP 	window1: mouseVisible = False
18.0900 	EXP 	window1: mouseVisible = True
18.1062 	EXP 	window1: mouseVisible = False
18.1065 	EXP 	window1: mouseVisible = True
18.1229 	EXP 	window1: mouseVisible = False
18.1232 	EXP 	window1: mouseVisible = True
18.1392 	EXP 	window1: mouseVisible = False
18.1394 	EXP 	window1: mouseVisible = True
18.1560 	EXP 	window1: mouseVisible = False
18.1562 	EXP 	window1: mouseVisible = True
18.1726 	EXP 	window1: mouseVisible = False
18.1728 	EXP 	window1: mouseVisible = True
18.1896 	EXP 	window1: mouseVisible = False
18.1900 	EXP 	window1: mouseVisible = True
18.2057 	EXP 	window1: mouseVisible = False
