condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTrainText.started,key_resp_2.started,blockStart.started,key_resp.started,sound_1.started,fixation.started,pp_start.started,pp_t1_start.started,pp_t1_end.started,pp_t2_start.started,pp_t2_end.started,pp_t3_start.started,pp_t3_end.started,pp_end.started,pp_start.stopped,pp_t1_start.stopped,pp_t1_end.stopped,pp_t2_start.stopped,pp_t2_end.stopped,pp_t3_start.stopped,pp_t3_end.stopped,pp_end.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Dr-gr-Vi_0.6p.wav,4.9925,NV,Neural2-F,Dr-gr-Vi,Dr,gr,Vi,0.6p,100,101,112,122,134,DE_Neural2-F_Dr-gr-Vi.TextGrid,0.16712,4.250294634669517,0.6810295622379913,1.2049524891739003,2.252571896109662,2.59712,3.8107937413014312,4.250294634669517,mean,24,NV1,0,0,0,0,0,0,0,117,11.851588599995011,11.851588599995011,13.537235600000713,13.537235600000713,14.189092100030393,14.186977100005606,0.2403772000106983,0.2403772000106983,0.2403772000106983,0.2403772000106983,0.2403772000106983,0.2403772000106983,0.2403772000106983,0.2403772000106983,0.24693990001105703,0.24693990001105703,0.24693990001105703,0.24693990001105703,0.24693990001105703,0.24693990001105703,0.24693990001105703,0.24693990001105703,18.841414900001837,18.841414900001837,18.841414900001837,18.841414900001837,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,19.844522700004745,1.0386922000034247,6.608155100024305,7.3215657000255305,26.930678800010355,[-0.45902777777777776],[0.2652777777777778],[1],[0],[0],[6.568426699988777],['call1'],[0.020833333333333332],[0.029861111111111113],[1],[0],[0],[7.282217600004515],['colour2'],[0.3840277777777778],[-0.09236111111111112],[1],[0],[0],[7.899157000007108],['number3'],False,False,False,s00,1,2023-03-22_14h19.30.313,SentenceInNoise,2022.2.1,60.022064118064606,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Dr-ro-Ei_0.8p.wav,5.0857,NV,Neural2-F,Dr-ro-Ei,Dr,ro,Ei,0.8p,100,101,112,123,131,DE_Neural2-F_Dr-ro-Ei.TextGrid,0.16712,4.316758085233376,0.6826226241817128,1.1958408472456117,2.18190354499794,2.549007265021179,3.747429689400271,4.316758085233376,mean,15,NV1,0,0,0,0,0,1,1,77,,,,,26.930297840025744,26.930678800010355,0.17456519999541342,0.17456519999541342,0.17456519999541342,0.17456519999541342,0.17456519999541342,0.17456519999541342,0.17456519999541342,0.17456519999541342,0.18399819999467582,0.18399819999467582,0.18399819999467582,0.18399819999467582,0.18399819999467582,0.18399819999467582,0.18399819999467582,0.18399819999467582,31.78507620000164,31.78507620000164,31.78507620000164,31.78507620000164,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,32.786126199993305,1.1601305999793112,2.177873799984809,3.2115074999746867,37.12305279998691,[-0.36527777777777776],[-0.16041666666666668],[1],[0],[0],[2.015558699989924],['call3'],[0.04027777777777778],[0.26805555555555555],[1],[0],[0],[3.0493226000107825],['colour1'],"[0.2048611111111111, 0.36666666666666664]","[0.1076388888888889, 0.10555555555555556]","[1, 1]","[0, 0]","[0, 0]","[3.7833239000174217, 5.101708400005009]",['number2'],False,False,False,s00,1,2023-03-22_14h19.30.313,SentenceInNoise,2022.2.1,60.022064118064606,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Kr-ro-Zw_0.75p.wav,4.9106,NV,Neural2-F,Kr-ro-Zw,Kr,ro,Zw,0.75p,100,101,113,123,132,DE_Neural2-F_Kr-ro-Zw.TextGrid,0.15712,4.171391616755709,0.7094826810890311,1.243518704322232,2.22944635568641,2.56712,3.767349748872311,4.171391616755709,mean,14,NV1,0,0,0,0,0,2,2,16,,,,,37.1055998800206,37.12305279998691,0.21713229999295436,0.21713229999295436,0.21713229999295436,0.21713229999295436,0.21713229999295436,0.21713229999295436,0.21713229999295436,0.21713229999295436,0.23600790000637062,0.23600790000637062,0.23600790000637062,0.23600790000637062,0.23600790000637062,0.23600790000637062,0.23600790000637062,0.23600790000637062,41.69386289999238,41.69386289999238,41.69386289999238,41.69386289999238,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,42.71018759999424,1.048110000003362,8.015499499975704,9.082603999995627,,[-0.3958333333333333],[-0.06041666666666667],[1],[0],[0],[7.964379400014877],['call3'],[-0.02361111111111111],[0.11180555555555556],[1],[0],[0],[9.031505399994785],['colour2'],[],[],[],[],[],[],[],False,False,NO_ANSW,s00,1,2023-03-22_14h19.30.313,SentenceInNoise,2022.2.1,60.022064118064606,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-D_Kr-we-Ei_0.6p.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.6p,100,101,113,124,131,DE_Neural2-D_Kr-we-Ei.TextGrid,0.17712,4.75605298886311,0.8137350288370031,1.2751825952236704,2.6303654971141714,3.030194458492933,4.289901506743028,4.75605298886311,mean,14,NV1,0,0,0,0,0,3,3,66,,,,,51.91729116000061,51.918705299991416,0.2104332000017166,0.2104332000017166,0.2104332000017166,0.2104332000017166,0.2104332000017166,0.2104332000017166,0.2104332000017166,0.2104332000017166,0.2158798000018578,0.2158798000018578,0.2158798000018578,0.2158798000018578,0.2158798000018578,0.2158798000018578,0.2158798000018578,0.2158798000018578,57.18892389998655,57.18892389998655,57.18892389998655,57.18892389998655,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,58.18965029998799,1.1860331000061706,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,s00,1,2023-03-22_14h19.30.313,SentenceInNoise,2022.2.1,60.022064118064606,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Ad-ge-Zw_0.75p.wav,4.9664,NV,Neural2-F,Ad-ge-Zw,Ad,ge,Zw,0.75p,100,101,111,121,132,DE_Neural2-F_Ad-ge-Zw.TextGrid,0.16712,4.2420349736813865,0.7120589462828346,1.25712,2.2880270827946214,2.60712,3.8325146733466817,4.2420349736813865,mean,9,NV1,0,0,0,0,0,4,4,45,,,,,67.43009770002391,67.44812119999551,0.24669949998497032,0.24669949998497032,0.24669949998497032,0.24669949998497032,0.24669949998497032,0.24669949998497032,0.24669949998497032,0.24669949998497032,0.26577059997362085,0.26577059997362085,0.26577059997362085,0.26577059997362085,0.26577059997362085,0.26577059997362085,0.26577059997362085,0.26577059997362085,72.31803940000827,72.31803940000827,72.31803940000827,72.31803940000827,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,73.31865339999786,1.29073249999783,5.961169899994275,9.597570799989626,82.40952330001164,"[-0.28402777777777777, -0.28541666666666665, 0.3770833333333333, -0.4388888888888889]","[0.5, 0.5, -0.08958333333333333, -0.06805555555555555]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5.668110800004797, 5.918470900011016, 6.669293699989794, 8.587204699986614]",['call3'],[-0.030555555555555555],[-0.1326388888888889],[1],[0],[0],[9.304595199995674],['colour3'],[0.37777777777777777],[-0.33541666666666664],[1],[0],[0],[9.787852599984035],['number4'],False,False,False,s00,1,2023-03-22_14h19.30.313,SentenceInNoise,2022.2.1,60.022064118064606,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.40856218002445,82.40952330001164,0.2911702000128571,0.2911702000128571,0.2911702000128571,0.2911702000128571,0.2911702000128571,0.2911702000128571,0.2911702000128571,0.2911702000128571,0.3036973999987822,0.3036973999987822,0.3036973999987822,0.3036973999987822,0.3036973999987822,0.3036973999987822,0.3036973999987822,0.3036973999987822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
