condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTrainText.started,key_resp_2.started,blockStart.started,key_resp.started,sound_1.started,fixation.started,pp_start.started,pp_start.stopped,pp_t0_start.started,pp_t0_start.stopped,pp_t1_start.started,pp_t1_start.stopped,pp_t2_start.started,pp_t2_start.stopped,pp_t3_start.started,pp_t3_start.stopped,pp_end.started,pp_end.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-D_Kr-gr-Ei_0.7p.wav,5.6275,NV,Neural2-D,Kr-gr-Ei,Kr,gr,Ei,0.7p,100,101,113,122,131,DE_Neural2-D_Kr-gr-Ei.TextGrid,0.17712,4.887801438666667,0.8296706986666668,1.292363874,2.6996133163333336,3.1151457616666662,4.417038116333333,4.887801438666667,mean,12,NV1,0,0,0,0,0,0,0,93,18.45544620003784,18.45544620003784,19.589413300040178,19.589413300040178,19.94135030003963,19.939659500028938,19.939659500028938,19.95657099998789,20.040543799987063,20.057258200016804,20.690600500034634,20.707246300007682,22.55874780000886,22.575798900041264,24.276965200027917,24.29406059999019,24.760691600036807,24.777640599990264,25.177652000042144,25.177652000042144,25.177652000042144,25.177652000042144,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,26.17822470003739,1.047326100000646,1.647604500001762,2.3313186000450514,28.19770180003252,[-0.31666666666666665],[-0.15486111111111112],[1],[0],[0],[1.6033701000269502],['call3'],"[-0.09583333333333334, 0.02847222222222222]","[-0.14375, -0.15555555555555556]","[1, 1]","[0, 0]","[0, 0]","[2.001281899982132, 2.284797200001776]",['colour3'],"[0.3090277777777778, 0.3472222222222222]","[-0.11875, -0.10833333333333334]","[1, 1]","[0, 0]","[0, 0]","[2.651785199996084, 2.8857197999604978]",['number3'],False,False,False,s00,1,2023-03-28_18h33.52.089,SentenceInNoise,2022.2.1,59.67487933383532,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.18145823999075,28.19770180003252,28.19770180003252,28.214023300039116,28.23079250002047,28.24737689999165,28.914488100039307,28.931131899997126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
