condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,rater,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTrainText.started,key_resp_2.started,blockStart.started,key_resp.started,sound_1.started,fixation.started,pp_t1_start.started,pp_t1_end.started,pp_start.started,pp_t1_start.stopped,pp_t1_end.stopped,pp_start.stopped,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Kr-gr-Ei_0.6p.wav,5.1928,NV,Neural2-F,Kr-gr-Ei,Kr,gr,Ei,0.6p,DE_Neural2-F_Kr-gr-Ei.TextGrid,Rahel,0.16712,4.439411835884895,0.7201929980045574,1.2524472138335505,2.283726610427924,2.656790638417653,3.8269549299994776,4.439411835884895,1,NV1,0,0,0,0,0,0,0,118,11.642227399992407,11.642227399992407,13.026766599999974,13.026766599999974,16.54566248001647,16.546233600005507,0.22363919999042992,0.22363919999042992,0.22363919999042992,0.23302590000093915,0.23302590000093915,0.23302590000093915,21.386163799994392,21.386163799994392,21.386163799994392,21.386163799994392,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,22.387155599994003,1.050156600002083,2.2491156999894883,3.1296204999962356,25.95630629999505,[-0.3527777777777778],[0.05416666666666667],[1],[0],[0],[2.1983095000032336],['call2'],[-0.059722222222222225],[0.08819444444444445],[1],[0],[0],[3.078739600008703],['colour2'],"[0.5145833333333333, 0.41805555555555557]","[0.2708333333333333, 0.27291666666666664]","[1, 1]","[0, 0]","[0, 0]","[3.9962395999900764, 4.396617599995807]",['number1'],False,False,False,s00,1,2023-03-21_15h07.45.652,SentenceInNoise,2022.2.1,59.971057968709594,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Ad-ge-Vi_0.6p.wav,4.9866,NV,Neural2-F,Ad-ge-Vi,Ad,ge,Vi,0.6p,DE_Neural2-F_Ad-ge-Vi.TextGrid,Rahel,0.17712,4.236979799221598,0.7301949152642063,1.2599764926347214,2.3019851305044714,2.6240549881129787,3.8157217608278615,4.236979799221598,19,NV1,0,0,0,0,0,1,1,39,,,,,25.954028770011792,25.95630629999505,0.16149230000155512,0.16149230000155512,0.16149230000155512,0.16681270000117365,0.16681270000117365,0.16681270000117365,30.61063799999829,30.61063799999829,30.61063799999829,30.61063799999829,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,31.62548329999845,1.0445265999878757,1.7732130999938818,2.139909399993485,33.34352890000446,[-0.3784722222222222],[-0.11041666666666666],[1],[0],[0],[1.7245059999986552],['call3'],[-0.007638888888888889],[-0.12152777777777778],[1],[0],[0],[2.090837099996861],['colour3'],[0.48194444444444445],[-0.3111111111111111],[1],[0],[0],[2.558068300000741],['number4'],False,False,False,s00,1,2023-03-21_15h07.45.652,SentenceInNoise,2022.2.1,59.971057968709594,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-D_Kr-ro-Zw_0.8p.wav,5.3887,NV,Neural2-D,Kr-ro-Zw,Kr,ro,Zw,0.8p,DE_Neural2-D_Kr-ro-Zw.TextGrid,Rahel,0.16712,4.627898827091044,0.8452121033659028,1.2935079707015142,2.6183523653492453,3.0225122119907737,4.300031244792142,4.627898827091044,20,NV1,0,0,0,0,0,2,2,114,,,,,33.34300187000626,33.34352890000446,0.15027919999556616,0.15027919999556616,0.15027919999556616,0.16543940000701696,0.16543940000701696,0.16543940000701696,38.3651816000056,38.3651816000056,38.3651816000056,38.3651816000056,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,39.36515640000289,1.0539804000000004,1.7877546999952756,2.254723299993202,41.45064650000131,[-0.36180555555555555],[0.16944444444444445],[1],[0],[0],[1.7364864999981364],['call2'],[0.011805555555555555],[0.25972222222222224],[1],[0],[0],[2.2033451000024797],['colour1'],[0.36527777777777776],[0.13402777777777777],[1],[0],[0],[2.8880719000007957],['number2'],False,False,False,s00,1,2023-03-21_15h07.45.652,SentenceInNoise,2022.2.1,59.971057968709594,
flow\tts-golang-selected_PsyPySEQ_NV1.csv,audio/NV_DE_Neural2-F_Ti-we-Dr_0.6p.wav,4.9342,NV,Neural2-F,Ti-we-Dr,Ti,we,Dr,0.6p,DE_Neural2-F_Ti-we-Dr.TextGrid,Rahel,0.15712,4.168359255016034,0.7351344781539351,1.2143257799479164,2.29712,2.6591808542793216,3.8542868837197375,4.168359255016034,21,NV1,0,0,0,0,0,3,3,121,,,,,41.44983771000843,41.45064650000131,0.18560880000586621,0.18560880000586621,0.18560880000586621,0.20069159999547992,0.20069159999547992,0.20069159999547992,46.05415179999545,46.05415179999545,46.05415179999545,46.05415179999545,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,47.05487360000552,1.0549147999990964,1.9557887999981176,2.8561079000064638,49.97480579999683,[-0.33541666666666664],[-0.38055555555555554],[1],[0],[0],[1.89810980000766],['call4'],[0.01875],[0.24305555555555555],[1],[0],[0],[2.798346700001275],['colour1'],[0.39166666666666666],[0.38055555555555554],[1],[0],[0],[3.699660300000687],['number1'],False,False,False,s00,1,2023-03-21_15h07.45.652,SentenceInNoise,2022.2.1,59.971057968709594,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95666071001178,49.97480579999683,0.1986524000094505,0.1986524000094505,0.1986524000094505,0.21834940000553615,0.21834940000553615,0.21834940000553615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
