audioFile,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,polygon.started,blankScreen.started,polygon.stopped,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,sp01,Ad,Ge,1,0,0,0,0,10.348101399999905,10.348101399999905,11.2667363999999,11.265562900000077,14.674043500000153,14.674043500000153,14.674043500000153,14.674043500000153,14.674043500000153,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,15.672685000000456,1.0389250999996875,2.988418400000228,3.7522022000002835,18.82200120000016,[-0.3784722222222222],[-0.07361111111111111],[1],[0],[0],[2.945574000000306],['call3'],"[0.11388888888888889, 0.06041666666666667]","[-0.17152777777777778, -0.1597222222222222]","[1, 1]","[0, 0]","[0, 0]","[3.2923143999996682, 3.709250500000053]",['colour3'],[0.3715277777777778],[-0.3020833333333333],[1],[0],[0],[4.0595028000007005],['number4'],False,False,False,,,2023-01-18_15h07.17.124,MA_Theta_Exp,2022.2.1,59.8183078716818,
audio/zh_sp01_Dr_Gr_2.wav,sp01,Dr,Gr,2,0,1,1,1,,,18.822526800000198,18.82200120000016,22.29190759999983,22.29190759999983,22.29190759999983,22.29190759999983,22.29190759999983,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,23.292760100000123,1.0500647999997454,1.5338062999999238,2.1845632000004116,24.96086710000054,[-0.40347222222222223],[0.29444444444444445],[1],[0],[0],[1.4876870999996754],['call1'],[0.020833333333333332],[0.25],[1],[0],[0],[2.138752800000475],['colour1'],[0.3736111111111111],[0.06805555555555555],[1],[0],[0],[2.5724214000001666],['number2'],False,False,True,,,2023-01-18_15h07.17.124,MA_Theta_Exp,2022.2.1,59.8183078716818,
,,,,,,,,,,,24.961237699999586,24.96086710000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
