audioFile,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,sp01,Ad,Ge,1,0,0,0,0,8.986968799999886,8.986968799999886,10.540292399999998,10.538125400000354,13.926450400000249,13.926450400000249,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,14.928525700000137,1.0391491999998834,2.0380451000000903,2.5679681999999957,17.060461099999884,[-0.3145833333333333],[0.0763888888888889],[1],[0],[0],[1.9960756000000401],['call2'],[-0.04722222222222222],[0.0875],[1],[0],[0],[2.5260040000002846],['colour2'],[0.3875],[-0.14444444444444443],[1],[0],[0],[3.0432322000006025],['number3'],False,False,False,,,2023-01-18_14h58.11.630,MA_Theta_Exp,2022.2.1,60.0845991155597,
audio/zh_sp01_Dr_Gr_2.wav,sp01,Dr,Gr,2,0,1,1,1,,,17.060960679999518,17.060461099999884,20.51799320000009,20.51799320000009,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,21.531606999999894,1.038698899999872,2.483990200000335,3.2182055000002947,24.5357826999998,[-0.38333333333333336],[-0.3423611111111111],[1],[0],[0],[2.4394815999994535],['call4'],[0.014583333333333334],[-0.32569444444444445],[1],[0],[0],[3.173593699999401],['colour4'],[0.40347222222222223],[-0.17222222222222222],[1],[0],[0],[3.9242983000003733],['number3'],False,False,False,,,2023-01-18_14h58.11.630,MA_Theta_Exp,2022.2.1,60.0845991155597,
,,,,,,,,,,,24.53419387999984,24.5357826999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
