audioFile,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,sp01,Ad,Ge,1,0,0,0,0,16.54867479999848,16.54867479999848,18.50177606000052,18.50032139999894,21.88994829999865,21.88994829999865,21.88994829999865,21.88994829999865,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,22.890617899998688,1.0391919000012422,2.7380966000000626,3.835728100000779,26.541334800000186,[-0.4215277777777778],[-0.04583333333333333],[1],[0],[0],[2.6958767999985866],['call3'],[-0.005555555555555556],[0.3013888888888889],[1],[0],[0],[3.793045999998867],['colour1'],[0.3590277777777778],[0.12430555555555556],[1],[0],[0],[4.544609300000957],['number2'],False,True,False,,,2023-01-18_15h19.26.379,MA_Theta_Exp,2022.2.1,59.97353967419619,
audio/zh_sp01_Dr_Gr_2.wav,sp01,Dr,Gr,2,0,1,1,1,,,26.524736360000315,26.541334800000186,29.981443699998636,29.981443699998636,29.981443699998636,29.981443699998636,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,30.995451099999627,1.0394218000001274,2.851773800000956,3.5690031000012823,34.04708439999922,[-0.3451388888888889],[0.09722222222222222],[1],[0],[0],[2.8063734999996086],['call2'],"[-0.11666666666666667, -0.03680555555555556]","[0.06944444444444445, 0.0375]","[1, 1]","[0, 0]","[0, 0]","[3.206695099999706, 3.523476300000766]",['colour2'],[0.32222222222222224],[-0.15138888888888888],[1],[0],[0],[3.958272699999725],['number3'],True,True,False,,,2023-01-18_15h19.26.379,MA_Theta_Exp,2022.2.1,59.97353967419619,
,,,,,,,,,,,34.04801381999951,34.04708439999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
