audioFile,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,sp01,Ad,Ge,1,0,0,0,0,12.269485700002406,12.269485700002406,25.618499229976443,25.62831830000505,29.31436689995462,29.31436689995462,29.31436689995462,29.31436689995462,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,30.3151358999894,1.3341093000490218,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,2023-01-23_13h37.37.346,MA_Theta_Exp,2022.2.1,59.7477212276009,
audio/zh_sp01_Dr_Gr_2.wav,sp01,Dr,Gr,2,0,1,1,1,,,39.39012444997206,39.39022579998709,43.164726299990434,43.164726299990434,43.164726299990434,43.164726299990434,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,44.17678039998282,1.353481300000567,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,2023-01-23_13h37.37.346,MA_Theta_Exp,2022.2.1,59.7477212276009,
audio/zh_sp07_Ti_Ro_3.wav,sp07,Ti,Ro,3,0,2,2,2,,,53.31929420998785,53.32140989997424,55.98683529999107,55.98683529999107,55.98683529999107,55.98683529999107,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,56.987220699957106,1.0465327000129037,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],NO_ANSW,NO_ANSW,NO_ANSW,,,2023-01-23_13h37.37.346,MA_Theta_Exp,2022.2.1,59.7477212276009,
,,,,,,,,,,,66.06267364998348,66.0795630000066,68.75116869999329,68.75116869999329,68.75116869999329,68.75116869999329,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,69.76463749998948,1.0393921000068076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
