videoFile,condition,video,speaker,callSign,colour,number,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instrTrainText.started,key_resp_2.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,mouseClickOnNumber.started,blankScreenAfterResponse.started,call1.stopped,call2.stopped,call3.stopped,call4.stopped,colour1.stopped,colour2.stopped,colour3.stopped,colour4.stopped,number1.stopped,number2.stopped,number3.stopped,number4.stopped,blankScreenAfterResponse.stopped,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp01,Ad,We,4,0,0,0,0,8.87182390000089,8.87182390000089,9.638792400000966,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,10.639643099999375,1.0644990999971924,1.7482268999992812,2.581501099997695,12.791715100000147,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,12.808887700000923,13.42538659999991,[-0.39444444444444443],[0.07361111111111111],[1],[0],[0],[1.7001588000021002],['call2'],"[-0.12638888888888888, -0.0625]","[-0.12638888888888888, -0.12708333333333333]","[1, 1]","[0, 0]","[0, 0]","[2.200347400001192, 2.533453300002293]",['colour3'],[0.34444444444444444],[0.10694444444444444],[1],[0],[0],[3.1508039999971515],['number2'],False,False,False,,,2023-01-17_15h17.44.871,MA_Theta_Exp,2022.2.1,60.167783882286486,
audio/zh_sp01_Ad_Ge_1.wav,vocoded,noVideo,sp07,Ad,Ge,3,0,1,1,1,,,13.443101799999567,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,14.442995000001247,1.0493301000024076,2.3169049000025552,2.9003306000013254,17.045649899999262,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.062236400000984,17.67911230000027,[-0.42569444444444443],[0.10555555555555556],[1],[0],[0],[2.276021599998785],['call2'],[0.0125],[0.125],[1],[0],[0],[2.8595166000013705],['colour2'],[0.4583333333333333],[-0.2534722222222222],[1],[0],[0],[3.593445900001825],['number4'],False,False,False,,,2023-01-17_15h17.44.871,MA_Theta_Exp,2022.2.1,60.167783882286486,
,,,,,,,,,,,,,17.696701000000758,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,18.696611999999732,1.0496907999986433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
