audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_raw,order
audio/NV_DE_Neural2-F_Kr-we-Dr_0.1p_16ch.wav,4.9052,NV,Neural2-F,Kr-we-Dr,Kr,we,Dr,0.1p,16ch,100,101,113,124,133,110,120,130,10,NV3,1.0,0.0,False,False,call1,1,0,0,1.8509022999996887,-0.41759259259259257,0.3194444444444444,colour1,1,0,0,2.534004999999979,0.05,0.31851851851851853,number3,1,0,0,3.3171102999999675,0.3861111111111111,-0.0712962962962963,False,13.0
audio/NV_DE_Neural2-D_Kr-we-Ei_0.05p_16ch.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.05p,16ch,100,101,113,124,131,110,120,130,9,NV3,1.0,0.0,False,False,call1,1,0,0,2.188593100000162,-0.4462962962962963,0.3148148148148148,colour2,1,0,0,2.821661999999833,0.03888888888888889,0.08055555555555556,number1,1,0,0,3.5045046000000184,0.425,0.32592592592592595,False,25.0
audio/NV_DE_Neural2-F_Kr-ge-Dr_0.05p_16ch.wav,4.9212,NV,Neural2-F,Kr-ge-Dr,Kr,ge,Dr,0.05p,16ch,100,101,113,121,133,110,120,130,8,NV3,1.0,1.0,True,False,call3,1,0,0,2.7587711999999556,-0.3814814814814815,-0.10648148148148148,colour3,1,0,0,3.908303600000181,0.023148148148148147,-0.07777777777777778,number4,1,0,0,4.874307900000076,0.45555555555555555,-0.31574074074074077,False,2.0
audio/NV_DE_Neural2-F_Kr-ro-Ei_0.05p_16ch.wav,5.1152,NV,Neural2-F,Kr-ro-Ei,Kr,ro,Ei,0.05p,16ch,100,101,113,123,131,110,120,130,9,NV3,1.0,1.0,True,False,call3,1,0,0,1.7969691000002967,-0.3824074074074074,-0.10833333333333334,colour3,1,0,0,3.352834299999813,0.04351851851851852,-0.11481481481481481,number2,1,0,0,4.2442245000002,0.3648148148148148,0.10185185185185185,False,31.0
audio/NV_DE_Neural2-F_Ti-ro-Ei_0.15p_16ch.wav,5.0619,NV,Neural2-F,Ti-ro-Ei,Ti,ro,Ei,0.15p,16ch,100,101,114,123,131,110,120,130,11,NV3,1.0,0.0,False,'NO_ANSW',call1,1,0,0,9.53662869999971,-0.39537037037037037,0.30462962962962964,'NO_ANSW',0.0
audio/NV_DE_Neural2-F_Ti-ge-Vi_0.15p_16ch.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.15p,16ch,100,101,114,121,134,110,120,130,8,NV3,1.0,1.0,True,False,call4,1,0,0,2.348186100000021,-0.33425925925925926,-0.33796296296296297,colour2,1,0,0,2.9960431000004064,-0.011111111111111112,0.09722222222222222,number2,1,0,0,3.3968370000002324,0.40370370370370373,0.12685185185185185,False,27.0
audio/NV_DE_Neural2-F_Dr-we-Dr_0.05p_16ch.wav,4.9166,NV,Neural2-F,Dr-we-Dr,Dr,we,Dr,0.05p,16ch,100,101,112,124,133,110,120,130,11,NV3,1.0,0.0,False,False,call1,1,0,0,1.864025099999708,-0.3972222222222222,0.33055555555555555,colour3,1,0,0,2.514167300000281,0.009259259259259259,-0.09166666666666666,number3,1,0,0,2.9491884999997637,0.44722222222222224,-0.10555555555555556,False,24.0
audio/NV_DE_Neural2-F_Ti-gr-Vi_0p_16ch.wav,4.9453,NV,Neural2-F,Ti-gr-Vi,Ti,gr,Vi,0p,16ch,100,101,114,122,134,110,120,130,10,NV3,1.0,1.0,True,False,call4,1,0,0,2.4954648000002635,-0.35833333333333334,-0.2898148148148148,colour2,1,0,0,3.0113006000001405,-0.03333333333333333,0.09166666666666666,number3,1,0,0,3.6939173000000665,0.38981481481481484,-0.09074074074074075,False,30.0
audio/NV_DE_Neural2-D_Ti-ge-Zw_0.15p_16ch.wav,5.4068,NV,Neural2-D,Ti-ge-Zw,Ti,ge,Zw,0.15p,16ch,100,101,114,121,132,110,120,130,9,NV3,1.0,1.0,True,False,call4,1,0,0,1.8679401999997935,-0.4287037037037037,-0.33425925925925926,colour2,1,0,0,3.000125200000184,0.04814814814814815,0.13148148148148148,number2,1,0,0,3.5167404999997416,0.37592592592592594,0.13148148148148148,False,10.0
audio/NV_DE_Neural2-D_Ad-ro-Zw_0.1p_16ch.wav,5.4646,NV,Neural2-D,Ad-ro-Zw,Ad,ro,Zw,0.1p,16ch,100,101,111,123,132,110,120,130,8,NV3,1.0,1.0,True,False,call1,1,0,0,2.4162317999998777,-0.39814814814814814,0.2953703703703704,colour2,1,0,0,3.298879399999805,0.03148148148148148,0.10462962962962963,number3,1,0,0,3.7648894999997538,0.4398148148148148,-0.125,False,20.0
audio/NV_DE_Neural2-D_Ad-we-Dr_0.1p_16ch.wav,5.4683,NV,Neural2-D,Ad-we-Dr,Ad,we,Dr,0.1p,16ch,100,101,111,124,133,110,120,130,9,NV3,1.0,1.0,True,False,call1,1,0,0,2.0376694999999927,-0.42592592592592593,0.28703703703703703,colour3,1,0,0,3.2867182999998477,0.028703703703703703,-0.13055555555555556,number3,1,0,0,3.8029277999999067,0.3611111111111111,-0.08888888888888889,False,17.0
