audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-D_Dr-ge-Dr_0.2p_16ch.wav,5.2636,NV,Neural2-D,Dr-ge-Dr,Dr,ge,Dr,0.2p,16ch,100,101,112,121,133,110,120,130,DE_Neural2-D_Dr-ge-Dr.TextGrid,0.16712,4.521309895,0.830185231,1.295716757,2.618621047,2.994365918,4.234287065,4.521309895,mean,0,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,1.5815018,-0.319444444,0.092592593,colour1,1,0,0,2.1813755,0.068518519,0.321296296,number3,1,0,0,2.7805016,0.422222222,-0.112037037,0,FALSE,24
audio/NV_DE_Neural2-F_Dr-ro-Ei_0.15p_16ch.wav,5.0857,NV,Neural2-F,Dr-ro-Ei,Dr,ro,Ei,0.15p,16ch,100,101,112,123,131,110,120,130,DE_Neural2-F_Dr-ro-Ei.TextGrid,0.16712,4.316758085,0.682622624,1.195840847,2.181903545,2.549007265,3.74742969,4.316758085,mean,0,NV1,1,0,FALSE,0,FALSE,call3,1,0,0,1.6969797,-0.421296296,-0.119444444,colour3,1,0,0,2.3462245,-0.031481481,-0.110185185,number1,1,0,0,2.9622634,0.411111111,0.280555556,0,FALSE,40
audio/NV_DE_Neural2-D_Dr-ge-Vi_0.1p_16ch.wav,5.3771,NV,Neural2-D,Dr-ge-Vi,Dr,ge,Vi,0.1p,16ch,100,101,112,121,134,110,120,130,DE_Neural2-D_Dr-ge-Vi.TextGrid,0.16712,4.619370172,0.839068736,1.293734623,2.631554905,3.015759117,4.253915307,4.619370172,mean,2,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,2.5097577,-0.340740741,0.110185185,colour3,1,0,0,3.5416986,0.018518519,-0.139814815,number2,1,0,0,4.2078235,0.361111111,0.055555556,0,FALSE,0
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.3p_16ch.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.3p,16ch,100,101,111,122,133,110,120,130,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.749849451,0.824135259,1.340557652,2.780488097,3.195925982,4.483330535,4.749849451,mean,2,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,2.2901726,-0.392592593,0.288888889,colour2,1,0,0,2.8732106,-0.019444444,0.061111111,number3,1,0,0,3.4231279,0.392592593,-0.1,0,FALSE,1
audio/NV_DE_Neural2-D_Dr-ge-Ei_0.3p_16ch.wav,5.4374,NV,Neural2-D,Dr-ge-Ei,Dr,ge,Ei,0.3p,16ch,100,101,112,121,131,110,120,130,DE_Neural2-D_Dr-ge-Ei.TextGrid,0.16712,4.679470733,0.815440799,1.258559919,2.588422806,2.964234964,4.198511114,4.679470733,mean,3,NV1,1,1,TRUE,0,FALSE,call2,1,0,0,2.092467,-0.434259259,0.091666667,colour2,1,0,0,3.2415894,0.033333333,0.123148148,number1,1,0,0,4.1405852,0.45,0.278703704,0,FALSE,7
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.05p_16ch.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.05p,16ch,100,101,111,123,134,110,120,130,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.767699078,0.807843179,1.34712,2.7515981,3.145156708,4.38712,4.767699078,mean,2,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,2.0664668,-0.388888889,0.284259259,colour3,1,0,0,2.6654742,0.022222222,-0.113888889,number2,1,0,0,3.4153869,0.414814815,0.125925926,0,FALSE,28
audio/NV_DE_Neural2-F_Kr-gr-Dr_0.2p_16ch.wav,4.8722,NV,Neural2-F,Kr-gr-Dr,Kr,gr,Dr,0.2p,16ch,100,101,113,122,133,110,120,130,DE_Neural2-F_Kr-gr-Dr.TextGrid,0.17712,4.133161917,0.71174687,1.255421359,2.251387855,2.618031451,3.807509569,4.133161917,mean,1,NV1,1,1,TRUE,0,FALSE,call3,1,0,0,2.1146096,-0.366666667,-0.111111111,colour2,1,0,0,2.6647513,0.022222222,0.128703704,number3,1,0,0,3.2477643,0.451851852,-0.091666667,0,FALSE,38
audio/NV_DE_Neural2-F_Kr-we-Zw_0p_16ch.wav,5.0204,NV,Neural2-F,Kr-we-Zw,Kr,we,Zw,0p,16ch,100,101,113,124,132,110,120,130,DE_Neural2-F_Kr-we-Zw.TextGrid,0.15712,4.285419141,0.706196802,1.24712,2.27157935,2.665049576,3.85410297,4.285419141,mean,2,NV1,1,1,TRUE,0,FALSE,call3,1,0,0,1.6498867,-0.433333333,-0.088888889,colour4,1,0,0,2.9307905,-0.021296296,-0.27962963,number2,1,0,0,3.5976915,0.475,0.149074074,0,FALSE,29
audio/NV_DE_Neural2-F_Ti-we-Vi_0.1p_16ch.wav,5.0131,NV,Neural2-F,Ti-we-Vi,Ti,we,Vi,0.1p,16ch,100,101,114,124,134,110,120,130,DE_Neural2-F_Ti-we-Vi.TextGrid,0.16712,4.26712,0.756722876,1.206075973,2.298297352,2.675880623,3.839401967,4.26712,mean,0,NV1,1,1,TRUE,0,FALSE,call4,1,0,0,1.6613916,-0.378703704,-0.281481481,colour4,1,0,0,2.2471897,-0.040740741,-0.267592593,number2,1,0,0,2.8770984,0.478703704,0.159259259,0,FALSE,13
audio/NV_DE_Neural2-D_Ti-ro-Dr_0.15p_16ch.wav,5.408,NV,Neural2-D,Ti-ro-Dr,Ti,ro,Dr,0.15p,16ch,100,101,114,123,133,110,120,130,DE_Neural2-D_Ti-ro-Dr.TextGrid,0.16712,4.648677797,0.876523954,1.325028258,2.701396406,3.10712,4.370396299,4.648677797,mean,0,NV1,1,1,TRUE,0,FALSE,call4,1,0,0,1.6582176,-0.392592593,-0.289814815,colour3,1,0,0,2.2421123,0.017592593,-0.097222222,number3,1,0,0,2.7912332,0.40462963,-0.137962963,0,FALSE,18
audio/NV_DE_Neural2-D_Ad-we-Ei_0.2p_16ch.wav,5.6307,NV,Neural2-D,Ad-we-Ei,Ad,we,Ei,0.2p,16ch,100,101,111,124,131,110,120,130,DE_Neural2-D_Ad-we-Ei.TextGrid,0.16712,4.861934028,0.800954871,1.339470758,2.756038744,3.153593962,4.416756345,4.861934028,mean,3,NV1,1,1,TRUE,0,FALSE,call1,1,0,0,1.7710581,-0.432407407,0.319444444,colour4,1,0,0,2.6542352,-0.081481481,-0.275,number1,1,0,0,3.3697938,0.472222222,0.312962963,0,FALSE,11
