condsFile,audiofile,duration,noise,voice,words,callSign,colour,number,levels,NV_nChannels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,newidx,block,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instrTraining.started,instrTrainText.started,key_resp_2.started,instrTraining.stopped,startBlock.started,blockStart.started,key_resp.started,startBlock.stopped,audioTrial.started,sound_1.started,fixation.started,fixation.stopped,screenAfterAudio.started,screenAfterAudio.stopped,audioTrial.stopped,trial.started,blankScreen.started,blankScreen.stopped,call1.started,call2.started,call3.started,call4.started,colour1.started,colour2.started,colour3.started,colour4.started,number1.started,number2.started,number3.started,number4.started,mouseClickOnCall.started,mouseClickOnColour.started,trial.stopped,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,mouseClickOnNumber.started,blankScreenAfterResponse.started,thanks.started,thanksText.started,key_resp_5.started,thanks.stopped,participant,order,date,expName,psychopyVersion,frameRate,expStart,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Kr-ge-Vi_0.05p_16ch.wav,5.3664,NV,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,0.05p,16ch,100,101,113,121,134,110,120,130,8,NV3,0,0,0,0,0,21,21,9,254.79909680000037,,,,,,,,,,254.6100081000004,254.80573320000005,254.79909680000037,259.7506328000004,259.7506328000004,259.7506328000004,259.7387039,259.7387248,259.7506328000004,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,260.7519030000003,0.9958040000001347,1.9096639999997933,263.5989473000004,[-0.4009259259259259],[-0.337037037037037],[1],[0],[0],[1.9108759000000646],['call4'],[-0.053703703703703705],[0.3138888888888889],[1],[0],[0],[3.077162600000065],['colour1'],[0.3907407407407407],[0.12962962962962962],[1],[0],[0],[3.8591983999999684],['number2'],False,False,False,3.075787599999785,263.79044780000004,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Kr-ge-Ei_0.05p_16ch.wav,5.4552,NV,Neural2-D,Kr-ge-Ei,Kr,ge,Ei,0.05p,16ch,100,101,113,121,131,110,120,130,10,NV3,0,0,0,0,0,22,22,0,263.79044780000004,,,,,,,,,,263.60077120000005,263.7969292000004,263.79044780000004,268.8259015000003,268.8259015000003,268.8259015000003,268.81019920000017,268.8102189000001,268.8259015000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,269.8253090000003,0.9988170999999966,3.1300467000000936,273.8909627000003,[-0.37222222222222223],[-0.325],[1],[0],[0],[3.1323654000002534],['call4'],[-0.025925925925925925],[0.11296296296296296],[1],[0],[0],[4.181153900000027],['colour2'],[0.475],[-0.1111111111111111],[1],[0],[0],[5.079693799999859],['number3'],False,False,False,4.179477600000155,274.1339386000004,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Ad-we-Ei_0.1p_16ch.wav,5.6307,NV,Neural2-D,Ad-we-Ei,Ad,we,Ei,0.1p,16ch,100,101,111,124,131,110,120,130,10,NV3,0,0,0,0,0,23,23,27,274.1339386000004,,,,,,,,,,273.89279590000024,274.13852840000027,274.1339386000004,279.33394510000016,279.33394510000016,279.33394510000016,279.32135470000003,279.3213827000004,279.33394510000016,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,280.33330350000006,0.9956774000002042,1.9611596999998255,284.2020150000003,[-0.4398148148148148],[0.2972222222222222],[1],[0],[0],[1.9632102999999006],['call1'],[0.028703703703703703],[-0.08611111111111111],[1],[0],[0],[3.296857799999998],['colour3'],[0.36944444444444446],[0.2351851851851852],[1],[0],[0],[4.879491099999996],['number1'],True,False,False,3.2950786999999764,284.37054270000044,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Dr-we-Dr_0.05p_16ch.wav,4.9166,NV,Neural2-F,Dr-we-Dr,Dr,we,Dr,0.05p,16ch,100,101,112,124,133,110,120,130,11,NV3,0,0,0,0,0,24,24,17,284.37054270000044,,,,,,,,,,284.2049763,284.3651931666669,284.37054270000044,288.9093474000001,288.9093474000001,288.9093474000001,288.89547100000027,288.8955050000004,288.9093474000001,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,289.90903130000015,0.9966642000003958,1.8624563000003036,291.84575950000044,[-0.3972222222222222],[0.33055555555555555],[1],[0],[0],[1.864025099999708],['call1'],[0.009259259259259259],[-0.09166666666666666],[1],[0],[0],[2.514167300000281],['colour3'],[0.44722222222222224],[-0.10555555555555556],[1],[0],[0],[2.9491884999997637],['number3'],False,False,False,2.5123019000002387,292.02935300000036,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Kr-we-Ei_0.05p_16ch.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,0.05p,16ch,100,101,113,124,131,110,120,130,9,NV3,0,0,0,0,0,25,25,12,292.02935300000036,,,,,,,,,,291.84757560000025,292.02576023333353,292.02935300000036,297.10794840000017,297.10794840000017,297.10794840000017,297.0970301000002,297.0970532000001,297.10794840000017,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,298.1186885000002,1.0050962999998774,2.187228100000084,300.6025861000003,[-0.4462962962962963],[0.3148148148148148],[1],[0],[0],[2.188593100000162],['call1'],[0.03888888888888889],[0.08055555555555556],[1],[0],[0],[2.821661999999833],['colour2'],[0.425],[0.32592592592592595],[1],[0],[0],[3.5045046000000184],['number1'],False,False,False,2.8202485000001616,300.7760370000001,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Kr-gr-Vi_0.15p_16ch.wav,5.4463,NV,Neural2-D,Kr-gr-Vi,Kr,gr,Vi,0.15p,16ch,100,101,113,122,134,110,120,130,8,NV3,0,0,0,0,0,26,26,22,300.7760370000001,,,,,,,,,,300.60441800000035,300.7834257333338,300.7760370000001,305.80236600000035,305.80236600000035,305.80236600000035,305.79219690000036,305.79221840000037,305.80236600000035,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,306.8115213000001,1.0028823000002376,2.484643000000233,309.5448425000004,[-0.42777777777777776],[0.3138888888888889],[1],[0],[0],[2.4866744000000836],['call1'],[0.027777777777777776],[0.09814814814814815],[1],[0],[0],[3.2858543999996073],['colour2'],[0.41388888888888886],[-0.28425925925925927],[1],[0],[0],[3.7514140000002953],['number4'],False,False,False,3.28422159999991,309.7301776000004,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Ti-ge-Vi_0.15p_16ch.wav,5.0115,NV,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,0.15p,16ch,100,101,114,121,134,110,120,130,8,NV3,0,0,0,0,0,27,27,16,309.7301776000004,,,,,,,,,,309.5465728000004,309.7258711333338,309.7301776000004,314.35732770000004,314.35732770000004,314.35732770000004,314.3426228000003,314.3426449000003,314.35732770000004,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,315.37252690000014,1.011971199999607,2.346187099999952,317.74096720000034,[-0.33425925925925926],[-0.33796296296296297],[1],[0],[0],[2.348186100000021],['call4'],[-0.011111111111111112],[0.09722222222222222],[1],[0],[0],[2.9960431000004064],['colour2'],[0.40370370370370373],[0.12685185185185185],[1],[0],[0],[3.3968370000002324],['number2'],True,False,False,2.993989799999781,317.91571950000025,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Dr-ge-Ei_0.15p_16ch.wav,5.1509,NV,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,0.15p,16ch,100,101,112,121,131,110,120,130,9,NV3,0,0,0,0,0,28,28,31,317.91571950000025,,,,,,,,,,317.7429057000004,317.92019993333355,317.91571950000025,322.67367490000015,322.67367490000015,322.67367490000015,322.66143260000035,322.6614717000002,322.67367490000015,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,323.68117200000006,1.0029027000000497,2.035407899999882,326.69816770000034,[-0.4074074074074074],[-0.10648148148148148],[1],[0],[0],[2.037054000000353],['call3'],[0.012037037037037037],[-0.07314814814814814],[1],[0],[0],[2.8856981999997515],['colour3'],[0.4388888888888889],[-0.1175925925925926],[1],[0],[0],[4.034897600000022],['number3'],False,False,False,2.8847209000000475,326.88184070000034,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-D_Ti-ro-Vi_0.15p_16ch.wav,5.4734,NV,Neural2-D,Ti-ro-Vi,Ti,ro,Vi,0.15p,16ch,100,101,114,123,134,110,120,130,11,NV3,0,0,0,0,0,29,29,7,326.88184070000034,,,,,,,,,,326.70009450000043,326.87855133333363,326.88184070000034,331.92802800000027,331.92802800000027,331.92802800000027,331.9169542000004,331.9169743000002,331.92802800000027,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,332.9399999000002,1.006297899999936,1.822309199999836,335.09177960000034,[-0.4305555555555556],[-0.3453703703703704],[1],[0],[0],[1.8239824999996017],['call4'],[0.023148148148148147],[0.10648148148148148],[1],[0],[0],[2.5235780999996678],['colour2'],[0.3824074074074074],[-0.2851851851851852],[1],[0],[0],[3.173757099999875],['number4'],True,False,False,2.5220887000000403,335.42041340000014,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Ti-gr-Vi_0p_16ch.wav,4.9453,NV,Neural2-F,Ti-gr-Vi,Ti,gr,Vi,0p,16ch,100,101,114,122,134,110,120,130,10,NV3,0,0,0,0,0,30,30,18,335.42041340000014,,,,,,,,,,335.0933931000004,335.4217347333336,335.42041340000014,339.9842872000004,339.9842872000004,339.9842872000004,339.97176850000005,339.9717918000001,339.9842872000004,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,341.00007760000017,1.0113899000002675,2.4937543999999434,343.6667931000002,[-0.35833333333333334],[-0.2898148148148148],[1],[0],[0],[2.4954648000002635],['call4'],[-0.03333333333333333],[0.09166666666666666],[1],[0],[0],[3.0113006000001405],['colour2'],[0.38981481481481484],[-0.09074074074074075],[1],[0],[0],[3.6939173000000665],['number3'],True,False,False,3.009973700000046,343.8339740000001,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV3.csv,audio/NV_DE_Neural2-F_Kr-ro-Ei_0.05p_16ch.wav,5.1152,NV,Neural2-F,Kr-ro-Ei,Kr,ro,Ei,0.05p,16ch,100,101,113,123,131,110,120,130,9,NV3,0,0,0,0,0,31,31,14,343.8339740000001,,,,,,,,,,343.66855280000027,343.8311074666668,343.8339740000001,348.5577067000004,348.5577067000004,348.5577067000004,348.54792540000017,348.54796190000025,348.5577067000004,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,349.55994320000036,0.9964036999999735,1.7949083999997129,352.79330240000036,[-0.3824074074074074],[-0.10833333333333334],[1],[0],[0],[1.7969691000002967],['call3'],[0.04351851851851852],[-0.11481481481481481],[1],[0],[0],[3.352834299999813],['colour3'],[0.3648148148148148],[0.10185185185185185],[1],[0],[0],[4.2442245000002],['number2'],True,False,False,3.3510737999999947,352.9689972000001,,,,,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.9618138000001,352.9689972000001,352.9689972000001,441.2518401000002,s003,2,2024-04-25_08h38.20.528,SentenceInNoise,2024.1.1,None,2024-04-25 08h38.41.453396 +0200,
