TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,text.started,text.stopped,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_calibration_repeat.started,text_calibration_repeat.stopped,text_2.started,text_2.stopped,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,"['num_6', 'return']","[0.41387530000065453, 0.9338966000032087]",233.97253659999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.44750199999907636, 0.9115249999995285]",234.93888929999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,0.0054695199978596065,None,0.4775346200003696,None,0.9606512200007273,None,"['num_8', 'return']","[0.8477748000004794, 1.5917831000006117]",237.35461309999664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.7750132000001031, 1.590977699997893]",238.98735699999816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,"['num_5', 'return']","[0.414300500000536, 0.8543112000006658]",240.6200362999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,0.008607820000179345,None,0.48377332000018214,None,0.9670262199979334,None,"['num_4', 'return']","[0.6805168999999296, 1.3365611000008357]",242.98579139999856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,"['num_1', 'return']","[0.5697090000030585, 1.169743300000846]",244.36859039999763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,"['num_0', 'return']","[0.5775272999999288, 1.2095073999989836]",245.58478339999783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2021_Oct_28_1500,eeg_contingent_digits,2021.2.3,60.02573903679031,
