audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block
audio/NV_DE_Neural2-D_Ad-ge-Dr_0.3p.wav,5.4325,NV,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,0.3p,100,101,111,121,133,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.691872241,0.799056278,1.3564388796666669,2.779151954333333,3.1459332843333336,4.402681137,4.691872241,mean,10,NV1
audio/NV_DE_Neural2-F_Ti-ge-Dr_0.4p.wav,4.9275,NV,Neural2-F,Ti-ge-Dr,Ti,ge,Dr,0.4p,100,101,114,121,133,DE_Neural2-F_Ti-ge-Dr.TextGrid,0.16712,4.192287699,0.7625983173333334,1.220993496333333,2.309099519,2.645683742333333,3.853615210333333,4.192287699,mean,1,NV1
audio/NV_DE_Neural2-D_Ad-ro-Zw_0.4p.wav,5.4646,NV,Neural2-D,Ad-ro-Zw,Ad,ro,Zw,0.4p,100,101,111,123,132,DE_Neural2-D_Ad-ro-Zw.TextGrid,0.16712,4.704972542,0.8080026606666667,1.338465382,2.711656489,3.096490961,4.353667582666667,4.704972542,mean,9,NV1
audio/NV_DE_Neural2-D_Dr-we-Dr_0.4p.wav,5.2596,NV,Neural2-D,Dr-we-Dr,Dr,we,Dr,0.4p,100,101,112,124,133,DE_Neural2-D_Dr-we-Dr.TextGrid,0.16712,4.535012431666666,0.8267047736666667,1.2820507583333334,2.602106592333333,2.99712,4.245562632666666,4.535012431666666,mean,2,NV1
audio/NV_DE_Neural2-D_Kr-gr-Zw_0.3p.wav,5.4746,NV,Neural2-D,Kr-gr-Zw,Kr,gr,Zw,0.3p,100,101,113,122,132,DE_Neural2-D_Kr-gr-Zw.TextGrid,0.16712,4.731789775666667,0.820180279,1.302324669,2.693341218,3.1033039563333333,4.362243958333333,4.731789775666667,mean,6,NV1
audio/NV_DE_Neural2-F_Ad-ro-Dr_0.5p.wav,4.8717,NV,Neural2-F,Ad-ro-Dr,Ad,ro,Dr,0.5p,100,101,111,123,133,DE_Neural2-F_Ad-ro-Dr.TextGrid,0.16712,4.126070192666667,0.7135637613333333,1.261584827,2.236471505666667,2.592172553,3.790540711333333,4.126070192666667,mean,14,NV1
audio/NV_DE_Neural2-F_Dr-we-Ei_0.3p.wav,5.146,NV,Neural2-F,Dr-we-Ei,Dr,we,Ei,0.3p,100,101,112,124,131,DE_Neural2-F_Dr-we-Ei.TextGrid,0.17712,4.362323438333333,0.6981751993333334,1.2154991306666665,2.225944118,2.600216210333333,3.789889094333333,4.362323438333333,mean,0,NV1
audio/NV_DE_Neural2-D_Dr-we-Zw_0.5p.wav,5.3485,NV,Neural2-D,Dr-we-Zw,Dr,we,Zw,0.5p,100,101,112,124,132,DE_Neural2-D_Dr-we-Zw.TextGrid,0.17712,4.588647338666667,0.8349279433333333,1.2699317516666666,2.584722104666666,2.98712,4.222063912666667,4.588647338666667,mean,1,NV1
audio/NV_DE_Neural2-D_Ti-gr-Vi_0.5p.wav,5.5195,NV,Neural2-D,Ti-gr-Vi,Ti,gr,Vi,0.5p,100,101,114,122,134,DE_Neural2-D_Ti-gr-Vi.TextGrid,0.17712,4.769367076999999,0.90386261,1.344655308,2.750824758666667,3.155606329333333,4.39712,4.769367076999999,mean,9,NV1
audio/NV_DE_Neural2-D_Dr-ge-Vi_0.5p.wav,5.3771,NV,Neural2-D,Dr-ge-Vi,Dr,ge,Vi,0.5p,100,101,112,121,134,DE_Neural2-D_Dr-ge-Vi.TextGrid,0.16712,4.619370172,0.8390687356666667,1.293734623,2.631554905333333,3.015759116666666,4.253915306666666,4.619370172,mean,10,NV1
audio/NV_DE_Neural2-F_Kr-ge-Ei_0.5p.wav,5.1524,NV,Neural2-F,Kr-ge-Ei,Kr,ge,Ei,0.5p,100,101,113,121,131,DE_Neural2-F_Kr-ge-Ei.TextGrid,0.16712,4.395048370333334,0.7114156806666667,1.23712,2.2807316876666666,2.6008462813333337,3.781463541,4.395048370333334,mean,10,NV1
audio/NV_DE_Neural2-D_Ad-we-Vi_0.5p.wav,5.5026,NV,Neural2-D,Ad-we-Vi,Ad,we,Vi,0.5p,100,101,111,124,134,DE_Neural2-D_Ad-we-Vi.TextGrid,0.17712,4.764590807,0.8161583760000001,1.3591726533333333,2.766939896333333,3.1557082476666665,4.404128031,4.764590807,mean,6,NV1
audio/NV_DE_Neural2-D_Ti-gr-Ei_0.4p.wav,5.6496,NV,Neural2-D,Ti-gr-Ei,Ti,gr,Ei,0.4p,100,101,114,122,131,DE_Neural2-D_Ti-gr-Ei.TextGrid,0.16712,4.9095601926666665,0.8837991143333334,1.3398696543333333,2.761324247333333,3.16712,4.436694727666667,4.9095601926666665,mean,13,NV1
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.3p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.3p,100,101,111,122,134,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.830719382333333,0.8380960703333332,1.355752433,2.7953451936666665,3.2055495940000003,4.465308412333333,4.830719382333333,mean,15,NV1
audio/NV_DE_Neural2-D_Kr-ro-Ei_0.5p.wav,5.4911,NV,Neural2-D,Kr-ro-Ei,Kr,ro,Ei,0.5p,100,101,113,123,131,DE_Neural2-D_Kr-ro-Ei.TextGrid,0.16712,4.742691482666667,0.8219324303333333,1.2778869183333337,2.659248978666667,3.03591411,4.274742439333333,4.742691482666667,mean,4,NV1
audio/NV_DE_Neural2-F_Ti-ro-Vi_0.5p.wav,4.9809,NV,Neural2-F,Ti-ro-Vi,Ti,ro,Vi,0.5p,100,101,114,123,134,DE_Neural2-F_Ti-ro-Vi.TextGrid,0.15712,4.240111504666667,0.7420144663333333,1.2027963416666667,2.24427585,2.61712,3.798685733333333,4.240111504666667,mean,4,NV1
audio/NV_DE_Neural2-F_Dr-gr-Zw_0.4p.wav,4.9693,NV,Neural2-F,Dr-gr-Zw,Dr,gr,Zw,0.4p,100,101,112,122,132,DE_Neural2-F_Dr-gr-Zw.TextGrid,0.16712,4.222184456666667,0.6899134043333334,1.21712,2.2391007596666666,2.6202313223333333,3.815375428,4.222184456666667,mean,9,NV1
