TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,NV_trial,Triggered_trial,Jitter_trial,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,response_nextblock_ME.rt,text_break.started,text_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0120529399937368,None,['return'],[0.3555449999985285],30.4533952999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
1.0,1.0,9.0,3.0,13.0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.015086639999935869,None,['return'],[0.24026129999401746],31.378167199996824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
1.0,1.0,9.0,3.0,13.0,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
2.0,8.0,0.0,1.0,21.0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,0.015323239997087512,None,['return'],[0.23476059999666177],32.18366360000073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
2.0,8.0,0.0,1.0,21.0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
3.0,9.0,6.0,1.0,61.0,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,0.01493604000279447,None,['return'],[0.13892119999945862],33.000248999996984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
3.0,9.0,6.0,1.0,61.0,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
4.0,8.0,1.0,5.0,7.0,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,0.015104239995707758,None,['return'],[0.04898260000481969],33.69612419999612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
4.0,8.0,1.0,5.0,7.0,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
5.0,4.0,1.0,0.0,33.0,,,,,,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,0.015011640003649518,None,['return'],[0.2149007999978494],34.297815300000366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
5.0,4.0,1.0,0.0,33.0,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
6.0,9.0,2.0,6.0,13.0,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,0.013663539997651242,None,['return'],[0.07588679999753367],35.082509399995615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
6.0,9.0,2.0,6.0,13.0,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,0.015060240002640057,None,['return'],[0.10761179999826709],35.71739119999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,0.014604039992264006,None,['return'],[0.1606247000017902],36.400281299997005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,0.014540439995471388,None,['return'],[0.03910320000431966],37.115603499994904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_2309,eeg_contingent_digits,2021.2.3,59.937413354377625,
