audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,trigger_call_end,trigger_col_end,trigger_num_end,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block
audio/SiSSN_DE_Neural2-F_Ad-we-Ei_-9db.wav,5.1733,SiSSN,Neural2-F,Ad-we-Ei,Ad,we,Ei,-9db,200,201,211,224,231,210,220,230,DE_Neural2-F_Ad-we-Ei.TextGrid,0.16712,4.411088337,0.7143011,1.25712,2.2667061926666663,2.64712,3.7981043966666665,4.411088337,mean,24,SSN2
audio/SiSSN_DE_Neural2-F_Dr-ro-Ei_-11db.wav,5.0857,SiSSN,Neural2-F,Dr-ro-Ei,Dr,ro,Ei,-11db,200,201,212,223,231,210,220,230,DE_Neural2-F_Dr-ro-Ei.TextGrid,0.16712,4.316758085333333,0.6826226240000001,1.1958408473333333,2.181903545,2.549007265,3.747429689666667,4.316758085333333,mean,31,SSN2
audio/SiSSN_DE_Neural2-F_Ti-ro-Dr_-7db.wav,4.843,SiSSN,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,-7db,200,201,214,223,233,210,220,230,DE_Neural2-F_Ti-ro-Dr.TextGrid,0.17712,4.104053164,0.7139336373333333,1.1909062946666666,2.2253404806666666,2.58712,3.777040552666667,4.104053164,mean,29,SSN2
audio/SiSSN_DE_Neural2-F_Dr-we-Vi_-9db.wav,5.0409,SiSSN,Neural2-F,Dr-we-Vi,Dr,we,Vi,-9db,200,201,212,224,234,210,220,230,DE_Neural2-F_Dr-we-Vi.TextGrid,0.16712,4.292777145333333,0.6898406213333333,1.2190425733333334,2.2944771776666664,2.67882759,3.8571565856666665,4.292777145333333,mean,28,SSN2
audio/SiSSN_DE_Neural2-D_Ti-we-Vi_-7db.wav,5.4313,SiSSN,Neural2-D,Ti-we-Vi,Ti,we,Vi,-7db,200,201,214,224,234,210,220,230,DE_Neural2-D_Ti-we-Vi.TextGrid,0.16712,4.66712,0.8921028396666667,1.3348656256666669,2.638262643,3.045897766,4.29712,4.66712,mean,27,SSN2
audio/SiSSN_DE_Neural2-F_Ti-we-Dr_-9db.wav,4.9342,SiSSN,Neural2-F,Ti-we-Dr,Ti,we,Dr,-9db,200,201,214,224,233,210,220,230,DE_Neural2-F_Ti-we-Dr.TextGrid,0.15712,4.178990954666666,0.751623296,1.20285526,2.299513212666666,2.6679914683333337,3.845472232,4.178990954666666,mean,30,SSN2
audio/SiSSN_DE_Neural2-F_Ti-gr-Vi_-11db.wav,4.9453,SiSSN,Neural2-F,Ti-gr-Vi,Ti,gr,Vi,-11db,200,201,214,222,234,210,220,230,DE_Neural2-F_Ti-gr-Vi.TextGrid,0.15712,4.215372820333333,0.7309023419999999,1.1819412393333333,2.2477006973333338,2.6186174023333333,3.771287423,4.215372820333333,mean,30,SSN2
audio/SiSSN_DE_Neural2-F_Ti-ge-Ei_-11db.wav,5.0991,SiSSN,Neural2-F,Ti-ge-Ei,Ti,ge,Ei,-11db,200,201,214,221,231,210,220,230,DE_Neural2-F_Ti-ge-Ei.TextGrid,0.16712,4.345414140666667,0.7322420586666666,1.21712,2.2848253780000003,2.6026980326666664,3.7687473216666665,4.345414140666667,mean,23,SSN2
audio/SiSSN_DE_Neural2-D_Ad-ro-Zw_-7db.wav,5.4646,SiSSN,Neural2-D,Ad-ro-Zw,Ad,ro,Zw,-7db,200,201,211,223,232,210,220,230,DE_Neural2-D_Ad-ro-Zw.TextGrid,0.16712,4.704972542,0.8080026606666667,1.338465382,2.711656489,3.096490961,4.353667582666667,4.704972542,mean,17,SSN2
audio/SiSSN_DE_Neural2-D_Kr-ge-Dr_-7db.wav,5.3277,SiSSN,Neural2-D,Kr-ge-Dr,Kr,ge,Dr,-7db,200,201,213,221,233,210,220,230,DE_Neural2-D_Kr-ge-Dr.TextGrid,0.16712,4.586253128666667,0.8200925059999999,1.2914342166666668,2.6676276773333334,3.03712,4.290866479,4.586253128666667,mean,24,SSN2
audio/SiSSN_DE_Neural2-D_Ad-ge-Dr_-9db.wav,5.4325,SiSSN,Neural2-D,Ad-ge-Dr,Ad,ge,Dr,-9db,200,201,211,221,233,210,220,230,DE_Neural2-D_Ad-ge-Dr.TextGrid,0.16712,4.691872241,0.799056278,1.3564388796666669,2.779151954333333,3.1459332843333336,4.402681137,4.691872241,mean,20,SSN2
audio/SiSSN_DE_Neural2-D_Ad-ro-Ei_-7db.wav,5.647,SiSSN,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,-7db,200,201,211,223,231,210,220,230,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.902109959666666,0.8103105186666667,1.3606753429999998,2.7893257150000004,3.1741457909999995,4.443455313,4.902109959666666,mean,28,SSN2
audio/SiSSN_DE_Neural2-D_Ti-gr-Zw_-11db.wav,5.4849,SiSSN,Neural2-D,Ti-gr-Zw,Ti,gr,Zw,-11db,200,201,214,222,232,210,220,230,DE_Neural2-D_Ti-gr-Zw.TextGrid,0.16712,4.763102024,0.8866725006666667,1.3354796923333334,2.7509222016666666,3.155127354333333,4.409974642666666,4.763102024,mean,31,SSN2
