TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,Degrad_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3.0,9.0,6.0,1.0,61.0,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0.010967150039505213,None,0.4883528500213288,None,0.9547473500133492,None,['return'],[0.08675449999282137],25.950279999990016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1816926000174135],26.064015300013125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.17852249997667968],26.264136600017082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,8.0,1.0,5.0,7.0,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,0.009350150008685887,None,0.4855434500495903,None,0.9687861500424333,None,['return'],[0.028872599999886006],27.904886300035287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1785033000051044],27.9641364000272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.1784518999629654],28.164030199986883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
5.0,4.0,1.0,0.0,33.0,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,0.010459250072017312,None,0.4870076500810683,None,0.9706891500391066,None,['return'],[0.11123579996638],29.801101799996104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.18971880001481622],29.930535799998324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.17063740000594407],30.147109600016847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
6.0,9.0,2.0,6.0,13.0,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,0.010531750041991472,None,0.4705727500258945,None,0.9538553500315174,None,['return'],[0.0925073999678716],31.78076210001018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1817000000155531],31.89699219999602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.16527290001977235],32.09696290001739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
7.0,2.0,3.0,0.0,10.0,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
8.0,1.0,9.0,2.0,48.0,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,0.008242250012699515,None,0.48298615001840517,None,0.9660667499992996,None,['return'],[0.06552979996195063],33.73012890003156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
8.0,1.0,9.0,2.0,48.0,,,,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.19024750002427027],33.8134723000112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
8.0,1.0,9.0,2.0,48.0,,,,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.18236590002197772],34.03017620003084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
8.0,1.0,9.0,2.0,48.0,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
9.0,8.0,1.0,0.0,21.0,,,,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,0.010580750065855682,None,0.4875510500278324,None,0.9710190500481986,None,['return'],[0.08402910002041608],35.668691600032616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
9.0,8.0,1.0,0.0,21.0,,,,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,,,,,,['return'],[0.1778055999893695],35.779931500030216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
9.0,8.0,1.0,0.0,21.0,,,,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,,,,,,['return'],[0.1738302999874577],35.97997400001623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
9.0,8.0,1.0,0.0,21.0,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18009770003846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,59.534201100002974,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,3.0,2.0,9.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,69.54621950001456,None,70.96077870001318,None,70.96077870001318,None,70.96077870001318,None,70.96077870001318,None,70.96077870001318,None,0.0061626999522559345,None,0.46758169995155185,None,0.9510356999817304,None,['return'],[0.46261470002355054],75.57692560000578,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,3.0,2.0,9.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.22014889999991283],76.06036290002521,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,3.0,2.0,9.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.22431820002384484],76.31022089999169,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
0.0,3.0,2.0,9.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,2.0,6.0,8.0,1.0,1.0,0.0,-15.145814748399285,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,76.58359210001072,None,76.58359210001072,None,76.58359210001072,None,76.58359210001072,None,76.58359210001072,None,0.011378799914382398,None,0.4676840999163687,None,0.9510993999429047,None,['return'],[0.584673700039275],81.84812410001177,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,2.0,6.0,8.0,1.0,1.0,0.0,-15.145814748399285,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.39223120000679046],82.45947940001497,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,2.0,6.0,8.0,1.0,1.0,0.0,-15.145814748399285,,,,,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.24036060000071302],82.87625750002917,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
1.0,2.0,6.0,8.0,1.0,1.0,0.0,-15.145814748399285,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,5.0,1.0,0.0,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,83.16253440000582,None,83.16253440000582,None,83.16253440000582,None,83.16253440000582,None,83.16253440000582,None,0.010044149996247143,None,0.4871123500051908,None,0.9539241500315256,None,['return'],[0.46496430004481226],88.80927329999395,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,5.0,1.0,0.0,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3284468000056222],89.29277820000425,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,5.0,1.0,0.0,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.170814800017979],89.64248069998575,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
2.0,5.0,1.0,0.0,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,3.0,6.0,0.0,61.0,1.0,0.0,-55.58837237232906,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,89.86201360000996,None,89.86201360000996,None,89.86201360000996,None,89.86201360000996,None,89.86201360000996,None,0.009555050055496395,None,0.4764008500496857,None,0.9598175500286743,None,['return'],[0.5292081999941729],100.58145579998381,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,3.0,6.0,0.0,61.0,1.0,0.0,-55.58837237232906,,,,,,,,,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1654016000102274],101.14164859999437,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,3.0,6.0,0.0,61.0,1.0,0.0,-55.58837237232906,,,,,,,,,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3093069000169635],101.32490750000579,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
3.0,3.0,6.0,0.0,61.0,1.0,0.0,-55.58837237232906,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.71789890003856,None,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
4.0,2.0,9.0,8.0,49.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,102.94157620001351,None,102.94157620001351,None,102.94157620001351,None,102.94157620001351,None,102.94157620001351,None,0.012097099970560521,None,0.48829209996620193,None,0.9516242999816313,None,['return'],[0.5853911999729462],107.86419310001656,None,,,1,001,2021_Oct_25_1351,eeg_contingent_digits,2021.2.3,59.94316188678202,
