TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,0.00857270002597943,None,0.48379720002412796,None,0.9713836000300944,None,['return'],[0.40813260001596063],30.178770300000906,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.1632928000180982],30.604376700008288,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.1421453999937512],30.787624399992637,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,0.008880299981683493,None,0.4652539999806322,None,0.9485245000105351,None,['return'],[0.35427120001986623],32.39107519999379,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.1503796000033617],32.77078869997058,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.15195819997461513],32.937607100000605,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,0.010481499950401485,None,0.48737099999561906,None,0.9743259999668226,None,['return'],[0.33754599996609613],34.55866400001105,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.13864319998538122],34.92077369999606,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.1322474000044167],35.08724339999026,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,0.010948800016194582,None,0.47193140001036227,None,0.9549663999932818,None,['return'],[0.3088859000126831],36.67488429998048,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.15316389995859936],37.003828099987004,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.13323639996815473],37.187112399959005,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,0.009191200078930706,None,0.48497420008061454,None,0.9681043000891805,None,['return'],[0.34031570004299283],38.787073499988765,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,,['return'],[0.15768939995905384],39.153577199962456,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,,['return'],[0.13765019999118522],39.33718669996597,None,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50374419998843,None,,,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,62.65006439998979,None,,,1,001,2021_Oct_25_1348,eeg_contingent_digits,2021.2.3,59.95142734662943,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65328450000379,None,,,,,,,
