audiofile,duration,noise,voice,words,callSign,colour,number,level,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.2p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.2p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.4p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.4p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.6p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.6p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.75p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.75p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.8p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.8p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.85p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.85p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.9p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.9p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_0.95p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,0.95p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Vi_1p.wav,5.4884,NV,Neural2-D,Ad-ge-Vi,Ad,ge,Vi,1p,DE_Neural2-D_Ad-ge-Vi.TextGrid,0.16712,4.75712,0.76712,1.34712,2.39712,2.73712,3.91712,4.38712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.2p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.2p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.4p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.4p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.6p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.6p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.75p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.75p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.8p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.8p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.85p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.85p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.9p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.9p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.95p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.95p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-ge-Zw_1p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,1p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.2p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.2p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.4p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.4p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.6p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.6p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.75p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.75p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.8p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.8p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.85p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.85p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.9p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.9p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_0.95p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,0.95p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Dr_1p.wav,5.4949,NV,Neural2-D,Ad-gr-Dr,Ad,gr,Dr,1p,DE_Neural2-D_Ad-gr-Dr.TextGrid,0.16712,4.75712,0.79712,1.33712,2.52712,2.76712,3.98712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.2p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.2p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.4p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.4p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.6p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.6p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.75p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.75p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.8p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.8p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.85p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.85p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.9p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.9p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_0.95p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,0.95p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Ei_1p.wav,5.7556,NV,Neural2-D,Ad-gr-Ei,Ad,gr,Ei,1p,DE_Neural2-D_Ad-gr-Ei.TextGrid,0.17712,4.99712,0.78712,1.37712,2.47712,2.81712,4.01712,4.50712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.2p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.2p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.4p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.4p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.6p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.6p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.75p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.75p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.8p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.8p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.85p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.85p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.9p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.9p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_0.95p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,0.95p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Vi_1p.wav,5.5601,NV,Neural2-D,Ad-gr-Vi,Ad,gr,Vi,1p,DE_Neural2-D_Ad-gr-Vi.TextGrid,0.17712,4.83712,0.80712,1.35712,2.53712,2.77712,3.99712,4.46712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.2p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.2p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.4p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.4p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.6p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.6p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.75p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.75p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.8p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.8p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.85p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.85p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.9p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.9p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_0.95p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,0.95p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-gr-Zw_1p.wav,5.6024,NV,Neural2-D,Ad-gr-Zw,Ad,gr,Zw,1p,DE_Neural2-D_Ad-gr-Zw.TextGrid,0.17712,4.88712,0.78712,1.33712,2.52712,2.77712,3.99712,4.45712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.2p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.2p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.4p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.4p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.6p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.6p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.75p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.75p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.8p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.8p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.85p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.85p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.9p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.9p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.95p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.95p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Dr_1p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,1p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.2p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.2p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.4p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.4p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.6p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.6p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.75p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.75p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.8p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.8p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.85p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.85p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.9p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.9p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_0.95p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,0.95p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Ei_1p.wav,5.647,NV,Neural2-D,Ad-ro-Ei,Ad,ro,Ei,1p,DE_Neural2-D_Ad-ro-Ei.TextGrid,0.17712,4.91712,0.77712,1.35712,2.48712,2.79712,3.93712,4.42712
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.2p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.2p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.4p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.4p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.6p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.6p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.75p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.75p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.8p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.8p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712
audio/NV_DE_Neural2-D_Ad-ro-Vi_0.85p.wav,5.5054,NV,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0.85p,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.78712,0.77712,1.34712,2.40712,2.75712,3.92712,4.38712
