audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,RAND_formula
audio/NV_DE_Neural2-F_Ad-ro-Dr_0.4p.wav,4.8717,NV,Neural2-F,Ad-ro-Dr,Ad,ro,Dr,0.4p,DE_Neural2-F_Ad-ro-Dr.TextGrid,0.16712,4.13712,0.67712,1.26712,2.05712,2.22712,3.30712,3.76712,0.920252417
audio/NV_DE_Neural2-D_Ti-ge-Zw_0.85p.wav,5.4068,NV,Neural2-D,Ti-ge-Zw,Ti,ge,Zw,0.85p,DE_Neural2-D_Ti-ge-Zw.TextGrid,0.16712,4.66712,0.83712,1.33712,2.29712,2.64712,3.80712,4.25712,0.920533578
audio/NV_DE_Neural2-F_Ti-ge-Dr_0.75p.wav,4.9275,NV,Neural2-F,Ti-ge-Dr,Ti,ge,Dr,0.75p,DE_Neural2-F_Ti-ge-Dr.TextGrid,0.16712,4.20712,0.77712,1.21712,2.07712,2.27712,3.35712,3.83712,0.921910537
audio/NV_DE_Neural2-D_Dr-ge-Dr_0.75p.wav,5.2636,NV,Neural2-D,Dr-ge-Dr,Dr,ge,Dr,0.75p,DE_Neural2-D_Dr-ge-Dr.TextGrid,0.16712,4.53712,0.80712,1.29712,2.352109,2.60712,3.74712,4.19712,0.92314861
audio/NV_DE_Neural2-F_Ti-ro-Dr_0.4p.wav,4.843,NV,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,0.4p,DE_Neural2-F_Ti-ro-Dr.TextGrid,0.17712,4.10712,0.67712,1.18712,1.96712,2.22712,3.28712,3.74712,0.923536978
audio/NV_DE_Neural2-D_Ti-we-Vi_0.75p.wav,5.4313,NV,Neural2-D,Ti-we-Vi,Ti,we,Vi,0.75p,DE_Neural2-D_Ti-we-Vi.TextGrid,0.16712,4.66712,0.84712,1.33712,2.36712,2.63712,3.82712,4.29712,0.924212928
audio/NV_DE_Neural2-F_Kr-ge-Zw_0.6p.wav,4.9812,NV,Neural2-F,Kr-ge-Zw,Kr,ge,Zw,0.6p,DE_Neural2-F_Kr-ge-Zw.TextGrid,0.16712,4.27712,0.682109,1.22712,1.97712,2.24712,3.32712,3.82712,0.924578879
audio/NV_DE_Neural2-F_Dr-we-Zw_0.4p.wav,4.9699,NV,Neural2-F,Dr-we-Zw,Dr,we,Zw,0.4p,DE_Neural2-F_Dr-we-Zw.TextGrid,0.16712,4.24712,0.66712,1.20712,2.02712,2.24712,3.31712,3.78712,0.924775672
audio/NV_DE_Neural2-F_Ti-we-Vi_0.6p.wav,5.0131,NV,Neural2-F,Ti-we-Vi,Ti,we,Vi,0.6p,DE_Neural2-F_Ti-we-Vi.TextGrid,0.16712,4.26712,0.77712,1.19712,2.06712,2.27712,3.36712,3.83712,0.925051247
audio/NV_DE_Neural2-D_Kr-we-Zw_0.8p.wav,5.3987,NV,Neural2-D,Kr-we-Zw,Kr,we,Zw,0.8p,DE_Neural2-D_Kr-we-Zw.TextGrid,0.16712,4.63712,0.78712,1.29712,2.26712,2.63712,3.79712,4.24712,0.925551935
audio/NV_DE_Neural2-D_Ti-gr-Vi_0.9p.wav,5.5195,NV,Neural2-D,Ti-gr-Vi,Ti,gr,Vi,0.9p,DE_Neural2-D_Ti-gr-Vi.TextGrid,0.17712,4.77712,0.85712,1.34712,2.49712,2.72712,3.93712,4.39712,0.92840702
audio/NV_DE_Neural2-F_Ti-ro-Ei_0.8p.wav,5.0619,NV,Neural2-F,Ti-ro-Ei,Ti,ro,Ei,0.8p,DE_Neural2-F_Ti-ro-Ei.TextGrid,0.15712,4.28712,0.67712,1.20712,2.03712,2.18712,3.26712,3.74712,0.930077582
audio/NV_DE_Neural2-D_Kr-ro-Dr_0.6p.wav,5.3268,NV,Neural2-D,Kr-ro-Dr,Kr,ro,Dr,0.6p,DE_Neural2-D_Kr-ro-Dr.TextGrid,0.16712,4.57712,0.78712,1.26712,2.35712,2.66712,3.79712,4.27712,0.932331261
audio/NV_DE_Neural2-D_Ti-ge-Dr_0.95p.wav,5.4022,NV,Neural2-D,Ti-ge-Dr,Ti,ge,Dr,0.95p,DE_Neural2-D_Ti-ge-Dr.TextGrid,0.17712,4.64712,0.84712,1.32712,2.35712,2.68712,3.82712,4.33712,0.933942185
audio/NV_DE_Neural2-F_Kr-gr-Dr_0.4p.wav,4.8722,NV,Neural2-F,Kr-gr-Dr,Kr,gr,Dr,0.4p,DE_Neural2-F_Kr-gr-Dr.TextGrid,0.17712,4.14712,0.682109,1.25712,2.02712,2.22712,3.32712,3.78712,0.93451061
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.9p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.9p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712,0.934569293
audio/NV_DE_Neural2-F_Ad-ge-Dr_0.6p.wav,4.9357,NV,Neural2-F,Ad-ge-Dr,Ad,ge,Dr,0.6p,DE_Neural2-F_Ad-ge-Dr.TextGrid,0.16712,4.18712,0.67712,1.27712,2.06712,2.26712,3.34712,3.80712,0.934882256
audio/NV_DE_Neural2-D_Ti-ge-Ei_0.8p.wav,5.5296,NV,Neural2-D,Ti-ge-Ei,Ti,ge,Ei,0.8p,DE_Neural2-D_Ti-ge-Ei.TextGrid,0.17712,4.81712,0.84712,1.34712,2.39712,2.67712,3.82712,4.32712,0.936148423
audio/NV_DE_Neural2-F_Ti-ge-Zw_0.6p.wav,4.9601,NV,Neural2-F,Ti-ge-Zw,Ti,ge,Zw,0.6p,DE_Neural2-F_Ti-ge-Zw.TextGrid,0.17712,4.23712,0.78712,1.19712,1.99712,2.25712,3.31712,3.76712,0.936344662
audio/NV_DE_Neural2-F_Ad-we-Ei_0.2p.wav,5.1733,NV,Neural2-F,Ad-we-Ei,Ad,we,Ei,0.2p,DE_Neural2-F_Ad-we-Ei.TextGrid,0.16712,4.41712,0.67712,1.25712,1.99712,2.25712,3.33712,3.75712,0.938838836
audio/NV_DE_Neural2-F_Dr-we-Ei_0.2p.wav,5.146,NV,Neural2-F,Dr-we-Ei,Dr,we,Ei,0.2p,DE_Neural2-F_Dr-we-Ei.TextGrid,0.17712,4.34712,0.67712,1.21712,2.00712,2.20712,3.30712,3.78712,0.93911168
audio/NV_DE_Neural2-F_Kr-ge-Vi_0.9p.wav,5.0233,NV,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,0.9p,DE_Neural2-F_Kr-ge-Vi.TextGrid,0.16712,4.25712,0.692109,1.23712,1.98712,2.25712,3.34712,3.82712,0.943679645
audio/NV_DE_Neural2-D_Ti-ge-Zw_0.75p.wav,5.4068,NV,Neural2-D,Ti-ge-Zw,Ti,ge,Zw,0.75p,DE_Neural2-D_Ti-ge-Zw.TextGrid,0.16712,4.66712,0.83712,1.33712,2.29712,2.64712,3.80712,4.25712,0.945027188
audio/NV_DE_Neural2-D_Dr-ro-Zw_0.8p.wav,5.3439,NV,Neural2-D,Dr-ro-Zw,Dr,ro,Zw,0.8p,DE_Neural2-D_Dr-ro-Zw.TextGrid,0.17712,4.60712,0.80712,1.27712,2.27712,2.61712,3.76712,4.24712,0.945293955
audio/NV_DE_Neural2-D_Kr-we-Ei_1p.wav,5.5064,NV,Neural2-D,Kr-we-Ei,Kr,we,Ei,1p,DE_Neural2-D_Kr-we-Ei.TextGrid,0.17712,4.75712,0.77712,1.27712,2.37712,2.62712,3.79712,4.28712,0.945976928
audio/NV_DE_Neural2-F_Dr-ro-Vi_0.9p.wav,4.94,NV,Neural2-F,Dr-ro-Vi,Dr,ro,Vi,0.9p,DE_Neural2-F_Dr-ro-Vi.TextGrid,0.16712,4.20712,0.65712,1.20712,1.98712,2.24712,3.28712,3.76712,0.947318076
audio/NV_DE_Neural2-F_Ti-gr-Zw_0.75p.wav,4.9512,NV,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,0.75p,DE_Neural2-F_Ti-gr-Zw.TextGrid,0.15712,4.21712,0.76712,1.19712,2.03712,2.21712,3.30712,3.77712,0.947785315
audio/NV_DE_Neural2-D_Ti-gr-Dr_0.85p.wav,5.4702,NV,Neural2-D,Ti-gr-Dr,Ti,gr,Dr,0.85p,DE_Neural2-D_Ti-gr-Dr.TextGrid,0.17712,4.72712,0.86712,1.34712,2.45712,2.50712,3.80712,3.95712,0.948530026
audio/NV_DE_Neural2-F_Dr-we-Vi_0.2p.wav,5.0409,NV,Neural2-F,Dr-we-Vi,Dr,we,Vi,0.2p,DE_Neural2-F_Dr-we-Vi.TextGrid,0.16712,4.29712,0.66712,1.21712,2.06712,2.26712,3.38712,3.85712,0.948532533
audio/NV_DE_Neural2-D_Dr-gr-Zw_0.4p.wav,5.4445,NV,Neural2-D,Dr-gr-Zw,Dr,gr,Zw,0.4p,DE_Neural2-D_Dr-gr-Zw.TextGrid,0.16712,4.68712,0.79712,1.29712,2.28712,2.63712,3.84712,4.29712,0.949163989
audio/NV_DE_Neural2-F_Dr-ro-Vi_0.75p.wav,4.94,NV,Neural2-F,Dr-ro-Vi,Dr,ro,Vi,0.75p,DE_Neural2-F_Dr-ro-Vi.TextGrid,0.16712,4.20712,0.65712,1.20712,1.98712,2.24712,3.28712,3.76712,0.951082224
audio/NV_DE_Neural2-D_Ad-ge-Zw_0.95p.wav,5.4928,NV,Neural2-D,Ad-ge-Zw,Ad,ge,Zw,0.95p,DE_Neural2-D_Ad-ge-Zw.TextGrid,0.16712,4.73712,0.76712,1.34712,2.33712,2.72712,3.88712,4.33712,0.959388126
audio/NV_DE_Neural2-F_Ad-we-Dr_0.6p.wav,4.9209,NV,Neural2-F,Ad-we-Dr,Ad,we,Dr,0.6p,DE_Neural2-F_Ad-we-Dr.TextGrid,0.16712,4.19712,0.67712,1.25712,2.00712,2.28712,3.36712,3.82712,0.9602389
audio/NV_DE_Neural2-D_Dr-ge-Dr_0.6p.wav,5.2636,NV,Neural2-D,Dr-ge-Dr,Dr,ge,Dr,0.6p,DE_Neural2-D_Dr-ge-Dr.TextGrid,0.16712,4.53712,0.80712,1.29712,2.352109,2.60712,3.74712,4.19712,0.962141121
audio/NV_DE_Neural2-F_Kr-gr-Dr_0.85p.wav,4.8722,NV,Neural2-F,Kr-gr-Dr,Kr,gr,Dr,0.85p,DE_Neural2-F_Kr-gr-Dr.TextGrid,0.17712,4.14712,0.682109,1.25712,2.02712,2.22712,3.32712,3.78712,0.962154322
audio/NV_DE_Neural2-D_Ad-ge-Ei_0.9p.wav,5.6324,NV,Neural2-D,Ad-ge-Ei,Ad,ge,Ei,0.9p,DE_Neural2-D_Ad-ge-Ei.TextGrid,0.17712,4.87712,0.76712,1.35712,2.38712,2.72712,3.91712,4.40712,0.963713171
audio/NV_DE_Neural2-F_Kr-ro-Dr_0.6p.wav,4.8714,NV,Neural2-F,Kr-ro-Dr,Kr,ro,Dr,0.6p,DE_Neural2-F_Kr-ro-Dr.TextGrid,0.16712,4.14712,0.67712,1.22712,1.96712,2.23712,3.29712,3.77712,0.963872036
audio/NV_DE_Neural2-F_Ti-we-Ei_0.4p.wav,5.17,NV,Neural2-F,Ti-we-Ei,Ti,we,Ei,0.4p,DE_Neural2-F_Ti-we-Ei.TextGrid,0.16712,4.37712,0.76712,1.20712,2.05712,2.25712,3.35712,3.77712,0.967183895
