TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,0.012363219999770081,None,0.5079085200000009,None,0.9743431199999577,None,"['num_2', 'return']","[0.3108671999998478, 0.45499969999991663]",55.718348700000206,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.07497249999960331, 0.2590240999998059]",56.21821310000041,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,"['num_5', 'return']","[0.06324790000007852, 0.7352755000001707]",56.51801310000019,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
5.0,4.0,1.0,0.0,33.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,0.008513620000030642,None,0.5002210200000263,None,0.9666719199999534,None,"['num_3', 'return']","[0.42206380000015997, 0.5341585000001032]",58.767087300000185,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.46356939999986935, 0.7436148000001594]",59.33362590000024,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,"['num_5', 'return']","[0.2645641999997679, 0.536487599999873]",60.11668400000008,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
6.0,9.0,2.0,6.0,13.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,0.00492902000041795,None,0.4764024200003405,None,0.9595536200004062,None,"['num_2', 'return']","[0.35130519999984244, 0.527248999999756]",62.16589880000038,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,"['num_4', 'return']","[0.06480090000013661, 0.23285179999993488]",62.73234910000019,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,"['num_1', 'return']","[0.08627069999965897, 0.5662875999996686]",62.99890910000022,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
7.0,2.0,3.0,0.0,10.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,0,0,0,0,,,,,0.007150419999561564,None,0.48076741999966544,None,0.9639004199998453,None,"['num_6', 'return']","[0.4443443999998635, 0.5803545999997368]",65.06480850000025,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,,,"['num_5', 'return']","[0.09191390000023603, 0.2679637000001094]",65.68123050000031,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,2,0,2,0,,,,,,,,,,,"['num_2', 'return']","[0.11930040000015651, 0.3033445999999458]",65.9978231,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
8.0,1.0,9.0,2.0,48.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,0.006802060000609345,None,0.4800973600008547,None,0.963306160000684,None,"['num_9', 'return']","[0.3841322000002947, 0.5362089000000196]",67.79696650000005,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,"['num_9', 'return']","[0.08888519999982236, 0.23298869999962335]",68.38023040000007,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,"['num_8', 'return']","[0.20630469999969137, 0.358409599999959]",68.64678810000032,None,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
9.0,8.0,1.0,0.0,21.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,69.04662240000016,None,zoe,001,2022_Jul_19_1038,eeg_contingent_digits,2021.2.3,60.023721374616436,
