audiofile,callSign,colour,number,trials_eg.thisRepN,trials_eg.thisTrialN,trials_eg.thisN,trials_eg.thisIndex,instr_start.started,key_resp_inst_2.started,instrRest_pre.started,key_resp_instRest_pre.started,fixation_1.started,pp_rest_pre_start.started,pp_rest_pre_start.stopped,fixation_1.stopped,screenAfterAudio_3.started,beep_rest_pre_end.started,screenAfterAudio_3.stopped,instr_start_1.started,key_resp_inst_4.started,instr_start_2.started,key_resp_inst_3.started,sound_examples.started,fixation_2.started,fixation_2.stopped,screenAfterAudio_2.started,screenAfterAudio_2.stopped,blankScreen_2.started,blankScreen_2.stopped,call1_2.started,call2_2.started,call3_2.started,call4_2.started,colour1_2.started,colour2_2.started,colour3_2.started,colour4_2.started,number1_2.started,number2_2.started,number3_2.started,number4_2.started,mouseClickOnCall_2.started,mouseClickOnColour_2.started,mouseClickOnNumber_2.started,mouseClickOnCall_2.x,mouseClickOnCall_2.y,mouseClickOnCall_2.leftButton,mouseClickOnCall_2.midButton,mouseClickOnCall_2.rightButton,mouseClickOnCall_2.time,mouseClickOnCall_2.clicked_name,mouseClickOnColour_2.x,mouseClickOnColour_2.y,mouseClickOnColour_2.leftButton,mouseClickOnColour_2.midButton,mouseClickOnColour_2.rightButton,mouseClickOnColour_2.time,mouseClickOnColour_2.clicked_name,mouseClickOnNumber_2.x,mouseClickOnNumber_2.y,mouseClickOnNumber_2.leftButton,mouseClickOnNumber_2.midButton,mouseClickOnNumber_2.rightButton,mouseClickOnNumber_2.time,mouseClickOnNumber_2.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.9p.wav,Dr,we,Ei,0,0,0,0,14.790911399992183,14.790911399992183,24.49882219999563,24.49882219999563,24.798978099948727,24.798978099948727,24.81589209998492,25.7999197000172,25.7999197000172,25.80017017001519,26.767839699983597,26.817935699946247,26.817935699946247,27.517994199995883,27.517994199995883,28.11878921006573,28.135251399944536,33.73980830004439,33.73980830004439,33.73980830004439,33.73980830004439,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,34.74075029999949,1.1338872000342235,1.6678394000045955,5.687739299959503,"[-0.5631944444444444, -0.6020833333333333, -0.5951388888888889, -0.33125]","[0.08819444444444445, -0.10208333333333333, -0.24930555555555556, -0.2986111111111111]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.5306324999546632, 2.2643834999762475, 2.6817871999228373, 3.732170299976133]",['call4_2'],"[-0.33125, -0.008333333333333333]","[-0.2986111111111111, -0.30069444444444443]","[1, 1]","[0, 0]","[0, 0]","[4.032320500002243, 5.550472800037824]",['colour4_2'],[0.43125],[-0.3541666666666667],[1],[0],[0],[6.718468300066888],['number4_2'],False,True,False,,1,2023-06-07_13h56.59.076,SentenceInNoise,2022.2.1,59.67231543879187,
audio/NV_DE_Neural2-D_Dr-we-Ei_0.3p.wav,Dr,we,Ei,0,1,1,1,,,,,,,,,,,,,,,,40.56288149001776,40.562274000025354,46.11682750005275,46.11682750005275,46.11682750005275,46.11682750005275,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,47.11752169998363,1.0670423000119627,1.8512830999679863,2.318201999994926,[-0.39444444444444443],[-0.03819444444444445],[1],[0],[0],[1.7816301999846473],['call3_2'],[0.0],[-0.10555555555555556],[1],[0],[0],[2.2484245999949053],['colour3_2'],[0.4],[-0.10138888888888889],[1],[0],[0],[2.6821834000293165],['number3_2'],False,False,False,,1,2023-06-07_13h56.59.076,SentenceInNoise,2022.2.1,59.67231543879187,
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-2.5db.wav,Kr,we,Dr,0,2,2,2,,,,,,,,,,,,,,,,48.88610241997522,48.902981400024146,54.2801662000129,54.2801662000129,54.2801662000129,54.2801662000129,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,55.29097079997882,1.050161899998784,1.9176450999220833,2.4514474999159575,[-0.4375],[-0.0875],[1],[0],[0],[1.874576999922283],['call3_2'],[0.08194444444444444],[-0.08958333333333333],[1],[0],[0],[2.4087942000478506],['colour3_2'],"[0.06875, 0.425]","[-0.08958333333333333, -0.12569444444444444]","[1, 1]","[0, 0]","[0, 0]","[2.791935099987313, 3.7430334000382572]",['number3_2'],True,False,True,,1,2023-06-07_13h56.59.076,SentenceInNoise,2022.2.1,59.67231543879187,
,,,,,,,,,,,,,,,,,,,,,,,58.09366705006687,58.09442019998096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
