TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,response_ctrl.thisRepN,response_ctrl.thisTrialN,response_ctrl.thisN,response_ctrl.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,Fixation_2.started,Fixation_2.stopped,sound_digit1_2.started,sound_digit1_2.stopped,sound_digit2_2.started,sound_digit2_2.stopped,sound_digit3_2.started,sound_digit3_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Begin_4.started,Begin_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010515270005271304,None,0.48738387000048533,None,0.9744078700023238,None,['return'],[0.1389839000039501],63.008958400001575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.16723750000528526],63.172780000000785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.14296250000188593],63.37294840000686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
3.0,9.0,6.0,1.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010559269998339005,None,0.4915170699969167,None,0.9747764700005064,None,['return'],[0.3046325999966939],64.98941470000136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.14731729999766685],65.32276890000503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1645803000064916],65.48942420000094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
4.0,8.0,1.0,5.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010761869998532347,None,0.49079277000419097,None,0.9545427699995344,None,['return'],[0.1064801999964402],67.10851510000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1637501999939559],67.23929760000465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.14428720000432804],67.42261330000474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
5.0,4.0,1.0,0.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009710070000437554,None,0.490223770000739,None,0.9691445700009353,None,['return'],[0.19792420000158018],69.02806810000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
6.0,9.0,2.0,6.0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.15018920000147773],69.25581910000619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1305,eeg_contingent_digits,2021.2.3,60.067167108107945,
