TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,sound_digit_2_ME.started,sound_digit_2_ME.stopped,sound_digit_3_ME.started,sound_digit_3_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.80960869998671,None,43.80960869998671,None,None,None,None,None,None,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,45.804549299995415,None,0.004450379987247288,None,0.481275679951068,None,0.9645214799675159,None,47.86802930000704,48.870966400019825,"['4', 'return']","[0.2362395000527613, 0.37934210000094026]",49.32031040004222,None,49.32031040004222,None,49.32031040004222,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['9', 'return']","[0.28645890002371743, 0.4212102000019513]",49.743667000031564,None,49.743667000031564,None,49.743667000031564,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['3', 'return']","[0.39362980000441894, 0.5210931000183336]",50.20985460001975,None,50.20985460001975,None,50.20985460001975,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.77752420003526,None,50.77752420003526,None,None,None,None,None,None,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,52.7875606000307,None,0.005810679984278977,None,0.4735468800063245,None,0.956393480009865,None,54.84266070002923,55.853782000020146,"['6', 'return']","[1.2755104000098072, 1.4299351000227034]",56.29142680001678,None,56.29142680001678,None,56.29142680001678,57.3038763999939,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"['2', 'return']","[0.395037499954924, 0.5012127999798395]",57.75768810004229,None,57.75768810004229,None,57.75768810004229,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,"['9', 'return']","[0.20565700001316145, 0.3198507000342943]",58.30725850001909,None,58.30725850001909,None,58.30725850001909,None,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,3.0,6.0,2.0,9.0,33.0,1.0,0.0,-0.0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.676229600037914,None,58.676229600037914,None,None,None,None,None,None,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
,,,,,4.0,5.0,2.0,4.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,60.686763900041115,None,0.006010680051986128,None,0.4693370800232515,None,0.9527156800613739,None,62.77973430004204,63.78682939999271,"['0', 'return']","[0.9421162999933586, 1.0982359999907203]",64.22146949998569,None,64.22146949998569,None,64.22146949998569,65.2366813000408,,,,,,,,,,1,001,2021_Nov_15_1513,eeg_contingent_digits,2021.2.3,60.059482910336776,
