TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,NV_trial,Triggered_trial,Jitter_trial,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,response_nextblock_ME.rt,text_break.started,text_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.0,2.0,3.0,0.0,10.0,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,0.0010269300000800285,None,['return'],[0.26141850000021805],25.28906889999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
8.0,1.0,9.0,2.0,48.0,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,0.0009914299989759456,None,['return'],[0.1870123999997304],26.105269599998792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
9.0,8.0,1.0,0.0,21.0,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.33688019999863,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,27.098577699998714,None,28.539528399998744,None,0.0048688200004107784,None,29.95296749999943,None,"['1', 'return']","[0.5379154000002018, 0.7339654000006703]",30.964393799999016,None,30.964393799999016,None,30.964393799999016,None,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,0.0,1.0,2.0,0.0,33.0,1.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,31.78820739999901,None,0.006101620001572883,None,33.856829299998935,None,"['0', 'return']","[0.29954840000027616, 0.42255629999999655]",34.86389339999914,None,34.86389339999914,None,34.86389339999914,None,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,1.0,0.0,8.0,3.0,49.0,1.0,0.0,1.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,35.387943099998665,None,0.006865520001156256,None,37.504949999998644,None,"['5', 'return']","[0.156883800000287, 0.2917632999997295]",38.51363659999879,None,38.51363659999879,None,38.51363659999879,None,,,,,,,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,2.0,4.0,9.0,2.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.96444419999898,None,return,38.96444419999898,None,2.7039744000012433,,,1,001,2021_Nov_17_1323,eeg_contingent_digits,2021.2.3,60.066698061118295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.70481489999838,None,,,,,,,
