audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,Unnamed: 0.1,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,Unnamed: 0,rater,newidx,block
audio/SiSSN_DE_Neural2-D_Kr-ge-Vi_0db.wav,5.3664,SiSSN,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,0db,200,201,213,221,234,34,DE_Neural2-D_Kr-ge-Vi.TextGrid,0.17712,4.628081391000183,0.8223114586687988,1.2836508424916353,2.6497357243522046,3.024085669460259,4.255562202958083,4.628081391000183,34.0,mean,53,SSN2
audio/SiSSN_DE_Neural2-F_Kr-ro-Ei_-7.5db.wav,5.1152,SiSSN,Neural2-F,Kr-ro-Ei,Kr,ro,Ei,-7.5db,200,201,213,223,231,105,DE_Neural2-F_Kr-ro-Ei.TextGrid,0.16712,4.335469679493979,0.7215044688578851,1.24712,2.2398313269458634,2.5744020175547133,3.7494422555509024,4.335469679493979,105.0,mean,53,SSN2
audio/SiSSN_DE_Neural2-D_Dr-ro-Ei_0db.wav,5.5134,SiSSN,Neural2-D,Dr-ro-Ei,Dr,ro,Ei,0db,200,201,212,223,231,25,DE_Neural2-D_Dr-ro-Ei.TextGrid,0.17712,4.771068534224507,0.8364679011178198,1.28712,2.6678523456641,3.038227306163804,4.313416043782179,4.771068534224507,25.0,mean,52,SSN2
audio/SiSSN_DE_Neural2-F_Ti-ge-Ei_0db.wav,5.0991,SiSSN,Neural2-F,Ti-ge-Ei,Ti,ge,Ei,0db,200,201,214,221,231,113,DE_Neural2-F_Ti-ge-Ei.TextGrid,0.16712,4.345414140563462,0.7322420586421867,1.21712,2.284825378045776,2.602698032504035,3.7687473216620977,4.345414140563462,113.0,mean,54,SSN2
audio/SiSSN_DE_Neural2-D_Ti-ge-Vi_-5db.wav,5.4912,SiSSN,Neural2-D,Ti-ge-Vi,Ti,ge,Vi,-5db,200,201,214,221,234,50,DE_Neural2-D_Ti-ge-Vi.TextGrid,0.17712,4.701027052882105,0.8839084197933319,1.3295314724368958,2.6923643849470387,3.07548546003913,4.325631322909496,4.701027052882105,50.0,mean,35,SSN2
audio/SiSSN_DE_Neural2-F_Dr-we-Dr_-7.5db.wav,4.9166,SiSSN,Neural2-F,Dr-we-Dr,Dr,we,Dr,-7.5db,200,201,212,224,233,92,DE_Neural2-F_Dr-we-Dr.TextGrid,0.16712,4.18966460388382,0.6874512456514744,1.21712,2.271846603973544,2.6497037112267896,3.842155749553024,4.18966460388382,92.0,mean,41,SSN2
audio/SiSSN_DE_Neural2-F_Dr-ge-Ei_-5db.wav,5.1509,SiSSN,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,-5db,200,201,212,221,231,81,DE_Neural2-F_Dr-ge-Ei.TextGrid,0.17712,4.367270032561338,0.7036349423235251,1.223373750753349,2.281757585861169,2.59712,3.766272634888293,4.367270032561338,81.0,mean,58,SSN2
audio/SiSSN_DE_Neural2-F_Ti-gr-Zw_-5db.wav,4.9512,SiSSN,Neural2-F,Ti-gr-Zw,Ti,gr,Zw,-5db,200,201,214,222,232,119,DE_Neural2-F_Ti-gr-Zw.TextGrid,0.15712,4.2091124248795255,0.7497161172521044,1.1988378382698568,2.2402736192828816,2.620279014003446,3.805911860068566,4.2091124248795255,119.0,mean,49,SSN2
audio/SiSSN_DE_Neural2-D_Ad-ro-Vi_0db.wav,5.5054,SiSSN,Neural2-D,Ad-ro-Vi,Ad,ro,Vi,0db,200,201,211,223,234,10,DE_Neural2-D_Ad-ro-Vi.TextGrid,0.16712,4.767699077629327,0.8078431787293943,1.34712,2.7515980998710683,3.145156708439982,4.38712,4.767699077629327,10.0,mean,58,SSN2
audio/SiSSN_DE_Neural2-F_Kr-gr-Vi_0db.wav,5.0049,SiSSN,Neural2-F,Kr-gr-Vi,Kr,gr,Vi,0db,200,201,213,222,234,102,DE_Neural2-F_Kr-gr-Vi.TextGrid,0.17712,4.27712,0.7148712997029714,1.2426173517849646,2.2781271704049644,2.6541545891061813,3.838392606990734,4.27712,102.0,mean,46,SSN2
audio/SiSSN_DE_Neural2-D_Kr-gr-Ei_-7.5db.wav,5.6275,SiSSN,Neural2-D,Kr-gr-Ei,Kr,gr,Ei,-7.5db,200,201,213,222,231,37,DE_Neural2-D_Kr-gr-Ei.TextGrid,0.17712,4.887801438561352,0.8296706986406814,1.2923638740339405,2.699613316329525,3.115145761676075,4.417038116114047,4.887801438561352,37.0,mean,58,SSN2
audio/SiSSN_DE_Neural2-F_Ti-ro-Dr_-5db.wav,4.843,SiSSN,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,-5db,200,201,214,223,233,120,DE_Neural2-F_Ti-ro-Dr.TextGrid,0.17712,4.104053164018524,0.7139336372178473,1.190906294782748,2.225340480927432,2.58712,3.777040552371754,4.104053164018524,120.0,mean,45,SSN2
audio/SiSSN_DE_Neural2-F_Ti-ge-Ei_-5db.wav,5.0991,SiSSN,Neural2-F,Ti-ge-Ei,Ti,ge,Ei,-5db,200,201,214,221,231,113,DE_Neural2-F_Ti-ge-Ei.TextGrid,0.16712,4.345414140563462,0.7322420586421867,1.21712,2.284825378045776,2.602698032504035,3.7687473216620977,4.345414140563462,113.0,mean,54,SSN2
audio/SiSSN_DE_Neural2-F_Ti-we-Vi_-5db.wav,5.0131,SiSSN,Neural2-F,Ti-we-Vi,Ti,we,Vi,-5db,200,201,214,224,234,126,DE_Neural2-F_Ti-we-Vi.TextGrid,0.16712,4.26712,0.756722876411484,1.2060759727229446,2.2982973519512497,2.675880622941675,3.8394019666380856,4.26712,126.0,mean,42,SSN2
audio/SiSSN_DE_Neural2-F_Ad-ge-Zw_-5db.wav,4.9664,SiSSN,Neural2-F,Ad-ge-Zw,Ad,ge,Zw,-5db,200,201,211,221,232,67,DE_Neural2-F_Ad-ge-Zw.TextGrid,0.16712,4.2420349736813865,0.7120589462828346,1.25712,2.2880270827946214,2.60712,3.8325146733466817,4.2420349736813865,67.0,mean,33,SSN2
audio/SiSSN_DE_Neural2-F_Kr-gr-Dr_-7.5db.wav,4.8722,SiSSN,Neural2-F,Kr-gr-Dr,Kr,gr,Dr,-7.5db,200,201,213,222,233,100,DE_Neural2-F_Kr-gr-Dr.TextGrid,0.17712,4.133161916655052,0.7117468701095767,1.2554213586008176,2.2513878546785664,2.6180314510593816,3.807509569293533,4.133161916655052,100.0,mean,44,SSN2
audio/SiSSN_DE_Neural2-F_Dr-ge-Vi_-7.5db.wav,4.9594,SiSSN,Neural2-F,Dr-ge-Vi,Dr,ge,Vi,-7.5db,200,201,212,221,234,82,DE_Neural2-F_Dr-ge-Vi.TextGrid,0.15712,4.21504445909645,0.6674409296659876,1.1898949313623406,2.2628851760490627,2.5700684716847237,3.767366676066797,4.21504445909645,82.0,mean,51,SSN2
audio/SiSSN_DE_Neural2-D_Dr-gr-Dr_-5db.wav,5.3868,SiSSN,Neural2-D,Dr-gr-Dr,Dr,gr,Dr,-5db,200,201,212,222,233,20,DE_Neural2-D_Dr-gr-Dr.TextGrid,0.16712,4.632784757274646,0.8393031199846068,1.3121020121616462,2.6871372257317745,3.0930369769837918,4.368038200285565,4.632784757274646,20.0,mean,37,SSN2
audio/SiSSN_DE_Neural2-D_Dr-we-Dr_0db.wav,5.2596,SiSSN,Neural2-D,Dr-we-Dr,Dr,we,Dr,0db,200,201,212,224,233,28,DE_Neural2-D_Dr-we-Dr.TextGrid,0.16712,4.535012431559736,0.8267047735859236,1.2820507581298013,2.602106592309873,2.99712,4.245562632433051,4.535012431559736,28.0,mean,37,SSN2
audio/SiSSN_DE_Neural2-D_Ti-ro-Vi_-7.5db.wav,5.4734,SiSSN,Neural2-D,Ti-ro-Vi,Ti,ro,Vi,-7.5db,200,201,214,223,234,58,DE_Neural2-D_Ti-ro-Vi.TextGrid,0.17712,4.722818720993173,0.8804176656691354,1.3309257883285022,2.7087299409431616,3.107914353827999,4.352671863173395,4.722818720993173,58.0,mean,60,SSN2
audio/SiSSN_DE_Neural2-D_Ti-ge-Ei_0db.wav,5.5296,SiSSN,Neural2-D,Ti-ge-Ei,Ti,ge,Ei,0db,200,201,214,221,231,49,DE_Neural2-D_Ti-ge-Ei.TextGrid,0.17712,4.794313829076086,0.8910536722859117,1.3408067419558878,2.6953726573884644,3.0659691730496967,4.329050394535325,4.794313829076086,49.0,mean,38,SSN2
audio/SiSSN_DE_Neural2-F_Ti-ro-Dr_-7.5db.wav,4.843,SiSSN,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,-7.5db,200,201,214,223,233,120,DE_Neural2-F_Ti-ro-Dr.TextGrid,0.17712,4.104053164018524,0.7139336372178473,1.190906294782748,2.225340480927432,2.58712,3.777040552371754,4.104053164018524,120.0,mean,49,SSN2
